code	name	DrugFatalities_2016	GDP_2016	GeneralElectionTurnout_2016	Population_2016
AL	Alabama	756	203354.7	0.588281798	4842481
AR	Arkansas	401	119947.3	0.528310088	2967726
AZ	Arizona	1382	310928.9	0.549469793	6733840
CA	California	4654	2665348.9	0.564894776	38625139
CO	Colorado	942	328513.8	0.699537843	5351218
CT	Connecticut	971	263239.9	0.636884401	3594783
DE	Delaware	282	70484.1	0.641608986	932596
FL	Florida	4728	938086.1	0.645161037	19860330
GA	Georgia	1394	538360.6	0.591200293	10069001
IA	Iowa	314	180179.3	0.684293666	3109504
ID	Idaho	243	69203.4	0.591627233	1631479
IL	Illinois	2411	803680.2	0.616154846	12888962
IN	Indiana	1526	338711.0	0.563916203	6593533
KS	Kansas	313	155580.4	0.576624792	2900896
KY	Kentucky	1419	195034.8	0.586198252	4414483
LA	Louisiana	996	227983.9	0.5995187329999999	4644204
MA	Massachusetts	2227	519564.2	0.6719941709999999	6763652
MD	Maryland	2044	384376.8	0.663890385	5958165
ME	Maine	353	59447.3	0.7066765420000001	1330760
MI	Michigan	2347	490185.0	0.646749005	9930589
MN	Minnesota	672	338364.2	0.741168405	5451522
MO	Missouri	1371	295960.5	0.6216582079999999	6056293
MS	Mississippi	352	106848.6	0.5519051189999999	2990623
MT	Montana	119	45595.5	0.618149473	1021891
NC	North Carolina	1956	518384.0	0.644891332	9933944
ND	North Dakota	77	51099.2	0.607569284	737382
NE	Nebraska	120	116283.1	0.628228985	1879522
NH	New Hampshire	481	78418.2	0.71375075	1333223
NJ	New Jersey	2056	582070.9	0.644208139	8866780
NM	New Mexico	500	90880.0	0.545108189	2090342
NV	Nevada	665	149739.6	0.573711608	2819012
NY	New York	3638	1540969.7	0.56756004	19656330
OH	Ohio	4329	620931.2	0.629118449	11602973
OK	Oklahoma	813	178969.9	0.5229940989999999	3878367
OR	Oregon	506	215336.1	0.661779353	3964106
PA	Pennsylvania	4627	724668.3	0.636196098	12789101
RI	Rhode Island	326	57860.0	0.590504924	1056017
SC	South Carolina	879	212460.2	0.566963173	4823793
SD	South Dakota	69	48492.9	0.586357295	849088
TN	Tennessee	1630	334618.1	0.510859524	6540826
TX	Texas	2831	1565698.8	0.514027875	26977142
UT	Utah	635	157474.7	0.568019692	2937399
VA	Virginia	1405	493699.5	0.661113362	8312076
VT	Vermont	125	31552.2	0.63666497	625218
WA	Washington	1102	492251.4	0.647473408	7052439
WI	Wisconsin	1074	312203.7	0.694539248	5751974
WV	West Virginia	884	70191.4	0.502043198	1849467
WY	Wyoming	99	35984.2	0.5954386220000001	582548
