code	name	DrugFatalities_2014	GDP_2014	GeneralElectionTurnout_2014	Population_2014
AL	Alabama	723	194059.7	0.32899999999999996	4815564
AR	Arkansas	356	117339.1	0.401	2952109
AZ	Arizona	1211	284573.8	0.33399999999999996	6556629
CA	California	4521	2396552.1	0.299	37960782
CO	Colorado	899	306362.0	0.537	5193721
CT	Connecticut	623	248954.2	0.423	3594395
DE	Delaware	189	67178.9	0.34299999999999997	915188
FL	Florida	2634	839706.0	0.428	19326230
GA	Georgia	1206	484915.4	0.382	9901496
IA	Iowa	264	171512.5	0.498	3076097
ID	Idaho	212	63614.9	0.39299999999999996	1595441
IL	Illinois	1705	765910.2	0.402	12884119
IN	Indiana	1172	325040.6	0.278	6537640
KS	Kansas	332	148276.1	0.425	2885361
KY	Kentucky	1077	186694.5	0.442	4386381
LA	Louisiana	777	237876.9	0.439	4600814
MA	Massachusetts	1289	473454.4	0.441	6663158
MD	Maryland	1070	352524.3	0.41700000000000004	5887072
ME	Maine	216	55875.1	0.581	1327691
MI	Michigan	1762	448964.4	0.42700000000000005	9896930
MN	Minnesota	517	319338.9	0.504	5376550
MO	Missouri	1067	284729.4	0.317	6024081
MS	Mississippi	336	103658.1	0.29	2983767
MT	Montana	125	44529.2	0.469	1003754
NC	North Carolina	1358	475227.2	0.408	9749123
ND	North Dakota	43	58547.4	0.43799999999999994	701116
NE	Nebraska	125	111330.7	0.405	1853323
NH	New Hampshire	334	72368.7	0.47600000000000003	1323962
NJ	New Jersey	1253	546831.5	0.311	8845483
NM	New Mexico	547	92495.9	0.354	2087549
NV	Nevada	545	135026.5	0.293	2744566
NY	New York	2300	1427812.7	0.282	19574549
OH	Ohio	2744	593030.0	0.35100000000000003	11548369
OK	Oklahoma	777	195689.0	0.299	3818600
OR	Oregon	522	189344.3	0.509	3899118
PA	Pennsylvania	2732	690675.4	0.361	12766827
RI	Rhode Island	247	54573.3	0.41700000000000004	1054601
SC	South Carolina	701	191967.4	0.348	4717112
SD	South Dakota	63	46057.0	0.44299999999999995	833496
TN	Tennessee	1269	304150.4	0.28600000000000003	6451281
TX	Texas	2601	1565390.2	0.28300000000000003	26089620
UT	Utah	603	141342.9	0.297	2853467
VA	Virginia	980	463781.7	0.366	8185229
VT	Vermont	83	29714.4	0.389	626063
WA	Washington	979	442442.4	0.41200000000000003	6892876
WI	Wisconsin	853	293519.4	0.5660000000000001	5719855
WV	West Virginia	627	72027.1	0.312	1856764
WY	Wyoming	109	39372.3	0.39	576270
