code	name	DrugFatalities_2012	GDP_2012	GeneralElectionTurnout_2012	Population_2012
AL	Alabama	562	186299.0	0.586	4785448
AR	Arkansas	373	108745.2	0.507	2921978
AZ	Arizona	1134	268288.8	0.526	6407774
CA	California	4040	2144497.3	0.551	37320903
CO	Colorado	807	273519.5	0.6990000000000001	5048281
CT	Connecticut	439	243801.0	0.613	3579125
DE	Delaware	141	61975.8	0.623	899595
FL	Florida	2597	769309.1	0.628	18845785
GA	Georgia	1056	444132.2	0.59	9711810
IA	Iowa	259	157250.8	0.703	3050767
ID	Idaho	181	57764.4	0.598	1570773
IL	Illinois	1628	720702.3	0.589	12840762
IN	Indiana	1011	297552.7	0.552	6490436
KS	Kansas	318	140477.8	0.569	2858213
KY	Kentucky	1078	176302.3	0.557	4348200
LA	Louisiana	566	233623.1	0.602	4544532
MA	Massachusetts	859	444329.8	0.659	6566431
MD	Maryland	831	334821.6	0.6659999999999999	5788642
ME	Maine	150	52874.0	0.682	1327632
MI	Michigan	1308	418857.4	0.647	9877535
MN	Minnesota	482	294296.6	0.76	5310843
MO	Missouri	942	268761.5	0.622	5995976
MS	Mississippi	310	99614.6	0.593	2970536
MT	Montana	118	42005.8	0.625	990722
NC	North Carolina	1298	439571.0	0.648	9574293
ND	North Dakota	21	51345.1	0.598	674710
NE	Nebraska	146	102269.0	0.603	1829536
NH	New Hampshire	173	67689.2	0.7020000000000001	1316777
NJ	New Jersey	1222	519745.8	0.615	8799624
NM	New Mexico	492	87601.6	0.546	2064588
NV	Nevada	602	128043.0	0.564	2702464
NY	New York	2106	1322447.9	0.531	19400080
OH	Ohio	2125	540819.3	0.645	11539327
OK	Oklahoma	771	173483.7	0.49200000000000005	3759632
OR	Oregon	490	174493.1	0.631	3837532
PA	Pennsylvania	2365	641317.3	0.595	12711158
RI	Rhode Island	196	51642.0	0.58	1053938
SC	South Carolina	587	175374.8	0.563	4635656
SD	South Dakota	42	43444.6	0.593	816165
TN	Tennessee	1131	283721.8	0.519	6355301
TX	Texas	2447	1411378.7	0.496	25242679
UT	Utah	601	128721.0	0.555	2775334
VA	Virginia	733	444950.0	0.6609999999999999	8023680
VT	Vermont	70	28887.4	0.607	625880
WA	Washington	985	400863.3	0.648	6742902
WI	Wisconsin	692	274343.9	0.7290000000000001	5690479
WV	West Virginia	558	69399.0	0.46299999999999997	1854214
WY	Wyoming	98	38431.7	0.586	564483
