code	name	GDP_2015	GDPCapita_2015	ForestArea_2015	RuralPopulation_2015
-A	Obstacle1	209837868120.0	1174.75378539085	10190230.43406	10190230.43406
-B	Obstacle2	11226507151560.0	62850.3419862734	545186128.07578	545186128.07578
-C	Obstacle3	6017164290840.0	33686.4198598346	292207937.64542	292207937.64542
-D	Obstacle4	3089219322720.0	17294.6481289665	150019903.66136	150019903.66136
-E	Obstacle5	7803504276960.0	43687.0440536023	378956894.13848	378956894.13848
-F	Obstacle6	9316583895960.0	52157.850709918	452435671.44798	452435671.44798
-G	Obstacle7	27543485280.0	154.199115180837	1337577.74264	1337577.74264
-H	Obstacle8	27543485280.0	154.199115180837	1337577.74264	1337577.74264
-I	Obstacle9	32979699480.0	184.633151071791	1601573.34974	1601573.34974
-J	Obstacle10	337588901820.0	1889.95362882828	16394127.20091	16394127.20091
-K	Obstacle11	71214406020.0	398.685870171505	3458342.45301	3458342.45301
-L	Obstacle12	55086970560.0	308.39823036167303	2675155.48528	2675155.48528
-M	Obstacle13	130831555080.0	732.445797108974	6353494.27754	6353494.27754
-N	Obstacle14	846599758080.0	4739.59385608466	41112915.87904	41112915.87904
-O	Obstacle15	449937328620.0	2518.9237039080103	21850036.41431	21850036.41431
AFG	Afghanistan	19907111418.9938	590.076473832575	25368831.0	25368831.0
AGO	Angola	116193649124.475	4170.7303582941295	10183690.0	10183690.0
ALB	Albania	11386931489.7968	3952.83078116586	1226200.0	1226200.0
ARE	United Arab Emirates	358135057862.492	39122.049705427205	1311445.0	1311445.0
ARG	Argentina	594749285413.212	13698.2934384857	3689207.0	3689207.0
ARM	Armenia	10553337672.9872	3617.93574555176	1076792.0	1076792.0
AUS	Australia	1349034029453.37	56561.4123818054	3410424.0	3410424.0
AUT	Austria	382065930307.97797	44206.7842820834	3654565.0	3654565.0
AZE	Azerbaijan	53074370486.0433	5500.31038244408	4369801.0	4369801.0
BDI	Burundi	3104394858.11518	304.374220715324	8967402.0	8967402.0
