code	name	GDP_2013	GDPCapita_2013	ForestArea_2013	RuralPopulation_2013
-A	Obstacle1	193287766860.0	1315.7790389769	10067466.071519999	10067466.071519999
-B	Obstacle2	10341062442180.0	70395.3148365934	538618128.6657599	538618128.6657599
-C	Obstacle3	5542585135020.0	37730.3616306279	288687632.44464	288687632.44464
-D	Obstacle4	2845569818160.0	19370.812656717	148212574.77312	148212574.77312
-E	Obstacle5	7188034880880.0	48931.5272318665	374391501.64416003	374391501.64416003
-F	Obstacle6	8581776550380.0	58419.225828979805	446985060.96816	446985060.96816
-G	Obstacle7	25371105840.0	172.71020200733102	1321463.59488	1321463.59488
-H	Obstacle8	25371105840.0	172.71020200733102	1321463.59488	1321463.59488
-I	Obstacle9	30378560940.0	206.79774187719897	1582278.7780799998	1582278.7780799998
-J	Obstacle10	310962961710.0	2116.8362259188	16196622.876720002	16196622.876720002
-K	Obstacle11	65597661810.0	446.546772295271	3416678.89992	3416678.89992
-L	Obstacle12	50742211680.0	345.42040401466204	2642927.18976	2642927.18976
-M	Obstacle13	120512752740.0	820.373459534823	6276952.075680001	6276952.075680001
-N	Obstacle14	779827674240.0	5308.56620906744	40617617.86368	40617617.86368
-O	Obstacle15	414450367110.0	2821.3120498960698	21586803.329520002	21586803.329520002
AFG	Afghanistan	20561069558.2152	647.966460473683	23997724.0	23997724.0
AGO	Angola	136709862831.30801	5258.40737644433	9878849.0	9878849.0
ALB	Albania	12776280961.155	4413.08288688408	1291587.0	1291587.0
ARE	United Arab Emirates	390107556160.654	43315.1414921653	1344995.0	1344995.0
ARG	Argentina	552025140252.246	12976.6364245411	3722669.0	3722669.0
ARM	Armenia	11121465767.4067	3843.5912130934003	1065853.0	1065853.0
AUS	Australia	1573696522006.77	67990.29003047981	3355693.0	3355693.0
AUT	Austria	430068712971.867	50716.708706286394	3617832.0	3617832.0
AZE	Azerbaijan	74164435946.4627	7875.75695254288	4318074.0	4318074.0
BDI	Burundi	2451625332.74584	255.372690981804	8497893.0	8497893.0
BEL	Belgium	520925468952.938	46582.669550341205	247252.0	247252.0
BEN	Benin	9157355679.70205	915.328155408233	5538264.0	5538264.0
BFA	Burkina Faso	11947176341.9966	699.781537016479	12574743.0	12574743.0
BGD	Bangladesh	149990451022.29	951.889453456343	105947785.0	105947785.0
BGR	Bulgaria	55555171009.772	7646.83986554542	1938841.0	1938841.0
BIH	Bosnia and Herzegovina	18178503835.4491	5042.58221304612	1927990.0	1927990.0
BLR	Belarus	75527984234.2342	7978.872614710759	2253002.0	2253002.0
BLZ	Belize	1608442150.0	4673.24503676844	188329.0	188329.0
BOL	Bolivia	30659338929.0883	2947.9385262805104	3359389.0	3359389.0
BRA	Brazil	2472806919901.67	12216.9044643396	29938261.0	29938261.0
BRN	Brunei Darussalam	18093829923.2737	44597.279681535	97384.0	97384.0
BTN	Bhutan	1798333725.8395398	2350.8828892447304	480786.0	480786.0
BWA	Botswana	14901750764.9811	7001.03441754297	732802.0	732802.0
CAF	Central African Republic	1518565298.35641	337.484979032029	2714956.0	2714956.0
CAN	Canada	1842628005830.18	52418.3150618347	6616379.0	6616379.0
CHE	Switzerland	688504173431.454	85112.4643984141	2129601.0	2129601.0
CHL	Chile	278384332694.359	15941.397219235501	2227229.0	2227229.0
CHN	China	9607224481532.65	7077.7707653955795	637792141.0	637792141.0
CIV	Cote d'Ivoire	31273049200.242996	1423.6822822257502	11292222.0	11292222.0
CMR	Cameroon	32348149947.3727	1493.74656747065	10097410.0	10097410.0
COD	Congo, Dem. Rep.	32679745297.6453	458.238406189045	41629308.0	41629308.0
COG	Congo, Rep.	14085851348.068998	2964.5729890305797	1680710.0	1680710.0
