code	name	GDP_2013	GDPCapita_2013	ForestArea_2013	RuralPopulation_2013
COL	Colombia	381866608838.8	8065.960376234019	9913147.0	9913147.0
CRI	Costa Rica	49745088111.6217	10569.6663143709	1178012.0	1178012.0
CUB	Cuba	77148000000.0	6760.15343974549	2644541.0	2644541.0
CYP	Cyprus	24084559214.0202	27942.316672880897	375919.0	375919.0
CZE	Czech Republic	209402444996.10397	19916.0193873722	2808362.0	2808362.0
DEU	Germany	3752513503278.41	46530.9114275776	18403327.0	18403327.0
DJI	Djibouti	1324733711.8292198	1477.3630424732098	204248.0	204248.0
DNK	Denmark	343584385594.132	61191.1926260428	713546.0	713546.0
DOM	Dominican Republic	62661773591.7203	6094.734904210551	2390504.0	2390504.0
DZA	Algeria	209755003250.66397	5471.123388787089	11664124.0	11664124.0
ECU	Ecuador	95129659000.0	6074.090828958339	5775195.0	5775195.0
EGY	Egypt, Arab Rep.	288586231501.877	3213.38915790942	51286331.0	51286331.0
ERI	Eritrea	2607739837.39837	582.775530237486	2874049.0	2874049.0
ESP	Spain	1361854206549.39	29211.773745593502	9728205.0	9728205.0
EST	Estonia	25137153149.4377	19072.2385175669	420151.0	420151.0
ETH	Ethiopia	47648211133.2183	502.153588732071	77262329.0	77262329.0
FIN	Finland	269980111642.898	49638.07712981389	809047.0	809047.0
FRA	France	2811077725703.59	42592.9515190701	13770620.0	13770620.0
GAB	Gabon	17590745162.1326	9679.758914401109	233410.0	233410.0
GBR	United Kingdom	2739818680930.19	42724.0678844007	11477670.0	11477670.0
GEO	Georgia	16140047041.6347	4274.37686483969	1635574.0	1635574.0
GHA	Ghana	63277216928.5093	2401.7541216209197	12449131.0	12449131.0
GIN	Guinea	8376613796.934259	726.089394240361	7551291.0	7551291.0
GMB	Gambia, The	1367041584.9639199	735.235808801436	784263.0	784263.0
GNB	Guinea-Bissau	1045790132.98518	621.940673617931	986869.0	986869.0
GNQ	Equatorial Guinea	21942597765.3631	20246.9930826625	330066.0	330066.0
GRC	Greece	239862011450.103	21874.8195041667	2483072.0	2483072.0
GRL	Greenland	2669515517.33348	47262.2827635479	8161.0	8161.0
GTM	Guatemala	53851148431.932	3452.8346707689398	7905565.0	7905565.0
GUY	Guyana	2987684143.4665604	3941.1146611860295	557948.0	557948.0
HND	Honduras	18499710127.8385	2136.7717179207502	3994875.0	3994875.0
HRV	Croatia	58147688052.2904	13663.519127523301	1885015.0	1885015.0
HTI	Haiti	8452509315.87722	810.265607301884	5167902.0	5167902.0
HUN	Hungary	135215704418.96301	13667.7027865496	2972574.0	2972574.0
IDN	Indonesia	912524136718.019	3620.6639810952297	121088901.0	121088901.0
IND	India	1856722121394.53	1452.1953732318698	869383944.0	869383944.0
IRL	Ireland	239389340720.488	51773.1113695891	1750530.0	1750530.0
IRN	Iran, Islamic Rep.	467414852231.299	6036.19208799041	21453473.0	21453473.0
IRQ	Iraq	234648370497.427	6925.22404568487	10302170.0	10302170.0
ISL	Iceland	15548321544.3776	48023.626914597	20614.0	20614.0
ISR	Israel	292489185194.417	36291.2321104804	642262.0	642262.0
ITA	Italy	2130491320658.68	35370.2752583755	18685173.0	18685173.0
JAM	Jamaica	14193012191.4957	4976.84878096438	1301850.0	1301850.0
JOR	Jordan	33593843661.9718	3992.8671070526793	914964.0	914964.0
JPN	Japan	5155717056270.83	40454.447457890295	11182024.0	11182024.0
KAZ	Kazakhstan	236634552078.102	13890.6317716835	7317450.0	7317450.0
KEN	Kenya	55096728047.9408	1229.10106949388	33712480.0	33712480.0
KGZ	Kyrgyz Republic	7335027591.91628	1282.43716202467	3688170.0	3688170.0
KHM	Cambodia	15227991395.2201	1013.6659524950699	11805583.0	11805583.0
KOR	Korea, Rep.	1305604981271.91	25890.0186698906	9188649.0	9188649.0
KWT	Kuwait	174161142454.161	48399.8078177184	149400.0	5085602.0
LAO	Lao PDR	11942230508.334	1838.80601992314	4424612.0	4424612.0
LBN	Lebanon	46471385850.1493	8807.90133514273	644212.0	644212.0
LBR	Liberia	3067000000.0	715.5370458981901	2186651.0	2186651.0
LBY	Libya	65502870173.7831	10571.850763283699	1316272.0	1316272.0
LKA	Sri Lanka	74317806538.3789	3610.28936304974	16838942.0	16838942.0
LSO	Lesotho	2526009059.18717	1192.99876553274	1564709.0	1564709.0
LTU	Lithuania	46417340374.5203	15693.7867282599	976451.0	976451.0
LUX	Luxembourg	61739352212.3049	113625.13289956	56651.0	56651.0
LVA	Latvia	30254677296.9181	15032.282013148899	645557.0	645557.0
MAR	Morocco	106825649872.108	3111.7628865410197	13631382.0	13631382.0
MDA	Moldova	7985387151.61916	2243.99017795909	2045215.0	2045215.0
MDG	Madagascar	10601690871.7611	461.723072174234	15182369.0	15182369.0
MEX	Mexico	1274443084716.57	10400.5631580436	26101387.0	26101387.0
MKD	Macedonia, FYR	10817712138.9451	5211.49920049925	888645.0	888645.0
MLI	Mali	13246412031.4145	803.8935756794051	10150665.0	10150665.0
MMR	Myanmar	60269734044.52599	1171.46447748189	36293101.0	36293101.0
MNE	Montenegro	4464261816.25066	7186.431924061809	216571.0	216571.0
MNG	Mongolia	12582122604.1921	4385.37935468846	915331.0	915331.0
MOZ	Mozambique	16018848993.9909	605.985608207029	17615866.0	17615866.0
MRT	Mauritania	5724227185.17784	1450.57794904371	2000471.0	2000471.0
MWI	Malawi	5518880768.57955	332.921024865108	13930440.0	13930440.0
MYS	Malaysia	323277158906.979	10882.2891042102	8041610.0	8041610.0
NAM	Namibia	12717790504.5002	5490.04131391061	1279738.0	1279738.0
NER	Niger	7667952566.39877	416.140115178331	15439826.0	15439826.0
NGA	Nigeria	514966287334.443	2996.9643031982896	92585065.0	92585065.0
NIC	Nicaragua	10982972256.3787	1847.1980486856799	2526645.0	2526645.0
NLD	Netherlands	866680000367.264	51574.489418462	1817063.0	1817063.0
NOR	Norway	523502127659.574	103059.24822759	1001397.0	1001397.0
NPL	Nepal	19271168018.482	688.617278796698	22999727.0	22999727.0
NZL	New Zealand	190785204763.525	42949.326841702205	612077.0	612077.0
OMN	Oman	78784395318.5956	21227.2123496242	783791.0	783791.0
PAK	Pakistan	231218567178.97897	1272.44106100063	116999289.0	116999289.0
PAN	Panama	45599994000.0	11879.7565274842	1303081.0	1303081.0
PER	Peru	201217661645.50897	6583.11624846311	7033477.0	7033477.0
PHL	Philippines	271836123723.678	2760.2891460731103	53275284.0	53275284.0
PNG	Papua New Guinea	21261305413.2323	2800.1690288490995	6607463.0	6607463.0
POL	Poland	524201151607.188	13780.1906069881	15014846.0	15014846.0
PRI	Puerto Rico	102450000000.0	28513.1657351067	226867.0	226867.0
PRK	Korea, Dem. People�â��s Rep.	16120000000.0	1300.0	9765019.0	9765019.0
PRT	Portugal	226073492966.495	21618.7353389663	3936962.0	3936962.0
PRY	Paraguay	38585317742.981	5967.65687190963	2573558.0	2573558.0
QAT	Qatar	198727747252.74698	88304.8795754258	27343.0	27343.0
ROU	Romania	190949066979.17603	9555.2442173314	9205089.0	9205089.0
RUS	Russian Federation	2297128039058.16	16007.089993444399	37508401.0	37508401.0
RWA	Rwanda	7621923307.70325	688.822349347357	9189940.0	9189940.0
SAU	Saudi Arabia	746647127413.333	24934.3861423166	5168417.0	5168417.0
SDN	Sudan	72065940085.7719	1955.66079918474	24502616.0	24502616.0
SEN	Senegal	18960182371.4679	1342.75868900053	7763493.0	7763493.0
SLE	Sierra Leone	4920343194.99339	710.8186998434129	4150755.0	4150755.0
SLV	El Salvador	21977401900.0	3515.9472014439198	1997998.0	1997998.0
SOM	Somalia	6481000000.0	493.51414586986704	7601398.0	7601398.0
SRB	Serbia	45519650911.4138	6353.826382793321	3190260.0	3190260.0
SUR	Suriname	5149556633.8135	9491.570453447659	183704.0	183704.0
SVK	Slovak Republic	98478349315.3252	18191.612786163	2482582.0	2482582.0
SVN	Slovenia	48116256926.0807	23357.939198652002	961339.0	961339.0
SWE	Sweden	578742001487.571	60283.24522267	1350197.0	1350197.0
SWZ	Eswatini	4560713073.919479	3587.0003161096297	979034.0	979034.0
SYR	Syrian Arab Republic	40405006007.2086	2058.0352093943497	9403597.0	9403597.0
TCD	Chad	12949854262.8127	986.010317729048	10211628.0	10211628.0
TGO	Togo	4320427495.74933	613.440209376717	4291902.0	4291902.0
THA	Thailand	420333333333.33295	6168.39488117145	36665739.0	36665739.0
TJK	Tajikistan	8506045086.26842	1040.13741165493	6003411.0	6003411.0
TKM	Turkmenistan	39197543859.6491	7304.42052462986	2707770.0	2707770.0
TLS	Timor-Leste	5649800000.0	4770.315932743761	843517.0	843517.0
TUN	Tunisia	46251061734.4741	4199.084678157221	3580282.0	3580282.0
TUR	Turkey	950579367580.6279	12542.7209264723	20818023.0	20818023.0
TZA	Tanzania	44413614439.1527	903.361862058071	35346369.0	35346369.0
UGA	Uganda	24599550623.7254	655.049531535843	29683216.0	29683216.0
UKR	Ukraine	183310146378.08102	4029.7155037213106	14158638.0	14158638.0
URY	Uruguay	57531233350.9101	16881.2056763151	175751.0	175751.0
USA	United States	16691517000000.0	52782.086508871	59139015.0	59139015.0
UZB	Uzbekistan	57690453460.6205	1907.55123335561	14834290.0	14834290.0
VEN	Venezuela, RB	371005379786.56604	12237.1937410124	3597819.0	3597819.0
VNM	Vietnam	171222025117.38098	1871.3254905231897	61825928.0	61825928.0
XKX	Kosovo	7071959638.874141	3876.95830210742	450000.0	695400.0
YEM	Yemen, Rep.	40415233436.1767	1580.1816006295498	16993164.0	16993164.0
ZAF	South Africa	366643223164.00397	6819.06230244075	19467561.0	19467561.0
ZMB	Zambia	28045460442.1876	1850.7933594391898	8960851.0	8960851.0
ZWE	Zimbabwe	19091020000.0	1268.12663265072	10138608.0	10138608.0
