Alpha2,Alpha3,Numericcode,Latitude(average),Longitude(average)
RS,SRB,688,44,21
SC,SYC,690,-4.5833,55.6667
SL,SLE,694,8.5,-11.5
SG,SGP,702,1.3667,103.8
SK,SVK,703,48.6667,19.5
SI,SVN,705,46,15
SB,SLB,90,-8,159
SO,SOM,706,10,49
ZA,ZAF,710,-29,24
GS,SGS,239,-54.5,-37
SS,SSD,728,8,30
ES,ESP,724,40,-4
LK,LKA,144,7,81
SD,SDN,736,15,30
SR,SUR,740,4,-56
SJ,SJM,744,78,20
SZ,SWZ,748,-26.5,31.5
SE,SWE,752,62,15
CH,CHE,756,47,8
SY,SYR,760,35,38
TW,TWN,158,23.5,121
TW,TWN,158,23.5,121
TJ,TJK,762,39,71
TZ,TZA,834,-6,35
TH,THA,764,15,100
TL,TLS,626,-8.55,125.5167
TG,TGO,768,8,1.1667
TK,TKL,772,-9,-172
TO,TON,776,-20,-175
TT,TTO,780,11,-61
TN,TUN,788,34,9
TR,TUR,792,39,35
TM,TKM,795,40,60
TC,TCA,796,21.75,-71.5833
TV,TUV,798,-8,178
UG,UGA,800,1,32
UA,UKR,804,49,32
AE,ARE,784,24,54
GB,GBR,826,54,-2
US,USA,840,38,-97
UM,UMI,581,19.2833,166.6
UY,URY,858,-33,-56
UZ,UZB,860,41,64
VU,VUT,548,-16,167
VE,VEN,862,8,-66
VE,VEN,862,8,-66
VN,VNM,704,16,106
VN,VNM,704,16,106
VG,VGB,92,18.5,-64.5
VI,VIR,850,18.3333,-64.8333
WF,WLF,876,-13.3,-176.2
EH,ESH,732,24.5,-13
YE,YEM,887,15,48
ZM,ZMB,894,-15,30
ZW,ZWE,716,-20,30
