code	name	GDP_2016	GDPCapita_2016	ForestArea_2016	RuralPopulation_2016
BIH	Bosnia and Herzegovina	16911088173.7458	4808.6360428711205	1845695.0	1845695.0
BLR	Belarus	47749057078.1996	5025.40506387702	2122548.0	2122548.0
BLZ	Belize	1806646250.0	4923.35892237174	200008.0	200008.0
BOL	Bolivia	33941126193.9219	3117.3304591215997	3403770.0	3403770.0
BRA	Brazil	1793989048409.29	8639.36574344537	28984187.0	28984187.0
BRN	Brunei Darussalam	11400653949.1783	26939.418021858197	97377.0	97377.0
BTN	Bhutan	2219675780.89539	2782.3679666259995	483222.0	483222.0
BWA	Botswana	15648632361.5749	6954.144126267571	721591.0	721591.0
CAF	Central African Republic	1755468136.86556	382.07028106683	2728378.0	2728378.0
CAN	Canada	1535767736946.18	42348.9454605979	6781481.0	6781481.0
CHE	Switzerland	668745279604.532	79866.0318745681	2198922.0	2198922.0
CHL	Chile	250036180921.053	13960.894209996	2252689.0	2252689.0
CHN	China	11190992550229.5	8117.267465431791	596465626.0	596465626.0
CIV	Cote d'Ivoire	35389998638.9371	1493.5060606401098	11876158.0	11876158.0
CMR	Cameroon	32621535418.9031	1391.75188266553	10505679.0	10505679.0
COD	Congo, Dem. Rep.	37134799974.5225	471.63594561855797	44637887.0	44637887.0
COG	Congo, Rep.	9035848070.90357	1762.80991296879	1742728.0	1742728.0
COL	Colombia	282856115393.175	5813.694519457621	9678138.0	9678138.0
CRI	Costa Rica	57157992434.219	11767.504249136202	1081472.0	1081472.0
CUB	Cuba	91370000000.0	7961.8458795073	2647509.0	2647509.0
CYP	Cyprus	20453761061.9469	23666.9735713776	387534.0	387534.0
CZE	Czech Republic	195305084919.138	18483.7164797716	2792682.0	2792682.0
DEU	Germany	3477796274496.8	42232.5742082948	18755733.0	18755733.0
DJI	Djibouti	1764268468.9399102	1872.23462294105	211761.0	211761.0
DNK	Denmark	306899653409.601	53578.7565680928	707867.0	707867.0
DOM	Dominican Republic	72342967648.3354	6793.538125439351	2189817.0	2189817.0
DZA	Algeria	160129866569.935	3943.49754982175	11589373.0	11589373.0
ECU	Ecuador	99937696000.0	6099.315303421379	5974979.0	5974979.0
EGY	Egypt, Arab Rep.	332927833278.038	3479.28124621174	54798994.0	54798994.0
ERI	Eritrea	2607739837.39837	582.775530237486	2874049.0	2874049.0
ESP	Spain	1237255019653.86	26616.757796551003	9371187.0	9371187.0
EST	Estonia	23337907618.5174	17736.8026953521	413645.0	413645.0
ETH	Ethiopia	73000980433.9486	712.877949961138	82059777.0	82059777.0
FIN	Finland	238677672281.61102	43433.032224358	809183.0	809183.0
FRA	France	2465134297438.91	36870.219134456296	13427447.0	13427447.0
GAB	Gabon	14014369641.7689	7078.729540348741	226507.0	226507.0
GBR	United Kingdom	2650850178102.14	40412.0336199885	11226025.0	11226025.0
GEO	Georgia	14378016729.1587	3865.7856933182793	1568168.0	1568168.0
GHA	Ghana	55009730600.0307	1950.23437670724	12763826.0	12763826.0
GIN	Guinea	8694360304.563671	701.388642312075	8000329.0	8000329.0
GMB	Gambia, The	1442298542.4400802	707.528984503851	817072.0	817072.0
GNB	Guinea-Bissau	1178204501.38801	648.898936600695	1043427.0	1043427.0
GNQ	Equatorial Guinea	11260900825.8233	9218.98732353381	352546.0	352546.0
GRC	Greece	192690813126.86	17881.526697395602	2329011.0	2329011.0
GRL	Greenland	2705898955.6872697	48159.6653203159	7683.0	7683.0
GTM	Guatemala	68663653469.1246	4140.73763497611	8238336.0	8238336.0
GUY	Guyana	3504024213.0750604	4531.24352689057	568517.0	568517.0
HND	Honduras	21643936938.9096	2375.0963268650303	4026703.0	4026703.0
HRV	Croatia	51640880494.2725	12371.002159683501	1819891.0	1819891.0
HTI	Haiti	7970649131.234159	734.802591238931	5055292.0	5055292.0
HUN	Hungary	125816640420.569	12820.0881963053	2867756.0	2867756.0
IDN	Indonesia	932256495234.2471	3570.2846147653795	120141832.0	120141832.0
IND	India	2274229710530.47	1717.47387802989	884784815.0	884784815.0
IRL	Ireland	304819018067.107	64100.4299522762	1771980.0	1771980.0
IRN	Iran, Islamic Rep.	418976679728.567	5219.1094080464	20968464.0	20968464.0
IRQ	Iraq	170559560067.682	4584.61743095832	11125801.0	11125801.0
ISL	Iceland	20304098101.4115	60529.926756910994	21015.0	21015.0
ISR	Israel	317747542489.389	37180.849811536296	661802.0	661802.0
ITA	Italy	1859383610248.72	30668.9814289997	18276159.0	18276159.0
JAM	Jamaica	14072135208.5664	4883.86027010431	1293786.0	1293786.0
JOR	Jordan	38654727746.4789	4087.9375167203	897734.0	897734.0
JPN	Japan	4949273341993.88	38972.3406391468	10849141.0	10849141.0
KAZ	Kazakhstan	137278320084.17099	7714.84184376024	7604467.0	7604467.0
KEN	Kenya	70875223143.0362	1462.50374328664	35810675.0	35810675.0
KGZ	Kyrgyz Republic	6813092065.835071	1120.66651300848	3894285.0	3894285.0
KHM	Cambodia	20016747754.0192	1269.90723818939	12202912.0	12202912.0
KOR	Korea, Rep.	1414804158515.26	27608.247428711602	9448683.0	9448683.0
KWT	Kuwait	110912280701.754	27368.2866787596	149400.0	5085602.0
LAO	Lao PDR	15805707154.2329	2338.69215683656	4478355.0	4478355.0
LBN	Lebanon	51483909754.8922	8571.1262475123	704822.0	704822.0
LBR	Liberia	3277826000.0	710.436009357099	2295192.0	2295192.0
LBY	Libya	26221660076.2226	4166.63052895261	1287600.0	1287600.0
LKA	Sri Lanka	81787420023.358	3857.3513193113204	17320519.0	17320519.0
LSO	Lesotho	2323419619.1784	1054.2687537592199	1601803.0	1601803.0
LTU	Lithuania	42773029835.3222	14912.6865427932	936019.0	936019.0
LUX	Luxembourg	58631324559.4484	100738.684223143	55524.0	55524.0
LVA	Latvia	27571513793.3984	14070.4226525952	626640.0	626640.0
MAR	Morocco	103345296966.607	2892.7755605473603	13630950.0	13630950.0
MDA	Moldova	6795731286.20042	1913.23741416708	2041983.0	2041983.0
MDG	Madagascar	10001193315.1966	401.742265413689	15968361.0	15968361.0
MEX	Mexico	1077779580638.77	8450.49401034813	26047581.0	26047581.0
MKD	Macedonia, FYR	10672471860.7184	5128.0228198066	883201.0	883201.0
MLI	Mali	14010787737.8424	778.600425102067	10656003.0	10656003.0
MMR	Myanmar	63256184700.2223	1196.10320448535	36976290.0	36976290.0
MNE	Montenegro	4374130530.97345	7028.94013201519	210706.0	210706.0
MNG	Mongolia	11186734674.3847	3695.1648492813597	959776.0	959776.0
MOZ	Mozambique	10981358030.5316	380.907305791185	18760493.0	18760493.0
MRT	Mauritania	4739298730.42216	1101.90162664331	2066123.0	2066123.0
MWI	Malawi	5433040159.88747	300.307748766344	15105380.0	15105380.0
MYS	Malaysia	296752886724.682	9515.19431808728	7846716.0	7846716.0
NAM	Namibia	11281259987.2185	4549.421641624871	1290418.0	1290418.0
NER	Niger	7528285443.607691	364.160507797334	17305357.0	17305357.0
NGA	Nigeria	404649527537.71295	2175.6562760039396	95444304.0	95444304.0
NIC	Nicaragua	13184989877.5664	2143.9258927204396	2577435.0	2577435.0
NLD	Netherlands	777227541581.307	45637.8867460287	1594889.0	1594889.0
NOR	Norway	371075238095.238	70890.0355687386	969171.0	969171.0
NPL	Nepal	21185922407.5922	730.983328253608	23492855.0	23492855.0
NZL	New Zealand	189285950470.754	40331.9591048227	638275.0	638275.0
OMN	Oman	66824447334.2003	15102.382305353402	774333.0	774333.0
PAK	Pakistan	278654637737.69	1442.28584033183	123198129.0	123198129.0
PAN	Panama	57957594212.2216	14366.8528896202	1330170.0	1330170.0
PER	Peru	191639655121.33	6031.36609086896	7136722.0	7136722.0
PHL	Philippines	304889079564.14197	2950.9139030318897	55302149.0	55302149.0
PNG	Papua New Guinea	19028120012.7673	2353.51158866687	7029900.0	7029900.0
POL	Poland	471992087443.889	12430.6296017676	15120448.0	15120448.0
PRI	Puerto Rico	103960800000.0	30518.1827789063	217949.0	217949.0
PRK	Korea, Dem. People�â��s Rep.	16120000000.0	1300.0	9774276.0	9774276.0
PRT	Portugal	205184480409.024	19871.7189725955	3708283.0	3708283.0
PRY	Paraguay	36054281572.3981	5360.985931409849	2621122.0	2621122.0
QAT	Qatar	151732142857.143	59044.24728778651	25313.0	25313.0
ROU	Romania	188494136775.719	9567.0977819133	9082775.0	9082775.0
RUS	Russian Federation	1284727602174.3	8759.036117752092	37292301.0	37292301.0
RWA	Rwanda	8475681532.52169	711.1957913115469	9884858.0	9884858.0
SAU	Saudi Arabia	644935541440.0	19982.0856312059	5357441.0	5357441.0
SDN	Sudan	95584380032.2061	2415.0381621256197	26074136.0	26074136.0
SEN	Senegal	18973894458.795	1231.14259536964	8276653.0	8276653.0
SLE	Sierra Leone	3556036534.5692296	480.793021078316	4346889.0	4346889.0
SLV	El Salvador	23912227500.0	3768.8377047883296	1871630.0	1871630.0
SOM	Somalia	6761998533.93861	472.272693325142	8044423.0	8044423.0
SRB	Serbia	38299854688.1277	5426.19827887247	3119072.0	3119072.0
SUR	Suriname	3152173913.04348	5645.33410410962	189622.0	189622.0
SVK	Slovak Republic	89768598023.3903	16529.5409667954	2508703.0	2508703.0
SVN	Slovenia	44708598648.8562	21650.2127554094	949506.0	949506.0
SWE	Sweden	514459972806.171	51844.761261862695	1304687.0	1304687.0
SWZ	Eswatini	3817430000.0	2842.25722918208	1028021.0	1028021.0
SYR	Syrian Arab Republic	40405006007.2086	2058.0352093943497	8692723.0	8692723.0
TCD	Chad	10090922857.3905	698.210886304957	11175140.0	11175140.0
TGO	Togo	4457732624.94515	586.0522536684571	4516056.0	4516056.0
THA	Thailand	411755164832.674	5979.29354625548	35500519.0	35500519.0
TJK	Tajikistan	6952678127.03396	795.9607474654359	6389529.0	6389529.0
TKM	Turkmenistan	36180000000.0	6389.35432554696	2790049.0	2790049.0
TLS	Timor-Leste	2521000000.0	1987.11880385064	889973.0	889973.0
TUN	Tunisia	41808379888.2682	3666.3571544062	3609584.0	3609584.0
TUR	Turkey	863721731068.5079	10862.7264255339	20566684.0	20566684.0
TZA	Tanzania	47388394818.1193	878.403371244319	37604041.0	37604041.0
UGA	Uganda	24133664284.5033	581.702772948812	32101728.0	32101728.0
UKR	Ukraine	93355993628.5042	2185.72803066435	13882133.0	13882133.0
URY	Uruguay	52687612261.5424	15298.3508918226	167241.0	167241.0
USA	United States	18624475000000.0	57588.538070582996	58659368.0	58659368.0
UZB	Uzbekistan	67445712840.4013	2117.74443025761	15716939.0	15716939.0
VEN	Venezuela, RB	482359318767.70294	15692.412877728999	3736094.0	3736094.0
VNM	Vietnam	205276172134.901	2170.64805431211	61933285.0	61933285.0
XKX	Kosovo	6714712389.380529	3697.1216767869896	450000.0	695400.0
YEM	Yemen, Rep.	36436652465.1639	1320.92412660691	17821057.0	17821057.0
ZAF	South Africa	295746599722.06604	5279.73047236548	19414403.0	19414403.0
ZMB	Zambia	20954754378.1394	1262.98968188557	9550336.0	9550336.0
ZWE	Zimbabwe	20548678100.0	1272.3354498183999	10934441.0	10934441.0
