code	name	GDP_2016	GDPCapita_2016	ForestArea_2016	RuralPopulation_2016
-A	Obstacle1	215671420500.0	1166.553963304	10245808.1577	10245808.1577
-B	Obstacle2	11538607241500.0	62411.644423606	548159584.2851	548159584.2851
-C	Obstacle3	6184443168500.0	33451.2874831369	293801645.6689	293801645.6689
-D	Obstacle4	3175100498000.0	17173.9308863614	150838115.2612	150838115.2612
-E	Obstacle5	8020443914000.0	43382.1069738543	381023732.7316	381023732.7316
-F	Obstacle6	9575587576500.0	51793.787106486794	454903264.7841	454903264.7841
-G	Obstacle7	28309202000.0	153.122800019177	1344872.9188	1344872.9188
-H	Obstacle8	28309202000.0	153.122800019177	1344872.9188	1344872.9188
-I	Obstacle9	33896544500.0	183.34440528612	1610308.3633	1610308.3633
-J	Obstacle10	346973969250.0	1876.7616870771499	16483541.10345	16483541.10345
-K	Obstacle11	73194186750.0	395.903028996952	3477204.32295	3477204.32295
-L	Obstacle12	56618404000.0	306.245600038355	2689745.8376	2689745.8376
-M	Obstacle13	134468709500.0	727.333300091093	6388146.3643	6388146.3643
-N	Obstacle14	870135472000.0	4706.51132690524	41337146.5568	41337146.5568
-O	Obstacle15	462445714250.0	2501.34152926064	21969206.95645	21969206.95645
AFG	Afghanistan	19046357714.4928	549.582759921642	25985093.0	25985093.0
AGO	Angola	101123851090.473	3509.6042114227303	10329915.0	10329915.0
ALB	Albania	11883682170.8236	4131.872340652721	1195854.0	1195854.0
ARE	United Arab Emirates	357045064669.84296	38517.8003858029	1300990.0	1300990.0
ARG	Argentina	554860945013.62	12654.354998995801	3671345.0	3671345.0
ARM	Armenia	10546135160.031	3605.7431168425605	1079784.0	1079784.0
AUS	Australia	1208039015868.39	49896.6811009246	3437935.0	3437935.0
AUT	Austria	390799991147.46796	44731.010855336106	3677700.0	3677700.0
AZE	Azerbaijan	37867518957.1975	3880.7387308955604	4388966.0	4388966.0
BDI	Burundi	2959185295.3901896	281.181337625778	9220389.0	9220389.0
BEL	Belgium	467545548764.57104	41260.9775511468	235807.0	235807.0
BEN	Benin	8573159696.6112795	788.5324424156951	5846143.0	5846143.0
BFA	Burkina Faso	10886363726.8422	583.830898212126	13400446.0	13400446.0
BGD	Bangladesh	221415188000.475	1358.77918567012	105783264.0	105783264.0
BGR	Bulgaria	53240950226.2443	7469.45563823624	1829783.0	1829783.0
