Code	X	Y	Width	Height
GM0003	536.9217	714.3662	12.738	14.376
GM0005	500.4778	708.575	15.4772	24.3737
GM0007	578.0073	660.56	28.5657	30.4717
GM0009	515.1359	702.6702	21.9022	19.7315
GM0010	550.6707	717.2266	48.8985	46.1321
GM0014	495.2579	689.2461	30.6579	21.5891
GM0015	454.1106	681.9986	34.48	30.4037
GM0017	504.0276	671.7881	22.2714	22.5631
GM0018	520.6416	668.4243	28.1617	32.3684
GM0022	467.2343	672.4107	26.6105	34.6151
GM0024	517.3491	721.2071	36.9395	32.0057
GM0025	449.8578	671.0965	25.6667	26.5318
GM0034	297.2711	474.4567	39.405	32.9582
GM0037	558.725	634.196	36.1613	38.6611
GM0040	526.9688	692.8402	40.8652	32.9171
GM0047	543.347	654.8541	24.1962	24.0382
GM0048	579.6813	622.7929	29.8163	55.8609
GM0050	329.6788	469.0049	49.2764	47.5732
GM0051	378.9999	624.3274	45.0833	39.8139
GM0053	484.7755	719.2086	23.1288	42.5949
GM0055	384.6715	656.4901	39.1449	37.8522
GM0056	466.0117	702.0335	41.9071	33.0244
GM0058	412.8279	730.5862	51.2389	44.851
GM0059	429.4034	684.9047	32.2548	31.3469
GM0060	381.141	743.9035	58.6233	12.4866
GM0063	356.6586	702.5264	31.6784	27.4299
GM0064	338.8881	648.3155	9.957	8.9009
GM0070	339.5741	681.781	27.486	33.9919
GM0072	321.5885	667.8837	26.0766	33.7727
GM0074	417.3514	626.8039	48.6542	32.3553
GM0079	435.5406	708.1071	37.3403	28.6624
GM0080	382.9627	678.2541	26.5967	30.4427
GM0081	377.0647	697.4191	17.7789	17.6278
GM0082	375.0482	595.7934	36.5233	24.8928
GM0083	361.2804	685.2307	22.0486	22.3817
GM0085	449.6251	630.9616	51.6656	42.2723
GM0086	430.1938	644.5864	60.9473	41.5337
GM0088	441.8057	753.649	46.4348	16.935
GM0090	414.7477	661.7327	47.4236	22.3278
GM0091	363.1247	640.5028	21.1698	14.5041
GM0093	313.1965	719.4334	60.5454	50.2509
GM0096	260.6953	696.8013	46.7376	26.18
GM0098	415.9585	600.7152	64.7507	36.0552
GM0104	328.9765	614.7848	32.0221	40.9641
GM0106	495.1202	633.0439	22.141	32.4739
GM0109	520.8463	572.306	43.7634	62.9775
GM0114	556.843	573.3038	39.8327	60.1157
GM0118	490.1971	565.4483	34.8641	36.2796
GM0119	442.2685	563.0902	25.4675	26.1308
GM0140	357.1302	663.7289	36.0275	29.3193
GM0141	513.2485	469.8327	18.9159	27.2726
GM0147	526.6432	462.0184	17.2648	14.4414
GM0148	453.7264	511.0734	33.9948	43.6246
GM0150	449.428	450.0808	43.2614	25.9442
GM0153	545.9349	440.3027	34.5778	31.1591
GM0158	529.0196	424.481	40.7431	22.064
GM0160	493.233	526.227	70.8471	52.1838
GM0163	483.3676	480.696	40.1844	36.0807
GM0164	531.7309	447.2069	22.7279	30.777
GM0166	397.2707	519.8877	38.9399	37.8587
GM0168	566.0076	459.8001	20.9649	39.8356
GM0171	381.846	563.7753	64.5482	59.0933
GM0173	551.1094	461.4755	13.8231	12.7941
GM0175	482.9682	510.7254	44.0622	41.0518
GM0177	454.0197	479.7063	39.9793	43.2699
GM0180	443.8449	541.9822	35.353	27.7864
GM0183	535.8629	485.0066	42.7266	37.0657
GM0184	354.133	548.7937	9.6593	8.2749
GM0189	496.6122	469.4321	25.195	37.062
GM0193	428.009	511.3216	31.4656	37.0006
GM0196	425.0963	352.1646	28.0124	18.8039
GM0197	500.8182	361.8434	31.2725	30.3803
GM0200	397.5124	427.2878	54.3639	53.1425
GM0202	396.9121	383.6871	28.9342	36.171
GM0203	357.4577	424.9947	52.2465	35.6381
GM0209	373.9258	348.0564	24.4907	15.8324
GM0213	430.0301	410.2906	32.665	25.8198
GM0214	322.4306	364.341	53.2927	28.0674
GM0216	290.1607	369.333	19.6479	14.8547
GM0221	435.0092	387.2462	10.4349	11.751
GM0222	456.2799	372.5603	41.9667	17.7942
GM0225	352.3806	349.2727	23.7699	16.3817
GM0226	415.586	369.1915	15.7267	17.4959
GM0228	373.9771	400.0465	62.3221	40.4226
GM0230	387.6358	485.9341	25.636	28.1684
GM0232	407.2382	464.1538	38.8388	35.7903
GM0233	359.2675	453.1596	32.8254	22.2823
GM0236	293.3901	354.8371	34.8435	22.0192
GM0241	403.3439	328.5386	17.5891	22.055
GM0243	357.689	467.2267	20.9736	19.341
GM0244	419.8478	501.7133	15.8158	16.3967
GM0246	418.295	484.0033	27.4901	24.6394
GM0252	384.1216	327.3919	25.4436	14.6021
GM0262	462.5379	425.9953	52.0928	37.2756
GM0263	303.8781	328.4025	37.667	26.1261
GM0265	416.99	347.2447	12.0494	11.183
GM0267	337.7214	435.7107	37.1587	24.5029
GM0268	387.3892	342.8593	23.2048	26.1658
GM0269	402.6459	496.5785	29.7764	32.6643
GM0273	347.9657	443.8548	31.6235	22.3772
GM0274	380.808	380.0158	24.2918	16.2259
GM0275	419.6971	390.2718	28.5274	28.5485
GM0277	408.5936	392.1943	11.0438	19.9408
GM0279	335.4495	404.6042	12.2799	10.3724
GM0281	319.971	353.7739	21.8931	17.7609
GM0282	406.0897	342.9792	22.9002	15.747
GM0285	429.2928	441.9262	26.2182	46.7158
GM0289	361.142	374.1942	18.3085	16.1193
GM0293	409.2811	372.2486	8.2516	10.5281
GM0294	525.9958	375.8784	31.3857	36.0155
GM0296	366.6773	337.0699	31.4393	23.6167
GM0297	280.5704	327.5546	44.5532	22.3563
GM0299	426.1641	370.9422	25.8649	30.5779
GM0301	448.6676	415.096	28.9804	20.2049
GM0302	378.3897	466.4423	31.0594	34.7314
GM0303	368.1301	505.3259	45.3449	61.4918
GM0304	302.1847	340.324	40.7279	14.796
GM0305	253.3644	448.5465	17.533	19.2071
