Code	X	Y	Width	Height
GM0003	536.9317	714.342	12.7227	14.4406
GM0005	500.4866	708.5358	15.4541	24.4174
GM0007	578.0067	660.4941	28.5666	30.536
GM0009	515.1671	702.6373	21.8355	19.7321
GM0010	550.3181	717.1941	48.1975	46.1336
GM0014	495.2396	689.2124	30.6891	21.5904
GM0015	454.1369	681.9636	34.4195	30.4019
GM0017	504.0116	671.7542	22.2984	22.5638
GM0018	520.635	668.3903	28.1176	32.3694
GM0022	467.2471	672.3124	26.5337	34.4903
GM0024	517.5509	721.1713	36.5323	31.9999
GM0025	449.8071	671.0626	25.7597	26.5326
GM0034	297.3007	474.448	39.3284	33.0221
GM0037	558.7239	634.1609	36.1624	38.6623
GM0039	559.4016	682.261	26.1438	39.2192
GM0040	526.9667	692.814	40.8665	32.9042
GM0047	543.3334	654.8163	24.173	24.0322
GM0048	579.6824	622.7596	29.8139	55.8583
GM0050	329.68	468.9698	49.2588	47.5654
GM0051	378.9931	624.292	45.0847	39.8152
GM0052	566.6303	670.7145	14.6537	13.5454
GM0053	484.7835	719.2033	23.1304	42.5421
GM0055	384.6649	656.4907	39.1461	37.9079
GM0056	466.0077	702.0044	41.9084	33.0332
GM0058	412.7557	727.9282	51.1075	39.5892
GM0059	429.3913	684.8812	32.2696	31.3679
GM0060	379.153	744.4687	54.4209	13.4365
GM0063	356.6699	702.5253	31.642	27.4475
GM0064	338.677	648.2997	9.5	8.8517
GM0065	407.1487	702.0022	29.1824	24.5518
GM0070	339.566	681.7588	27.487	34.0156
GM0072	328.1032	676.5144	13.0277	16.646
GM0074	417.3526	626.7266	48.6692	32.4403
GM0079	435.5279	708.0557	37.357	28.6899
GM0080	382.9964	678.2136	26.6782	30.4474
GM0081	377.0787	697.3862	17.8212	17.6279
GM0082	375.0427	595.7571	36.5216	24.8935
GM0083	361.273	685.191	22.0493	22.395
GM0085	449.6617	630.9264	51.5847	42.2737
GM0086	430.1886	644.6342	60.9493	41.3699
GM0088	445.2851	753.5459	33.8203	15.581
GM0090	414.742	661.6904	47.4251	22.3448
GM0091	363.1288	640.4622	21.1476	14.4931
GM0093	313.1093	719.6968	60.6332	50.7185
GM0096	260.7742	696.5237	46.8461	25.9529
GM0098	415.9551	600.6812	64.7482	36.0275
GM0104	329.0807	614.6981	31.798	40.8633
GM0106	495.1331	633.0319	22.1737	32.5213
GM0109	520.8443	572.302	43.7642	63.0458
GM0114	556.8371	573.2654	39.8434	60.0932
GM0118	490.1951	565.3632	34.8748	36.3764
GM0119	442.3135	563.047	25.4025	26.1433
GM0140	357.1233	663.6947	36.0138	29.3202
GM0141	513.2587	469.7963	18.942	27.2812
GM0144	461.4942	446.2583	19.1212	13.9747
GM0147	526.6394	461.9911	17.2621	14.4683
GM0148	453.722	510.9993	33.9959	43.6962
GM0150	445.3062	450.0321	34.9455	25.9606
GM0153	545.9426	440.2739	34.5602	31.1848
GM0158	529.0554	424.4393	40.8837	22.0647
GM0160	493.2236	526.1885	70.8369	52.1855
GM0163	483.3641	480.6627	40.1857	36.1118
GM0164	531.7529	447.1659	22.7766	30.778
GM0166	400.0072	520.2601	33.4556	38.6821
GM0168	566.0067	459.7595	20.9655	39.8369
GM0171	381.8584	564.2252	64.5885	58.2531
GM0173	551.1143	461.435	13.8475	12.7945
GM0175	482.9647	510.6864	44.0636	41.0531
GM0177	453.9654	479.6931	40.0804	43.2513
GM0180	443.8367	541.9317	35.3611	27.7924
GM0183	535.8573	484.9639	42.7205	37.0726
GM0184	354.253	548.756	9.5206	8.2704
GM0189	496.6091	469.3704	25.1958	37.1061
GM0193	428.0452	511.2742	31.5496	36.9848
GM0196	425.0877	352.0604	28.0067	18.6841
GM0197	501.3724	364.2653	30.4097	25.4471
GM0199	425.7267	380.1834	25.0521	12.0117
GM0200	397.5004	427.2135	54.3541	53.1929
GM0202	396.9109	383.6441	28.9451	36.1721
GM0203	357.4502	424.9533	52.2481	35.6386
GM0207	450.7534	359.5486	27.5692	20.0069
GM0209	373.9225	348.0091	24.484	15.8266
GM0211	494.5793	416.1875	21.9872	24.9628
GM0213	429.9802	410.2565	32.5766	25.8368
GM0214	322.3985	364.3188	53.3412	28.0286
GM0216	290.2034	369.284	19.7532	14.844
GM0218	434.8507	369.0972	16.0988	17.1376
GM0219	489.8133	353.8906	9.2696	14.5631
GM0221	435.0041	387.3105	10.4353	11.4718
GM0222	462.2902	372.4038	29.9388	17.5137
GM0225	352.3987	349.2092	23.8221	16.421
GM0226	415.6224	369.1491	15.8113	17.4985
GM0228	373.9774	399.9885	62.3097	40.455
GM0229	510.6655	401.7156	38.32	29.0695
GM0230	387.6355	485.8971	25.6244	28.1749
GM0232	407.2268	464.1133	38.8289	35.7914
GM0233	359.3038	453.1241	32.7388	22.2724
GM0236	293.3586	354.7932	34.8795	22.0199
GM0237	472.9712	353.5918	30.267	27.5629
GM0239	456.4464	431.9261	39.9041	25.3317
GM0240	508.1989	394.3034	9.6574	7.9522
GM0241	403.3379	328.4952	17.5896	22.0531
GM0243	357.6671	467.1905	21.0155	19.345
GM0244	419.8398	501.7165	15.8113	16.4822
GM0246	418.2808	483.9856	27.4737	24.6845
GM0248	465.5115	395.2614	26.5088	14.0165
GM0252	384.1149	327.3637	25.4444	14.59
GM0256	447.2993	384.6453	21.4232	15.828
GM0260	499.8576	383.6	29.2858	18.7332
GM0262	475.2929	425.3847	26.5762	36.1389
GM0263	303.8829	328.3591	37.6402	26.1243
GM0265	416.9843	347.2069	12.0498	11.0422
GM0266	506.1314	421.0827	20.4512	15.9812
GM0267	337.7133	435.4101	37.1599	23.9083
GM0268	387.3342	343.0925	23.3442	26.7113
GM0269	402.6254	496.5391	29.8129	32.6653
GM0273	347.9611	443.8043	31.6181	22.3591
GM0274	380.8081	379.9842	24.2737	16.251
GM0275	419.6758	390.214	28.5598	28.5865
GM0277	408.5792	392.1516	11.0272	19.9415
GM0278	484.5308	397.0869	20.1302	26.206
GM0279	335.4621	404.5594	12.3219	10.3778
GM0280	442.3474	398.0257	24.8997	18.2936
GM0281	319.9882	353.73	21.9239	17.7615
GM0282	405.9579	342.9157	22.6493	15.7091
GM0285	429.5658	441.8583	25.6583	46.7705
GM0286	462.2643	408.4079	31.5287	17.8932
GM0289	361.1346	374.1498	18.3091	16.1221
GM0291	454.5273	416.723	17.2528	8.7634
GM0292	444.4115	372.3239	18.24	11.0737
GM0293	409.1988	372.2256	8.0542	10.5612
GM0294	525.9937	375.8352	31.3867	36.0167
GM0295	477.7546	365.439	35.1948	24.5495
GM0296	366.6489	336.9909	31.5466	23.5483
GM0297	280.5518	327.4973	44.5375	22.332
GM0298	470.05	384.3682	34.7274	18.796
GM0299	426.5851	365.8605	20.8438	20.7568
GM0301	444.5875	415.0223	20.8161	20.2691
GM0302	378.387	466.4587	31.0344	34.846
GM0303	367.7239	504.5913	44.5401	59.7282
GM0304	302.1724	340.3118	40.7353	14.8347
GM0305	253.3537	448.5038	17.5336	19.2043
GM0306	328.469	385.4168	23.2661	21.5972
GM0307	319.4418	422.9915	27.3618	27.7122
GM0308	300.7548	431.807	19.035	16.8784
GM0310	283.6343	418.1671	20.8708	29.8755
GM0311	255.1842	425.5666	21.0273	25.5846
GM0312	291.8344	391.5189	19.5609	20.2738
GM0313	313.5691	441.9182	14.273	17.0352
GM0315	311.2022	392.0672	15.4426	15.2211
GM0316	303.8679	393.8211	14.6199	19.5808
GM0317	301.2829	444.6591	16.6501	15.6036
GM0321	288.5599	384.0135	23.4245	24.376
GM0326	324.1369	388.407	19.1322	15.2394
GM0327	322.0855	413.333	31.3195	18.0468
GM0329	262.2578	441.3186	13.2108	26.3424
GM0331	250.4054	377.5943	35.3163	21.8775
GM0332	317.8985	396.1428	16.3644	13.7796
GM0333	268.1283	419.1414	18.0566	15.8112
GM0335	249.6733	393.4131	23.0901	17.3937
GM0339	340.1071	400.1195	10.3779	16.4866
GM0340	344.4526	377.1875	21.7742	18.8025
GM0342	304.2397	421.344	16.3978	23.5631
GM0344	271.2447	403.1695	34.6808	29.0622
GM0345	343.5547	387.7447	12.0049	13.1634
GM0351	319.9272	402.0706	30.7025	18.5571
GM0352	309.2526	379.7065	26.6124	18.0362
GM0353	262.708	388.6011	15.2219	17.578
GM0355	298.9941	410.5879	21.5656	27.9312
GM0356	273.3671	389.5253	10.5948	16.2086
GM0358	219.8424	447.7266	23.6609	22.2227
GM0361	221.8444	541.8227	14.1133	22.7394
GM0362	236.0607	453.8817	17.631	22.0951
GM0363	243.3773	471.0592	52.0107	38.5466
GM0364	292.5311	565.3864	16.3216	11.1975
GM0365	231.7951	519.4369	13.2809	14.2818
GM0366	234.5394	596.3839	23.2253	28.8286
GM0370	246.2309	522.9511	24.9565	25.8428
GM0372	197.0651	462.9758	4.3034	3.7971
GM0373	210.6344	548.9881	21.9102	45.6747
GM0375	204.8024	502.2917	19.1783	11.6055
GM0376	298.7632	452.0024	17.3436	12.5568
GM0377	195.6483	476.1262	13.7849	32.1181
GM0381	284.7467	449.671	9.7177	7.3089
GM0383	211.8282	522.4166	27.9178	16.2332
GM0384	257.1157	465.989	14.1816	10.5357
GM0385	265.4359	508.6127	13.4046	10.2851
GM0388	301.7712	561.4886	7.5212	14.9558
GM0392	204.2087	478.6141	13.3661	22.4877
GM0393	215.0893	483.8963	13.8151	13.9759
GM0394	210.3067	457.6876	41.4146	42.8718
GM0395	224.3852	566.4551	24.1559	21.959
GM0396	206.136	509.9694	20.3097	11.5046
GM0397	199.8915	468.3891	7.8758	10.3093
GM0398	235.3219	552.0142	17.5311	22.6071
GM0399	215.1681	533.1005	12.438	11.5186
GM0400	223.0428	613.2429	15.0057	21.9002
GM0402	283.3745	440.0056	17.8959	27.0217
GM0405	269.18	546.1144	15.7887	12.5873
GM0406	295.0093	454.9749	15.8751	12.3471
GM0412	240.7151	571.8193	21.2597	25.3634
GM0415	247.046	495.0672	8.8133	19.7267
GM0416	226.0549	555.0136	15.9838	20.7394
GM0417	291.9852	442.6891	8.4055	15.1987
GM0420	274.2158	570.521	7.3807	10.7925
GM0424	269.7127	462.5376	17.8013	9.1256
GM0425	283.8026	457.7869	20.6141	12.4313
GM0429	244.5348	549.9792	12.3775	14.8228
GM0431	239.8321	495.3657	9.7765	13.8475
GM0432	252.5095	560.7633	17.0834	20.8889
GM0437	245.325	455.9565	13.1478	21.91
GM0439	254.8712	507.2421	15.944	14.7326
GM0441	227.2253	578.6336	14.2229	12.446
GM0448	225.9305	650.5701	40.0631	55.7717
GM0450	218.8357	513.4105	14.0449	14.191
GM0451	226.0291	440.8839	19.8311	13.4335
GM0453	203.2761	495.2243	26.5821	19.6601
GM0454	285.6867	545.4933	22.2106	16.589
GM0457	268.4047	457.3715	13.778	11.4885
GM0458	234.0815	532.7571	27.8006	22.5055
GM0459	279.9444	561.826	15.625	19.6579
GM0462	262.9417	617.8534	43.9191	28.9051
GM0463	258.8101	591.9954	35.9327	43.3408
GM0466	264.5728	553.223	16.9142	9.6142
GM0473	188.756	472.2229	15.1411	21.8911
GM0476	220.1451	584.729	28.3835	37.7832
GM0478	260.2737	523.5543	17.6225	23.6518
GM0479	223.5926	499.6806	28.6921	26.3423
GM0480	216.6197	426.9979	14.1977	16.758
GM0482	206.0641	347.4362	11.4525	10.6799
GM0483	196.2471	430.5135	17.4046	14.4244
GM0484	210.648	415.2746	21.8512	18.2566
GM0489	184.6312	345.6396	14.0643	11.0289
GM0491	220.1679	368.5953	24.3138	19.6977
GM0492	182.8576	378.5502	13.0102	11.4559
GM0493	175.62	382.1853	12.6385	17.1972
GM0495	186.2753	388.7504	10.1123	18.5029
GM0497	222.9236	405.5955	19.8812	14.7011
GM0498	281.7916	551.99	17.2298	14.1935
GM0499	207.6274	402.3413	13.9083	10.1652
GM0501	132.3647	356.1358	15.9555	20.5548
GM0502	193.0203	366.6084	12.7715	14.7687
GM0503	160.0801	382.8672	13.4075	16.6568
GM0504	114.3899	322.7092	17.6966	25.5911
GM0505	219.7953	325.2015	40.9373	26.0436
GM0511	96.8826	334.2845	38.2758	24.5921
GM0512	254.7474	342.3606	16.5526	11.3103
GM0513	213.3279	386.9955	15.1126	10.9559
GM0517	196.0418	324.3514	9.5137	19.5669
GM0518	151.9839	401.0751	34.701	28.3021
GM0523	237.2481	341.849	19.1191	11.1098
GM0529	267.4124	564.9389	24.7089	19.5478
GM0530	122.635	346.1902	22.5186	15.4708
GM0531	201.7965	344.29	11.282	11.3621
GM0532	293.1433	556.59	11.2692	10.1001
GM0534	193.876	456.4337	10.6815	11.8272
GM0537	167.6395	431.5353	10.456	12.7937
GM0542	195.7226	361.8392	14.534	6.9414
GM0545	271.4936	357.475	19.8361	22.0783
GM0546	178.765	420.7136	13.0936	16.2394
GM0547	188.2501	422.0063	8.7413	12.6385
GM0553	188.5239	446.3875	9.1734	16.1146
GM0556	142.6331	364.9675	12.3255	10.7761
GM0558	252.5177	541.7205	25.3248	21.1173
GM0559	131.3064	317.9334	23.5409	27.7076
GM0563	204.7259	382.1376	11.0831	12.7296
GM0567	199.1366	374.1364	10.3139	16.4383
GM0568	139.9226	340.5617	24.5201	21.9845
GM0569	230.1311	417.5497	23.7518	17.003
GM0571	208.6986	353.9944	18.8149	5.714
GM0575	178.0076	449.8728	21.4324	30.1562
GM0576	183.2312	451.276	17.2009	20.5186
GM0579	176.5013	428.7209	9.6698	10.6434
GM0580	146.8994	306.2309	37.7174	18.9525
GM0584	167.3786	334.8953	11.4409	14.454
GM0585	182.1739	333.6095	27.0794	16.0214
GM0588	152.8628	326.7984	28.5266	24.3663
GM0589	237.2014	388.4642	19.7776	19.3209
GM0590	212.6141	341.0502	11.5099	6.9969
GM0595	222.4339	393.6756	32.9355	16.0094
GM0597	195.9126	350.3151	15.0489	16.1488
GM0599	148.9653	363.6464	95.6352	40.3059
GM0600	138.579	363.1412	12.111	11.48
GM0602	173.6211	432.5523	5.8749	8.7163
GM0603	154.0917	392.4692	10.306	12.2562
GM0604	184.2156	437.3821	11.4872	8.6722
GM0606	163.0394	365.4853	10.3135	16.7474
GM0608	235.5097	370.7325	7.7806	8.154
