Code	X	Y	Width	Height
GM0352	309.2327	379.6897	26.5934	17.9879
GM0353	262.7319	388.6378	15.2572	17.4893
GM0355	299.0068	410.7526	21.5541	28.2274
GM0356	273.3602	389.5515	10.5698	16.2217
GM0358	219.8882	447.7462	23.66	22.1839
GM0361	221.8784	541.8641	14.0769	22.7677
GM0362	236.0835	453.9268	17.5788	22.1996
GM0363	243.4198	471.0792	51.9877	38.4902
GM0365	231.7757	519.4742	13.2173	14.3149
GM0370	246.2475	522.9827	24.9336	25.83
GM0373	210.6476	549.0464	21.9131	45.6448
GM0375	204.817	502.3152	19.1815	11.5528
GM0376	299.5995	452.0654	19.1103	12.5565
GM0377	195.6528	476.1928	13.7716	32.1521
GM0381	284.6777	449.7176	9.7388	7.3157
GM0383	211.8416	522.5368	27.937	16.4067
GM0384	257.1423	466.0231	14.1394	10.5537
GM0385	265.4447	508.6073	13.3903	10.3872
GM0388	302.0696	561.1138	8.1208	15.7615
GM0392	204.2647	478.6116	13.3709	22.4192
GM0393	215.0923	483.9094	13.7982	14.0155
GM0394	210.3335	457.7259	41.4924	42.8731
GM0396	206.1503	509.9494	20.3055	11.3996
GM0397	199.8968	468.4528	7.8264	10.1853
GM0398	235.335	552.0279	17.5194	22.6354
GM0399	215.1321	533.0926	12.3142	11.5449
GM0400	224.6206	613.2965	18.1364	21.8343
GM0402	283.3821	440.0093	17.906	27.0213
GM0405	269.1454	546.6052	15.7704	13.5041
GM0406	295.4996	455.1069	16.718	12.3899
GM0415	247.0466	495.0973	8.8152	19.6709
GM0416	226.0631	555.0529	15.9967	20.7588
GM0417	292.0292	442.6782	8.5942	15.1458
GM0420	277.8902	562.2029	45.595	27.5254
GM0424	269.8528	465.7924	18.0828	15.5222
GM0425	283.8162	457.77	20.647	12.3677
GM0431	239.8843	495.4363	9.692	13.791
GM0432	252.5171	560.8318	17.0594	20.7775
GM0437	245.3433	455.9953	13.0814	21.9008
GM0439	254.9355	507.228	15.8375	14.6545
GM0441	221.2496	579.5813	30.6643	48.1417
GM0448	226.7533	650.8952	38.7095	56.058
GM0450	218.8254	513.452	14.0333	14.1701
GM0451	226.0871	440.8893	19.7986	13.4108
GM0453	201.9346	495.2676	28.9457	19.6353
GM0457	268.4383	457.4054	13.7428	11.49
GM0458	234.1159	532.687	27.8299	22.7045
GM0473	188.7845	472.2516	15.1728	21.8596
GM0478	260.2955	523.623	17.6705	23.6179
GM0479	223.6115	499.7224	28.6857	26.2635
GM0482	206.0836	347.4867	11.407	10.7091
GM0484	210.6579	415.2963	21.8304	18.2743
GM0489	184.682	345.6512	14.1253	11.027
GM0491	220.1909	368.5856	24.3099	19.752
GM0498	285.0037	548.1557	23.462	21.8541
GM0499	207.6337	402.3617	13.8866	10.1077
GM0501	132.3272	356.1784	15.8624	20.5419
GM0502	193.0268	366.6412	12.7866	14.7665
GM0503	160.0799	382.9175	13.3795	16.5261
GM0505	219.7914	325.2183	40.9059	26.0644
GM0512	254.5982	342.3764	16.8911	11.2081
GM0513	213.3707	387.0363	15.0482	10.8934
GM0518	151.9042	401.137	34.8888	28.1865
GM0523	237.2579	341.8714	19.1146	11.1314
GM0530	122.6579	346.1883	22.4507	15.505
GM0531	201.8035	344.1954	11.2275	11.5393
GM0532	293.1536	556.6935	11.2654	9.9406
GM0534	193.8763	456.4855	10.7064	11.7497
GM0537	169.5714	429.9525	14.1355	15.9719
GM0542	195.7377	361.7682	14.5391	7.1057
GM0545	271.4731	357.4715	19.763	22.162
GM0546	178.7382	420.8285	13.0658	16.3808
GM0547	188.2423	422.0285	8.6957	12.5693
GM0553	188.6049	446.4552	9.064	16.0566
GM0556	142.6697	364.9487	12.2575	10.6679
GM0568	139.4768	340.596	25.464	21.9802
GM0569	225.7375	424.3529	32.3793	30.5459
GM0575	178.0534	449.9381	21.3993	30.0275
GM0576	183.2203	451.308	17.1869	20.5383
GM0579	176.542	428.7772	9.5585	10.5494
GM0584	167.444	334.9153	11.3926	14.4855
GM0585	184.7257	328.1182	32.1701	27.0901
GM0588	152.6167	324.7286	28.8892	28.5781
GM0589	237.236	388.4708	19.7353	19.1409
GM0590	212.6276	341.093	11.5614	7.0736
GM0597	195.9649	350.3473	15.1265	16.1122
GM0599	149.191	363.6669	95.1778	40.275
GM0603	154.1525	392.467	10.215	12.1677
GM0606	163.041	365.5231	10.2976	16.7061
GM0608	235.5125	370.8945	7.7649	8.3234
GM0610	222.55	340.0301	12.6775	7.8772
GM0611	174.0161	318.8303	23.307	22.0641
GM0612	158.6934	342.6546	22.9506	13.3903
GM0613	170.9894	345.9956	16.8116	10.4893
GM0614	115.2904	356.4375	25.6527	22.5921
GM0617	188.9225	317.9639	22.1152	23.0899
GM0620	275.3887	374.0888	21.5775	17.4666
GM0622	152.8156	363.8139	15.907	14.333
GM0623	225.1522	378.1888	24.7669	19.2847
GM0626	171.5532	414.3763	10.5183	12.0482
GM0627	204.1932	393.7152	17.7379	16.3758
GM0629	162.0966	418.3028	21.6304	22.8766
GM0632	242.8869	410.6033	32.7501	24.3674
GM0637	179.1893	398.4793	21.911	15.3513
GM0638	183.1556	411.291	12.2833	16.7077
GM0642	198.1115	338.5716	18.2219	11.6912
GM0643	205.7584	360.1973	26.2028	10.6659
GM0644	208.3002	371.8212	18.2844	22.174
GM0653	342.1187	604.8	35.9748	28.7392
GM0654	71.9198	245.6294	36.3047	29.6736
GM0664	76.3214	263.3302	41.5942	18.8077
GM0668	336.5144	344.9787	32.405	21.3494
GM0677	114.2476	215.168	46.6055	42.2525
GM0678	95.5873	256.4282	17.2994	20.5282
GM0687	48.6499	260.5302	26.8453	16.9559
GM0689	247.7812	352.8906	29.3479	25.3496
GM0703	122.3043	245.3404	44.1282	36.8833
GM0707	260.4628	363.5455	27.085	26.2572
GM0715	73.0986	208.1184	56.1442	47.7837
GM0716	119.657	276.0817	40.5944	41.7561
GM0717	36.6811	274.3182	47.3856	46.2062
GM0718	31.6535	254.0781	54.2318	45.4007
GM0733	270.0546	344.8981	25.6158	18.7866
GM0736	244.6096	440.3817	35.0432	35.4837
GM0737	406.119	683.9541	42.942	41.734
GM0738	268.2345	319.3151	23.9874	19.1897
GM0743	380.0451	228.6718	27.6697	26.5207
GM0744	240.2427	241.387	38.2728	21.8831
GM0748	147.6856	259.4503	23.9642	32.8442
GM0753	319.933	259.3392	15.2653	19.1726
GM0755	365.7926	283.3676	20.5826	11.6884
GM0756	406.1949	290.6454	30.0854	41.0213
GM0757	308.5918	279.1172	24.7321	22.819
GM0758	221.1776	273.3904	33.1778	39.4563
GM0762	386.6091	239.1313	33.6253	37.9214
GM0765	557.4681	651.6046	20.3178	26.4082
GM0766	250.7617	292.8112	15.5308	18.0079
GM0770	306.6151	230.1435	23.626	37.6131
GM0772	328.4799	243.9727	29.9823	24.2535
GM0777	202.0307	276.4225	16.2334	29.3854
GM0779	239.0676	306.1702	16.9599	12.0597
GM0784	242.837	272.8815	23.5025	26.5699
GM0785	263.016	258.3726	22.2129	17.3201
GM0786	373.8438	318.6612	16.8438	14.2304
GM0788	293.8255	288.8164	26.7209	21.094
GM0794	359.7725	250.2987	25.9477	17.7645
GM0796	307.4618	310.1571	34.6686	24.5671
GM0797	283.9142	304.2849	26.3785	26.8672
GM0798	281.1407	253.6501	31.6641	29.4805
GM0809	265.186	292.2725	18.4898	17.7784
GM0815	377.9787	301.9003	22.246	23.3533
GM0820	344.4601	253.3623	15.5564	26.0363
GM0823	303.1694	254.08	31.3107	31.9543
GM0824	289.6155	270.5357	22.9724	23.5457
GM0826	235.788	290.2225	23.8548	26.9529
GM0828	340.6952	327.143	55.4402	24.9593
