GM-CODE	COMPUTE-CENTROID-x	COMPUTE-CENTROID-y	
SVK	309.402314172719	499.760834194746	EU
SVN	303.688385473436	495.615341311963	EU
SWE	304.85250127065	520.917659329017	EU
SWZ	327.219641632285	377.773850164386	AF
SYR	336.070831127148	477.779779161932	AS
TCD	309.610407986809	445.700801372037	AF
TGO	284.473741071224	434.796914440905	AF
THA	426.760218721764	445.291304029633	AS
TJK	378.8528597052	483.422409154313	AS
TKM	363.092385235576	484.400138689809	AS
TLS	463.28771842365	406.451318345694	AS
TUN	296.750451834816	476.135038558889	AF
TUR	330.968110262509	484.292012000163	AS
TZA	332.791231259921	410.693180495202	AF
UGA	329.372085673781	422.917520541661	AF
UKR	324.433114222715	500.141912327013	EU
URY	207.405197679825	367.429443747931	SA
USA	153.2309110217	484.729201478087	NA
UZB	367.223880033881	488.618868214008	AS
VEN	188.462040248496	432.345617271226	SA
VNM	434.083716921093	447.649112453782	AS
XKX	311.729217747933	490.034431675802	EU
YEM	350.773220294196	446.664895411804	AS
ZAF	318.284301796488	373.87401908452	AF
ZMB	322.637282647793	399.042228623849	AF
ZWE	325.35835201795	390.052327953469	AF
