COMPUTE_CENTROID	WOZ	P_15_24_JR	P_ANT_ARU	MOTOR_2W	P_OVER_NW	STERT_TOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	GEBOO_TOT	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	P_GEBOO	GM_NAAM	POSTCODE	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	OPP_LAND	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_STERFT	P_COMBI	BEDR_TOT	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
146.5296670708505 259.0404448745179	194	11	0	2195	2	570	1	15	32	-99999999	36	555	349	9313	5	28450	1590	1304	GM0748	8	Bergen op Zoom	-99999999	817	4	55	8009	19	17	27945	28	1.0	3260	2.3	9	9	2740	35	62	28150	9	2	32340	18	130	28	-7	33100	13	32	65440
319.6614565733247 260.28219178237515	277	11	0	1155	2	195	0	13	24	-99999999	43	340	384	3512	2	11530	1287	81	GM0753	12	Best	-99999999	846	0	26	3431	18	21	13170	27	1.1	1675	2.5	7	12	1410	62	67	11420	8	3	14480	15	90	29	-10	14530	5	33	29010
366.01201941880606 283.6410414217967	295	11	0	660	1	65	0	13	21	-99999999	48	125	124	3452	0	3360	423	1	GM0755	13	Boekel	-99999999	275	0	29	3451	35	22	4275	27	1.3	1180	2.7	7	9	460	62	53	3325	4	5	4860	12	230	28	-2	4650	1	31	9500
405.77023926664737 287.58897702561137	266	10	0	1280	1	235	0	14	25	-99999999	42	300	120	11395	1	11200	585	240	GM0756	10	Boxmeer	-99999999	258	1	38	11154	19	19	13355	30	1.2	2175	2.5	8	16	1175	46	63	11145	7	4	14290	18	320	26	-3	14430	3	34	28730
308.74096385139 276.425974820382	264	12	1	1135	3	240	1	14	29	-99999999	38	360	206	6477	1	12330	1065	108	GM0757	12	Boxtel	-99999999	471	2	21	6369	25	18	13145	29	1.1	2170	2.4	8	15	1365	65	60	12165	6	3	14880	15	150	27	-5	15120	7	32	30000
220.58031629820243 278.50943214797087	224	13	1	4805	3	1540	1	15	40	-99999999	31	2010	1055	12915	2	79190	1880	238	GM0758	12	Breda	-99999999	1344	3	50	12678	14	17	133745	25	1.7	17890	2.1	9	12	8595	38	69	74515	10	2	82720	17	270	30	-6	87630	10	29	170350
387.0301676826356 241.08811107184155	270	13	0	1310	1	225	1	15	24	-99999999	42	290	122	11837	0	12340	807	125	GM0762	9	Deurne	-99999999	272	1	24	11712	29	18	14340	29	1.2	2940	2.5	7	13	1485	63	60	12130	5	4	16040	12	465	26	-3	15800	3	34	31840
557.3776451214692 652.769314253601	134	11	0	610	3	130	0	16	30	-99999999	37	100	121	5020	0	5750	504	111	GM0765	8	Pekela	-99999999	271	0	65	4909	22	18	5955	29	1.0	880	2.3	10	13	375	21	64	5505	6	4	6710	14	50	27	-5	6590	4	33	13300
250.91076774710785 291.06547210194856	239	11	0	1040	2	215	1	15	27	-99999999	40	255	387	2972	3	10290	1092	40	GM0766	10	Dongen	-99999999	869	0	49	2932	22	19	11340	29	1.1	1425	2.4	8	9	1055	41	61	9985	6	3	12730	17	135	27	1	12750	6	33	25480
306.8447708020559 230.92948291674372	326	11	0	885	1	115	0	16	24	-99999999	42	145	109	8328	0	6890	453	87	GM0770	8	Eersel	-99999999	219	0	30	8241	26	19	8975	30	1.3	1855	2.6	6	14	950	56	60	6805	5	5	9180	14	225	25	-5	8860	1	34	18040
329.3930100632761 244.33674375189793	202	13	1	6400	5	1870	2	16	45	-99999999	27	2420	1023	8884	5	104290	2149	114	GM0772	12	Eindhoven	-99999999	2391	2	41	8770	15	16	89745	24	0.9	10570	2.0	9	11	9995	48	70	95095	12	2	106060	16	25	32	-10	103640	15	28	209700
202.42066869620646 277.017683752564	227	11	1	1400	4	330	1	13	28	-99999999	39	425	327	5588	2	16930	1477	51	GM0777	10	Etten-Leur	-99999999	733	2	53	5536	23	18	18115	28	1.1	2460	2.4	8	14	1765	33	62	16255	8	3	20180	15	195	29	-5	20410	9	33	40590
239.50024960642838 306.5307487886107	226	11	0	800	1	195	1	14	25	-99999999	41	205	364	2969	0	8500	924	299	GM0779	10	Geertruidenberg	-99999999	776	0	28	2670	26	18	9705	29	1.1	1415	2.4	9	12	1120	60	62	8555	6	4	10370	12	50	29	-9	10360	3	35	20720
245.07313044591498 271.9864239069431	247	11	0	1190	2	170	0	14	25	-99999999	40	275	179	6567	3	10200	941	16	GM0784	11	Gilze en Rijen	-99999999	387	0	22	6551	23	19	11720	29	1.1	1630	2.5	7	13	1110	65	62	9680	7	4	12860	16	145	27	-6	12510	6	35	25380
262.682992775357 259.8881378319462	269	12	0	855	1	170	0	15	23	-99999999	41	225	242	4224	1	8820	1040	20	GM0785	10	Goirle	-99999999	525	0	27	4204	21	17	10170	32	1.2	1110	2.5	8	6	955	67	61	8890	7	3	10980	18	65	24	-6	11100	3	36	22080
373.5497507892779 317.9168483078143	235	11	0	565	3	85	0	13	25	-99999999	40	125	221	2804	0	4960	570	83	GM0786	10	Grave	-99999999	471	0	24	2721	22	19	6005	29	1.2	675	2.4	7	16	495	60	60	4840	9	4	6520	18	80	28	0	6300	4	35	12820
291.8672147196099 288.4694920671936	346	11	0	575	1	95	0	15	22	-99999999	43	110	112	5853	0	5040	311	86	GM0788	8	Haaren	-99999999	239	0	30	5766	21	19	6445	31	1.3	1465	2.6	7	11	645	58	62	4915	4	5	7000	16	250	25	0	6780	1	35	13770
360.38483016491875 251.001404867732	209	11	1	2810	3	625	1	12	31	-99999999	38	1130	702	5456	3	36690	1515	145	GM0794	13	Helmond	-99999999	1620	4	44	5312	22	20	37265	26	1.0	4655	2.3	7	8	3755	49	62	36760	10	2	43160	15	80	31	-5	42900	11	31	86060
308.475648297495 310.74457401771303	236	12	1	3810	3	950	1	13	38	-99999999	33	1620	810	9126	2	62300	1901	681	GM0796	12	's-Hertogenbosch	-99999999	1606	3	29	8445	17	17	68405	26	1.1	9480	2.1	7	11	7710	60	67	59065	9	2	66670	16	120	31	-5	68980	10	29	135650
282.86090880539837 306.1346157223736	278	12	0	1750	2	265	0	13	24	-99999999	43	460	254	8118	3	16830	922	233	GM0797	11	Heusden	-99999999	544	1	37	7885	27	19	20030	28	1.2	2740	2.5	6	12	2035	52	58	16655	6	4	21600	15	220	28	-3	21290	6	33	42880
280.4215742649792 251.7598167181301	317	11	0	730	1	120	0	14	23	-99999999	43	135	77	9648	0	5780	545	156	GM0798	9	Hilvarenbeek	-99999999	159	0	18	9492	24	20	7290	29	1.3	1605	2.6	8	17	810	65	61	5750	5	4	7670	15	280	26	-1	7440	1	33	15110
