COMPUTE_CENTROID	WOZ	P_15_24_JR	P_ANT_ARU	MOTOR_2W	P_OVER_NW	STERT_TOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	GEBOO_TOT	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	P_GEBOO	GM_NAAM	POSTCODE	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	OPP_LAND	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_STERFT	P_COMBI	BEDR_TOT	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
367.6860382088288 94.97576191102938	190	15	0	2820	4	1205	0	17	47	-99999999	26	880	780	6006	1	61260	2095	325	GM0935	7	Maastricht	-99999999	2095	1	60	5681	13	13	44330	28	0.7	4635	1.9	10	23	5525	18	70	56210	15	2	57240	17	55	26	-13	61790	7	27	119040
382.71961506744157 83.49873129024492	290	11	0	495	1	95	0	17	23	-99999999	40	90	117	5770	0	5370	259	-99999998	GM0936	7	Margraten	-99999999	234	0	51	5770	20	17	6750	32	1.3	950	2.5	7	18	575	32	61	5405	10	5	6860	18	180	23	-1	6660	1	37	13520
376.6504872098808 107.15924085668118	235	10	0	835	2	140	0	18	26	-99999999	37	160	350	2771	0	8300	572	55	GM0938	8	Meerssen	-99999999	727	0	47	2715	19	16	9495	32	1.1	1140	2.3	7	16	815	38	61	8250	9	4	9730	20	60	24	0	10010	2	37	19740
395.18379595172246 216.10935843574134	253	11	0	295	1	40	0	15	20	-99999999	44	65	142	2004	0	2230	427	21	GM0941	11	Meijel	-99999999	296	0	39	1984	35	18	2810	29	1.3	465	2.6	7	17	245	44	50	2200	4	5	2950	15	110	27	-1	2920	1	36	5870
397.8274462737799 319.0620342354	302	9	0	335	2	35	0	17	26	-99999999	38	65	240	1884	0	3350	384	145	GM0944	8	Mook en Middelaar	-99999999	462	0	18	1739	17	19	4175	32	1.2	450	2.4	4	18	365	64	64	3270	10	5	3990	19	20	24	-4	4040	3	36	8030
378.7899810735214 205.54122360156651	244	11	0	770	1	95	0	15	21	-99999999	43	115	79	10179	0	6410	527	151	GM0946	7	Nederweert	-99999999	165	0	30	10027	31	18	7910	30	1.2	1435	2.6	6	14	770	56	57	6210	5	4	8380	12	325	26	-5	8160	1	36	16540
393.0026764931902 108.21671110505099	216	10	0	720	1	160	0	19	26	-99999999	37	140	244	3317	0	6610	474	4	GM0951	9	Nuth	-99999999	478	0	47	3313	20	15	8100	32	1.2	1180	2.3	10	17	765	36	63	6690	11	5	7810	18	95	24	-6	8030	2	38	15840
416.4300169214957 182.47183756593438	175	11	1	1645	4	485	0	16	36	-99999999	34	530	391	7119	4	24510	1344	1028	GM0957	10	Roermond	-99999999	891	4	42	6091	17	16	23790	28	1.0	2955	2.2	9	18	2725	40	66	24755	14	3	26670	18	85	28	-6	27580	12	31	54250
397.3123389538212 119.55864904834057	214	10	0	610	2	105	0	17	25	-99999999	39	90	285	2413	0	5620	423	5	GM0962	7	Schinnen	-99999999	558	0	61	2408	17	16	6865	32	1.2	790	2.4	8	6	535	33	62	5570	14	5	6730	21	55	24	-4	6710	2	37	13450
413.23942726740165 233.18782268328266	246	11	0	340	1	50	0	15	22	-99999999	42	85	74	4866	0	2950	410	64	GM0964	11	Sevenum	-99999999	159	0	46	4802	22	20	3565	28	1.2	655	2.6	6	14	265	40	58	2895	5	5	3870	20	165	27	-6	3760	1	36	7620
413.2570998351269 89.27004044275637	191	11	0	495	1	120	0	18	26	-99999999	37	80	358	1603	0	4780	568	-99999998	GM0965	7	Simpelveld	-99999999	706	0	28	1603	22	15	5740	32	1.2	510	2.3	10	26	370	46	57	4885	18	4	5620	20	50	24	0	5700	1	37	11320
377.72558941925314 123.98704028001949	198	10	0	1340	1	210	0	17	24	-99999999	38	210	616	2278	0	11170	818	157	GM0971	8	Stein	-99999999	1242	1	35	2121	24	16	13075	32	1.2	1710	2.3	8	16	935	48	57	11195	12	4	13140	19	30	25	0	13190	2	38	26330
411.63085214829607 75.54313472214191	156	9	0	365	3	110	0	19	38	-99999999	30	45	187	2390	0	4760	731	1	GM0981	5	Vaals	-99999999	417	0	17	2389	16	14	4460	33	0.9	345	2.1	11	9	385	74	68	4580	47	4	4950	16	35	24	-15	5010	3	32	9960
436.87306681899577 222.90901978211136	181	11	0	2490	3	835	1	16	34	-99999999	34	980	465	8641	4	40940	1514	179	GM0983	11	Venlo	-99999999	1088	3	80	8462	16	17	39365	28	1.0	5045	2.2	9	4	4020	16	67	41025	15	2	45620	17	160	28	-9	46470	11	31	92090
405.76596812809055 260.38068660212747	217	11	1	1415	3	290	1	14	28	-99999999	39	370	118	14636	3	15650	985	73	GM0984	9	Venray	-99999999	268	2	33	14563	20	19	17215	28	1.1	2675	2.4	7	14	1440	53	62	15570	9	4	19760	18	455	28	-4	19310	9	33	39070
402.06129703815094 99.25112167043406	225	10	0	475	1	90	0	18	23	-99999999	38	95	210	3155	0	5390	493	1	GM0986	7	Voerendaal	-99999999	407	0	47	3154	20	16	6625	33	1.2	675	2.4	7	18	535	35	62	5435	11	5	6390	18	90	23	-2	6460	2	38	12850
366.10767169638643 190.24046214506453	223	11	1	1770	2	400	0	16	29	-99999999	37	440	207	10544	1	20510	1180	89	GM0988	9	Weert	-99999999	464	4	24	10455	21	17	21660	29	1.1	3555	2.3	8	16	2335	60	63	20470	10	3	24290	16	245	27	-3	24200	8	33	48480
428.50093815796293 261.675403323046	247	11	0	445	1	55	0	13	20	-99999999	43	85	102	3940	0	2930	164	96	GM0993	11	Meerlo-Wanssum	-99999999	199	0	48	3844	24	19	3915	30	1.3	845	2.6	7	8	295	43	54	2935	6	5	3910	22	130	27	-9	3750	1	37	7660
387.4245020342577 97.03409138834091	225	10	0	680	1	185	0	21	33	-99999999	34	115	225	3691	0	7600	571	20	GM0994	7	Valkenburg aan de Geul	-99999999	468	0	46	3671	15	14	8250	31	1.1	905	2.2	11	11	910	43	67	7640	12	4	8530	18	80	24	-7	8660	2	34	17190
331.18902474401733 501.7196896565476	176	13	2	2305	5	475	6	10	31	-99999999	40	1010	122	76539	2	30720	1316	53265	GM0995	14	Lelystad	-99999999	310	3	58	23274	20	20	28345	28	0.9	3375	2.3	7	17	3075	25	64	29470	9	3	35920	16	140	30	-2	36330	18	29	72250
421.99788585674366 245.25746661618214	241	11	0	1405	2	230	0	15	24	-99999999	42	255	112	12256	0	11210	554	258	GM1507	9	Horst aan de Maas	-99999999	240	0	67	11998	21	20	13440	29	1.2	2525	2.5	8	12	1120	21	60	11235	6	4	14550	18	420	26	-5	14300	2	34	28850
476.4939790573544 360.01719407781235	217	10	0	2005	1	390	0	16	25	-99999999	41	395	135	13787	4	15900	587	139	GM1509	10	Oude IJsselstreek	-99999999	294	0	15	13647	28	19	18420	29	1.2	2830	2.5	10	12	1665	73	58	15880	7	4	19950	14	430	26	-5	20120	6	34	40070
183.52703471934458 436.4102548429206	301	11	0	1210	2	305	1	14	27	-99999999	43	345	523	3363	0	13700	1232	502	GM1525	10	Teylingen	-99999999	1224	1	72	2861	17	21	14965	26	1.1	1865	2.5	9	0	1545	28	65	13775	8	3	17470	18	150	28	-1	17540	4	30	35010
318.3548010969357 390.75253073292146	315	11	0	1785	2	495	0	20	32	-99999999	35	420	177	13410	1	20480	728	192	GM1581	9	Utrechtse Heuvelrug	-99999999	370	1	9	13218	14	18	23335	28	1.1	2610	2.3	10	7	2890	84	68	19760	8	4	23630	18	205	23	-3	25220	5	33	48850
501.82415093684864 385.9820679424198	230	11	0	1430	1	255	0	15	24	-99999999	42	300	122	11019	0	11430	682	49	GM1586	10	Oost Gelre	-99999999	272	1	6	10970	26	20	13350	28	1.2	2830	2.6	9	12	1255	82	60	11365	5	4	15160	14	420	26	-1	14700	2	34	29850
251.30591567533875 543.688059745772	249	12	0	1335	1	130	0	12	24	-99999999	43	230	119	8415	0	8100	353	330	GM1598	11	Koggenland	-99999999	262	0	46	8085	37	21	9615	29	1.2	2515	2.6	6	5	1050	50	50	8070	4	5	10670	13	300	26	-4	10540	2	33	21210
182.05250652783693 383.85686188530985	274	10	0	1915	2	305	2	11	20	-99999999	47	695	405	5639	1	17890	953	190	GM1621	15	Lansingerland	-99999999	880	2	85	5449	19	23	22085	25	1.2	4060	2.7	6	2	2205	12	68	18140	7	4	23990	13	295	31	-4	23940	6	33	47930
396.3898952278242 191.88337767605384	222	11	0	1675	1	295	0	15	22	-99999999	42	290	111	16486	0	14350	348	198	GM1640	8	Leudal	-99999999	226	0	42	16288	23	18	18020	30	1.3	3050	2.5	8	14	1530	45	60	14375	9	5	18540	17	485	25	-1	18280	2	36	36820
396.19823811128083 172.41482381872171	212	10	0	1130	1	220	0	18	24	-99999999	39	200	264	5802	0	9860	408	1221	GM1641	8	Maasgouw	-99999999	535	0	45	4581	22	16	12095	32	1.2	1550	2.4	9	22	1255	33	65	9890	11	5	12270	14	80	24	1	12230	2	37	24500
510.76083961346484 739.4080781937546	142	11	0	760	1	130	0	16	30	-99999999	36	170	38	54336	0	6930	349	35318	GM1651	10	Eemsmond	-99999999	88	0	66	19018	28	19	7135	29	1.0	1330	2.4	8	6	575	28	57	6990	4	5	8500	15	230	25	-3	8210	2	34	16710
375.53540920268927 267.2084720279613	263	12	0	1515	1	215	0	13	24	-99999999	44	305	105	12336	0	10750	639	70	GM1652	11	Gemert-Bakel	-99999999	227	0	21	12266	29	19	12870	29	1.2	2685	2.6	8	17	1225	62	57	10420	5	4	14130	14	420	27	-8	13760	2	32	27890
183.43915792233093 280.3175289178107	238	11	0	1165	2	240	1	16	24	-99999999	40	270	185	7524	1	12040	650	61	GM1655	9	Halderberge	-99999999	393	3	58	7463	24	17	13820	31	1.1	2050	2.4	8	12	1315	30	61	11845	5	4	14640	15	255	26	-1	14690	6	36	29330
346.37728636505557 222.00904825568867	334	10	0	750	1	125	0	17	24	-99999999	40	140	75	10512	0	5950	521	114	GM1658	9	Heeze-Leende	-99999999	146	0	22	10398	21	18	7800	31	1.3	1285	2.5	8	11	825	67	64	5970	6	4	7640	16	200	23	0	7510	2	36	15150
353.24018267456364 264.65542912136823	270	11	0	1025	1	175	0	14	22	-99999999	43	250	187	5617	0	8420	552	80	GM1659	12	Laarbeek	-99999999	393	0	27	5537	31	19	10350	29	1.2	1960	2.6	8	13	1025	60	56	8280	5	4	10980	13	200	26	-7	10760	2	35	21750
581.128845577859 685.5998974849097	123	10	0	340	2	95	0	17	31	-99999999	34	80	32	15672	0	3110	211	5828	GM1661	11	Reiderland	-99999999	71	0	48	9844	20	15	3175	32	1.0	590	2.2	14	14	195	38	57	3160	12	5	3520	22	80	26	-5	3480	3	35	7000
461.04082174911565 727.0088380153751	144	11	0	535	1	95	0	17	32	-99999999	35	110	28	24031	0	4640	148	7271	GM1663	10	De Marne	-99999999	64	0	60	16760	21	17	4750	31	1.0	1050	2.3	9	7	435	32	64	4730	4	5	5440	15	180	24	-3	5320	1	34	10750
194.11204482454664 387.5630312303906	272	13	0	450	1	75	0	15	24	-99999999	43	100	159	3110	0	3860	509	125	GM1666	10	Zevenhuizen-Moerkapelle	-99999999	347	0	76	2985	23	20	4755	27	1.2	1115	2.6	7	10	550	14	66	3800	5	4	5080	11	135	25	-9	5290	3	33	10370
280.7051954908664 226.4217653019589	293	14	0	650	1	85	0	13	21	-99999999	46	125	76	7865	0	4600	474	71	GM1667	10	Reusel-De Mierden	-99999999	159	0	20	7795	32	17	5960	31	1.3	1300	2.7	7	20	615	59	56	4575	6	5	6270	12	225	25	-5	6090	1	33	12370
421.2000928284098 168.6273815709339	212	10	0	965	1	170	0	17	24	-99999999	38	150	121	8865	0	8770	352	56	GM1669	7	Roerdalen	-99999999	242	0	42	8810	19	15	10640	33	1.2	1330	2.4	8	29	765	29	61	8850	14	5	10700	19	175	25	-6	10620	2	38	21320
328.2258996675082 314.4173840450374	328	12	0	570	1	100	0	14	21	-99999999	48	105	143	3732	0	4070	319	9	GM1671	9	Maasdonk	-99999999	303	0	16	3723	38	21	5310	28	1.3	1535	2.7	9	16	635	68	51	3820	3	5	5660	11	180	26	1	5630	1	32	11290
194.66543775261695 409.16276005422367	262	13	0	905	1	115	0	14	23	-99999999	43	205	152	5785	0	7270	629	120	GM1672	11	Rijnwoude	-99999999	331	0	70	5665	26	19	8600	30	1.2	1955	2.6	6	5	930	24	62	7290	5	4	9500	12	270	25	-3	9270	3	34	18770
167.8247531882019 261.11914619966063	219	11	0	2425	4	655	1	16	31	-99999999	37	805	325	10721	3	33090	1436	70	GM1674	10	Roosendaal	-99999999	727	5	40	10651	18	18	34615	28	1.0	5005	2.3	8	15	3495	45	66	32445	9	3	38280	16	275	28	-3	39170	12	33	77450
86.86270165842592 306.1317024615272	225	10	0	1535	1	325	0	19	30	-99999999	34	270	70	48894	0	14620	455	25787	GM1676	8	Schouwen-Duiveland	-99999999	148	0	75	23108	20	17	16110	30	1.1	3110	2.3	10	12	1950	13	67	15140	6	5	16820	13	365	24	-8	17310	2	37	34130
520.6925747559079 632.5766803606609	240	9	0	1475	1	235	0	18	25	-99999999	36	235	45	27886	0	10600	262	212	GM1680	9	Aa en Hunze	-99999999	92	0	39	27674	20	18	12475	32	1.2	2040	2.4	9	10	1040	51	62	10510	4	5	12650	18	305	23	-7	12910	1	39	25560
542.9835604439338 611.1626830877623	191	10	0	1515	1	225	0	16	23	-99999999	38	230	47	27793	0	10790	243	273	GM1681	9	Borger-Odoorn	-99999999	96	0	62	27519	23	18	12955	31	1.2	2420	2.4	9	13	1090	25	59	10905	4	5	13140	18	325	25	-5	13160	1	39	26300
390.38264968466234 311.7135980016335	229	10	0	825	2	155	0	13	28	-99999999	39	250	216	5700	4	9950	744	544	GM1684	10	Cuijk	-99999999	470	2	36	5156	21	19	11120	28	1.1	1655	2.4	6	15	895	49	64	9850	10	4	12210	15	145	29	-8	12040	9	33	24250
360.47456317692735 311.1987399131122	321	11	0	710	1	145	0	13	22	-99999999	46	120	104	7068	0	5420	399	32	GM1685	8	Landerd	-99999999	209	0	25	7037	29	20	7325	30	1.4	1760	2.7	10	15	720	60	58	5300	4	5	7530	13	230	26	-5	7210	2	32	14740
468.22012502570254 558.7273138640627	263	10	0	1410	1	200	0	17	24	-99999999	39	225	52	22635	0	9360	269	155	GM1690	10	De Wolden	-99999999	105	0	9	22480	23	19	11755	29	1.3	2160	2.5	9	5	1130	86	58	9285	3	5	11830	19	545	24	-5	11770	1	37	23600
64.37420930458377 276.86793658372784	201	8	0	390	1	65	0	19	31	-99999999	30	75	43	12029	0	3270	202	3422	GM1695	10	Noord-Beveland	-99999999	84	0	73	8607	20	16	3680	31	1.1	695	2.2	9	6	390	21	66	3920	8	5	3620	14	115	25	-7	3640	2	39	7270
271.7259811053051 438.78142170758696	351	9	0	945	2	245	0	17	27	-99999999	39	215	251	7655	0	9740	541	2846	GM1696	9	Wijdemeren	-99999999	490	0	12	4809	22	18	12060	31	1.2	1980	2.4	10	2	1670	86	62	9655	8	4	11530	15	95	24	-3	12040	3	34	23570
476.95296521539944 657.5766668647271	225	9	0	1425	1	260	0	19	27	-99999999	36	285	74	20536	0	13230	610	420	GM1699	9	Noordenveld	-99999999	156	0	11	20116	17	18	14955	31	1.1	2120	2.3	8	7	1345	82	67	13090	4	4	15650	16	275	23	-6	15790	2	37	31440
503.4617420690144 495.68362865202226	208	13	0	1390	1	250	0	13	21	null	49	440	147	10817	0	12140	525	188	GM1700	13	Twenterand	null	315	0	14	10629	32	21	15635	26	1.3	2930	2.7	8	10	1225	77	56	12185	3	4	16890	11	300	28	-4	16570	1	31	33460
455.94935251377524 592.7792516880003	263	10	0	940	1	190	0	21	28	null	33	160	34	28275	0	8100	192	399	GM1701	8	Westerveld	null	69	0	11	27875	21	17	9360	30	1.2	1715	2.3	10	6	900	84	60	7770	4	5	9620	20	335	23	-4	9670	2	39	19290
389.129821507232 286.43674806840755	290	11	0	575	1	80	0	16	21	null	44	120	55	9981	0	4290	240	49	GM1702	10	Sint Anthonis	null	118	0	22	9932	24	20	5435	27	1.3	1115	2.7	7	16	445	62	58	4260	4	5	6010	19	410	26	-4	5760	1	34	11770
404.1236227057147 357.6796650268819	246	10	0	2025	1	320	0	13	22	null	43	530	322	6918	0	17500	799	673	GM1705	12	Lingewaard	null	710	0	60	6245	24	19	20105	30	1.1	2915	2.5	7	8	1710	32	60	17410	7	4	22030	16	305	28	-2	22320	2	35	44340
351.04865213370226 203.37102412369163	260	11	0	980	2	170	0	15	25	null	39	200	134	7814	0	8240	533	135	GM1706	10	Cranendonck	null	264	0	30	7679	30	17	10275	31	1.2	1735	2.4	8	20	1085	50	57	8245	12	4	10280	13	160	26	-11	10000	3	37	20280
415.874046086776 571.6570178929145	202	11	0	2165	1	360	0	17	29	null	38	465	65	32169	1	17880	590	3080	GM1708	11	Steenwijkerland	null	148	0	9	29089	23	19	18805	28	1.1	3070	2.4	8	5	1855	86	61	17965	4	4	21540	16	480	26	-2	21580	3	33	43130
186.5865872008794 297.32273694684477	224	10	0	1510	1	290	0	15	24	null	40	385	112	18399	1	14940	647	2489	GM1709	11	Moerdijk	null	230	0	68	15910	22	18	17780	29	1.2	3630	2.4	8	13	2035	19	66	15120	5	4	18290	12	265	28	-2	18350	3	36	36640
400.3911677939329 153.26291354014958	205	10	0	1370	2	320	0	17	26	null	38	260	153	10460	0	13510	603	149	GM1711	8	Echt-Susteren	null	314	0	39	10311	21	15	15780	32	1.2	2310	2.3	10	24	1495	37	64	13335	14	4	16140	16	220	26	-7	16200	2	35	32340
24.61683208265652 217.6915079049963	155	9	0	900	1	270	0	21	33	null	31	165	43	30701	0	11150	339	2681	GM1714	7	Sluis	null	87	0	80	28020	14	15	12110	31	1.1	1945	2.2	11	8	1405	11	73	13745	20	5	11920	13	575	24	-11	12410	2	36	24320
220.43462675730854 307.36112207029447	264	11	0	1140	1	195	0	14	22	-99999999	41	255	129	11937	0	10460	649	2320	GM1719	10	Drimmelen	-99999999	276	0	47	9616	24	18	12390	31	1.2	1900	2.5	7	12	1130	41	63	10515	5	4	13260	12	265	26	-6	13310	2	37	26580
338.9714675916279 303.0840123532219	298	12	0	1470	1	200	0	14	21	-99999999	46	325	154	9038	0	10940	589	64	GM1721	11	Bernheze	-99999999	330	0	14	8974	29	20	13780	28	1.3	3040	2.7	7	9	1455	77	57	10825	4	4	14940	13	385	27	-7	14700	2	33	29640
384.1888859883413 713.3757523066439	155	12	0	435	1	80	0	14	28	-99999999	40	110	41	13318	0	3570	194	3553	GM1722	12	Ferwerderadiel	-99999999	91	0	26	9765	32	20	4015	28	1.1	985	2.5	9	5	330	69	53	3690	3	5	4570	16	175	26	-4	4320	1	32	8890
240.146526057872 257.4741093365763	335	10	0	445	1	40	0	15	21	-99999999	43	80	54	9364	0	3660	261	47	GM1723	8	Alphen-Chaam	-99999999	102	0	27	9318	22	19	5020	30	1.4	930	2.6	4	18	505	55	62	3645	11	5	4800	16	280	25	1	4670	1	36	9460
310.815209257731 209.3891818906608	317	11	0	1075	1	120	0	15	23	-99999999	43	185	88	10179	0	6980	456	74	GM1724	10	Bergeijk	-99999999	179	0	32	10105	30	20	8920	29	1.3	1810	2.6	7	16	980	52	56	6880	7	5	9170	14	260	26	-5	8920	2	35	18090
294.9439214160506 224.90850565447894	284	11	0	1055	1	125	0	14	24	-99999999	42	150	121	7571	0	7360	590	28	GM1728	8	Bladel	-99999999	253	0	19	7542	33	19	9115	29	1.2	2025	2.6	6	13	1095	68	54	7370	6	4	9700	13	200	27	-2	9360	2	34	19060
399.5939353044021 82.52029094248343	228	10	0	590	1	130	0	17	25	-99999999	38	110	100	7337	0	6140	242	19	GM1729	7	Gulpen-Wittem	-99999999	203	0	29	7318	17	15	7305	34	1.2	870	2.4	9	16	675	55	67	6295	12	5	7450	16	165	23	-1	7390	1	37	14840
501.6608192269778 658.279231625933	232	9	0	1345	1	340	0	19	27	-99999999	36	275	123	14765	0	13090	444	397	GM1730	9	Tynaarlo	-99999999	221	0	19	14368	17	18	17700	31	1.4	3240	2.4	11	3	1270	78	65	13030	5	5	15540	18	220	22	-6	16190	2	36	31730
493.297554524106 600.6064858601392	194	10	0	1815	1	290	0	16	26	-99999999	39	300	45	34582	0	13600	366	433	GM1731	9	Midden-Drenthe	-99999999	98	0	35	34149	22	19	15390	30	1.1	2915	2.4	9	12	1265	54	62	13415	4	5	16690	16	550	25	-8	16850	1	36	33540
378.721966738725 363.2576705206256	253	10	0	1980	1	290	0	13	23	-99999999	44	465	181	11518	1	16730	696	571	GM1734	11	Overbetuwe	-99999999	394	0	37	10947	19	21	19775	28	1.2	2940	2.5	7	9	1915	54	66	16520	7	4	21420	15	310	28	-3	21740	3	33	43160
503.0900801615637 442.77478327635936	237	10	0	1590	2	355	0	18	27	-99999999	39	335	79	21544	1	14110	546	241	GM1735	10	Hof van Twente	-99999999	165	0	9	21303	24	19	16775	28	1.2	2920	2.5	10	11	1560	80	61	13915	5	4	17400	15	730	25	-3	17740	3	34	35140
348.8941942168264 360.9796928096248	247	13	0	775	1	120	0	12	21	-99999999	49	300	164	6811	0	7740	355	717	GM1740	14	Neder-Betuwe	-99999999	366	1	56	6094	29	24	10020	25	1.3	2060	2.9	5	9	1075	35	60	7555	4	5	11070	11	270	26	-1	11240	2	30	22310
478.94903984019214 456.19495032148484	221	13	0	1300	1	265	0	15	23	-99999999	47	490	176	9440	3	12960	982	23	GM1742	13	Rijssen-Holten	-99999999	388	0	7	9417	25	22	16560	24	1.3	3065	2.8	7	13	1540	79	63	12960	3	4	18140	12	240	26	-4	18440	4	30	36580
349.5541451064918 239.67091825919363	242	10	1	1440	2	275	1	16	30	-99999999	37	370	568	3139	1	16140	1192	36	GM1771	10	Geldrop-Mierlo	-99999999	1219	1	25	3104	25	18	17640	29	1.1	2300	2.3	7	21	1730	54	60	16295	9	3	18720	15	55	27	4	19110	5	33	37820
435.609681705307 474.50347602057593	234	11	0	855	1	120	0	15	24	-99999999	42	170	67	11838	1	6730	388	422	GM1773	10	Olst-Wijhe	-99999999	152	0	9	11416	20	20	7660	29	1.1	1085	2.5	7	9	570	82	63	6725	4	5	8720	17	350	26	-5	8610	2	34	17330
552.1867827676931 477.90975067268835	258	11	0	1125	1	190	0	16	22	-99999999	48	285	68	17681	0	9380	422	103	GM1774	11	Dinkelland	-99999999	148	0	8	17577	23	21	12035	27	1.3	2490	2.7	7	10	1095	81	63	9450	6	5	13200	15	680	25	-6	12860	1	30	26060
137.39209811611116 382.8365303749547	252	12	0	3585	2	740	1	14	24	-99999999	43	1145	569	9059	0	38290	1248	1087	GM1783	12	Westland	-99999999	1240	1	98	7972	27	20	45365	27	1.2	10945	2.6	7	0	5415	1	62	38985	5	3	49390	11	1215	27	-11	49480	4	33	98870
151.0296605961062 374.44479474258173	295	12	0	645	2	65	0	13	25	-99999999	45	180	160	4938	0	6700	1116	202	GM1842	10	Midden-Delfland	-99999999	370	1	42	4735	22	22	7575	27	1.1	1430	2.6	4	0	685	58	62	6605	5	3	8960	16	175	26	-5	8570	3	31	17540
500.68048450593795 408.7925262757267	224	10	0	2255	1	400	0	17	25	-99999999	40	455	82	26043	0	17840	609	175	GM1859	10	Berkelland	-99999999	175	0	8	25868	24	18	21125	29	1.2	3220	2.5	9	12	1830	80	61	17735	5	4	22770	15	915	25	-3	22440	2	35	45210
459.5542818418386 394.2700676371771	274	10	0	2605	1	295	0	18	23	-99999999	41	330	66	28641	0	14870	333	282	GM1876	9	Bronckhorst	-99999999	133	0	14	28359	25	18	18670	30	1.3	3320	2.5	8	13	1675	73	60	14655	4	5	18770	15	835	24	-3	19010	1	36	37790
387.85957752499365 133.12662528323096	178	11	0	3620	2	980	0	17	34	-99999999	34	765	574	8062	1	43580	1286	158	GM1883	8	Sittard-Geleen	-99999999	1218	2	64	7905	18	16	45410	29	1.0	5690	2.2	10	10	4110	26	63	43405	16	3	47240	19	95	27	-5	49010	6	32	96240
421.49608531136596 533.3331635958979	206	14	0	805	1	120	0	11	23	-99999999	48	320	109	8791	0	7770	637	518	GM1896	15	Zwartewaterland	-99999999	265	0	3	8273	30	24	8990	24	1.2	2860	2.8	5	1	1090	97	59	7830	3	4	11060	11	175	27	0	10860	1	29	21920
169.372573212145 405.64187736985554	241	10	1	2075	6	745	3	20	40	-99999999	30	740	976	3568	1	34620	2762	288	GM1916	10	Leidschendam-Voorburg	-99999999	2221	1	20	3280	15	16	32020	29	0.9	3040	2.1	10	1	2900	79	66	35345	14	1	34750	18	85	26	-8	38070	12	30	72820
169.0723175462656 387.4159526805312	268	10	1	1705	2	220	3	11	21	-99999999	48	615	470	3860	1	15920	1113	105	GM1926	14	Pijnacker-Nootdorp	-99999999	1139	1	80	3755	23	24	17635	23	1.1	2520	2.7	5	1	1650	19	63	16155	7	3	21440	14	270	32	-5	21330	7	31	42770
446.1856889100962 361.9463935895207	244	10	0	1620	1	285	0	16	22	-99999999	43	290	153	10665	1	13690	658	92	GM1955	8	Montferland	-99999999	332	0	12	10573	25	18	16190	30	1.2	2495	2.5	8	11	1455	77	60	13700	8	4	17530	15	330	26	-3	17520	2	35	35050
542.6277379293468 676.5009118567973	161	10	0	700	1	95	0	13	24	-99999999	41	105	72	8162	0	5140	331	128	GM1987	8	Menterwolde	-99999999	156	0	60	8034	25	18	5800	31	1.1	800	2.4	8	13	385	27	56	5255	4	5	6340	19	110	27	-3	6210	2	35	12560
