COMPUTE_CENTROID	WOZ	BEDR_KLAS	P_WW_UIT	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_0_14_JR	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	WW_UIT_TOT	P_INDUSTRI	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	AANT_MAN	AUTO_MUT	STED	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
379.6534243977341 621.0081752294037	121	8	32	1290	11	0	0	1135	1	0	14	26	-999999999	20	41	61	21689	0	10680	558	3047	GM0051	-3	73	Skarsterl̢n	.	145	18641	2	570	26	11450	27	1.0	2490	2.5	1	97	57	10905	4	13660	1	4	16	375	27	13440	1	33	27100
566.3276393428818 670.7914973893608	84	7	42	1530	11	0	0	560	3	1	20	36	-999999999	15	31	366	2224	0	8560	1203	58	GM0052	-3	127	Winschoten	.	854	2166	67	500	14	7935	27	0.9	1175	2.1	14	19	66	8580	8	8870	1	3	20	20	27	9630	4	33	18500
486.144957936351 716.0932096904554	97	6	31	650	12	0	-999999999	455	3	0	13	27	-999999999	21	41	54	10253	0	5660	381	144	GM0053	-8	68	Winsum	.	141	10109	15	300	23	5415	28	0.9	830	2.5	5	80	57	5565	5	7070	1	5	19	180	27	7190	3	32	14260
385.93629537937755 655.0366290331854	111	7	41	840	10	0	0	745	1	0	13	28	-999999999	20	38	53	16859	0	7960	384	1672	GM0055	-2	66	Boarnsterhim	.	126	15187	1	520	26	8090	27	1.0	1680	2.4	1	98	57	7790	4	9670	1	5	17	260	29	9440	2	34	19110
466.3890410113987 701.7221479517457	110	7	27	820	11	0	0	605	1	0	12	24	-999999999	22	43	58	12837	0	6890	341	275	GM0056	1	70	Zuidhorn	.	144	12562	15	320	20	7335	27	1.0	1680	2.6	1	84	59	6875	4	9040	3	5	21	255	27	9120	1	33	18150
415.1249563007671 722.9873651536655	91	7	36	1620	12	0	0	845	3	0	15	30	-999999999	20	39	58	26694	0	10100	457	9967	GM0058	-2	101	Dongeradeel	.	150	16727	31	580	22	9765	25	0.9	2045	2.4	8	62	60	10045	4	12560	1	5	18	320	27	12450	4	31	25010
431.8303071146583 687.1524543616425	101	8	52	1960	13	0	0	1055	1	0	13	25	-999999999	19	44	116	10399	0	11010	372	138	GM0059	-2	104	Achtkarspelen	.	274	10261	4	980	31	11920	26	1.0	2585	2.5	4	92	54	11085	2	14260	0	5	15	275	28	13900	1	31	28160
373.0164461319278 745.2856987981039	122	6	44	190	11	0	0	200	1	0	13	34	-999999999	20	37	23	26850	-999999999	1490	195	20848	GM0060	-6	79	Ameland	.	59	6002	0	100	12	1375	28	0.9	475	2.4	1	99	71	1785	4	1780	4	5	17	80	28	1750	1	29	3520
357.72334843982173 702.4014803263997	86	6	38	630	11	0	0	490	3	0	14	30	-999999999	20	39	47	11651	0	4480	257	2422	GM0063	-1	88	het Bildt	.	119	9228	61	270	25	4345	26	0.9	1200	2.4	3	37	57	4460	5	5610	2	5	18	155	28	5340	3	31	10950
338.9541614591713 648.352192972713	87	6	35	490	12	0	0	250	3	0	16	33	-999999999	18	35	378	942	1	4040	892	31	GM0064	-6	81	Bolsward	.	1030	911	0	210	24	3440	25	0.8	605	2.3	0	100	58	4175	5	4620	2	4	18	10	28	4760	4	32	9390
407.8543888450235 702.7947207336143	104	7	46	1270	13	0	0	665	1	0	15	24	-999999999	20	44	92	8749	0	7450	384	172	GM0065	-1	100	Dantumadeel	.	230	8578	1	580	25	7905	25	1.0	1525	2.6	1	98	57	7525	2	9830	1	5	18	180	26	9940	1	31	19760
340.60747520106565 681.4503827439218	95	7	32	1340	12	0	0	750	3	0	14	31	-999999999	20	38	79	10916	0	8690	596	644	GM0070	-1	96	Franekeradeel	.	205	10272	27	440	24	8080	27	0.9	1625	2.4	7	66	59	8665	5	10580	1	4	17	225	27	10460	4	31	21050
327.95883645281305 676.2410669690679	90	7	41	890	12	0	1	475	3	0	15	34	-999999999	18	35	223	38767	0	6850	960	36249	GM0072	-1	84	Harlingen	.	629	2518	40	430	21	5620	28	0.8	1070	2.2	5	55	66	6695	8	7960	2	4	13	40	27	7880	5	31	15840
413.9701103535254 626.5975128486388	117	8	41	2340	11	0	1	1510	3	1	17	34	-999999999	18	33	135	14015	1	18890	1100	497	GM0074	-3	85	Heerenveen	.	315	13518	4	1150	18	18265	26	0.9	4330	2.2	3	93	61	18550	6	21010	1	3	21	235	28	21630	6	33	42640
435.9426699688495 707.4345916675696	101	6	39	850	13	0	0	530	1	0	14	26	-999999999	20	41	50	11633	0	5150	325	644	GM0079	-3	96	Kollumerland c.a.	.	119	10989	11	340	24	5495	25	1.0	1150	2.5	3	86	57	5195	2	6700	0	5	18	215	29	6430	1	33	13130
380.80132121913897 680.1817188290428	77	9	40	5030	17	1	1	2120	5	1	14	47	-999999999	16	26	402	8410	0	46400	2174	436	GM0080	-3	79	Leeuwarden	.	1146	7974	7	2560	16	32070	23	0.6	4465	2.0	0	93	63	43675	7	44530	2	2	21	80	30	46820	9	28	91350
377.0876342333375 697.7520808441706	104	6	31	590	11	0	0	375	1	0	12	21	-999999999	21	44	103	4138	0	4010	488	58	GM0081	0	82	Leeuwarderadeel	.	260	4079	20	220	20	4180	29	1.0	620	2.6	6	74	56	4040	4	5320	0	5	24	85	27	5280	2	35	10600
375.1131891613659 598.3556796207722	116	7	42	690	11	0	0	495	3	1	13	28	-999999999	20	38	72	12438	1	5500	560	4810	GM0082	-4	77	Lemsterland	.	175	7628	3	370	22	5530	27	1.0	1135	2.4	0	97	63	5690	6	6810	2	4	15	155	29	6530	4	34	13340
361.2985556224377 684.8077638120998	101	6	33	690	11	0	0	610	1	0	12	25	-999999999	21	42	85	7003	0	5560	248	102	GM0083	-2	73	Menaldumadeel	.	203	6902	30	310	28	5890	28	1.0	1105	2.5	4	66	51	5635	3	7090	1	5	20	165	28	6930	1	33	14020
453.5638569767816 628.7128256077307	112	8	40	1600	11	0	0	1300	2	0	16	28	-999999999	19	38	50	22608	0	11060	405	170	GM0085	-4	92	Ooststellingwerf	.	119	22438	8	690	21	11290	27	1.0	2300	2.4	5	88	58	10745	5	13400	1	5	21	400	27	13290	3	34	26680
427.66778062249983 645.1425732504267	117	8	37	1700	11	0	0	1305	1	0	14	26	-999999999	20	40	57	22768	0	11640	328	261	GM0086	-3	88	Opsterland	.	131	22507	3	730	25	12840	27	1.1	2470	2.5	2	95	54	11480	3	14740	1	5	22	435	28	14690	1	34	29440
442.1250094125961 755.545159202621	152	4	42	50	8	0	-999999999	20	1	-999999999	19	44	-999999999	16	26	7	19119	-999999999	490	234	15126	GM0088	-12	78	Schiermonnikoog	.	25	3994	0	30	12	285	29	0.5	85	2.0	0	100	65	525	5	490	11	5	23	10	28	500	1	30	990
416.3868287093938 661.1232037617511	100	8	43	3300	12	1	0	1605	3	1	15	31	-999999999	19	37	193	12615	0	22820	1111	767	GM0090	-4	92	Smallingerland	.	456	11848	1	1530	19	22905	26	1.0	3845	2.3	0	99	62	22675	5	26660	2	3	19	255	28	27390	5	32	54050
362.20568903110814 640.8291064863754	94	8	45	1960	11	0	0	825	2	1	15	34	-999999999	19	35	413	3404	0	14310	1438	385	GM0091	-2	92	Sneek	.	1088	3018	3	960	21	12450	25	0.8	2305	2.3	3	94	60	14360	6	16080	3	3	18	30	29	16750	4	31	32840
310.01243080958955 732.2112270794929	191	6	33	180	14	0	-999999999	215	1	0	15	42	-999999999	16	30	19	67400	-999999999	2240	186	58590	GM0093	-6	56	Terschelling	.	54	8810	0	110	12	1660	27	0.7	735	2.1	2	98	75	1935	5	2500	1	5	12	40	28	2220	1	28	4720
255.79125691990595 697.1532654741322	143	5	55	60	11	-999999999	-999999999	55	2	-999999999	12	40	-999999999	19	32	7	31579	-999999999	550	136	27578	GM0096	-4	71	Vlieland	.	29	4001	-999999998	40	16	285	25	0.5	155	2.1	-999999998	-999999998	63	525	10	580	2	5	20	0	33	580	2	28	1160
413.68290600984176 601.5794072790085	118	8	37	1460	11	1	1	1250	3	0	17	30	-999999999	18	36	49	22836	0	11020	598	620	GM0098	-3	86	Weststellingwerf	.	117	22215	3	620	25	10850	27	0.9	2400	2.3	2	96	55	10695	4	13040	1	4	20	445	27	12950	4	34	25990
327.62894364369896 614.1975251921222	110	7	32	590	10	0	0	335	1	0	17	31	-999999999	19	36	44	28917	-999999999	4540	304	19249	GM0104	-3	85	Nijefurd	.	113	9668	3	220	30	4220	28	0.9	1040	2.4	1	96	54	4725	5	5450	1	5	16	215	25	5480	1	33	10930
494.18301742329254 633.986010678981	99	9	36	3940	11	0	0	2335	4	1	14	33	-999999999	20	36	317	8348	1	26270	1305	139	GM0106	-3	96	Assen	.	754	8209	38	1460	14	26010	25	0.9	3700	2.3	9	53	64	26360	8	30180	2	3	23	90	30	31740	6	31	61920
523.1318532743057 569.1725453525638	118	8	43	2230	11	0	0	1735	2	0	16	27	-999999999	18	38	55	29968	0	14940	466	300	GM0109	-2	95	Coevorden	.	122	29668	33	1010	18	16425	27	1.1	3255	2.4	10	57	61	14400	5	18120	0	5	21	490	27	18100	3	35	36220
