COMPUTE_CENTROID	P_WWB_UIT	WOZ	BEDR_KLAS	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	BU_CODE	WWB_UITTOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	RECSRT	GM_CODE	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	BU_NAAM	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_COM_DV	P_VEETEELT	WONINGEN	P_WEST_AL	AANT_MAN	STED	AUTO_MUT	P_N_COM_DV	WBCCODE	WK_CODE	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
177.18175765186874 429.21993949441975	13	314	7	760	12	1	0	510	4		110	1	16	34	-99999999	37	1239	775	0	9200	1560	55	Gemeente	GM0579	54	Oegstgeest	-99999999	3038	720	80	Oegstgeest	10	20	8930	27	1.0	605	2.3	0	66	20	8815	14	10460	2	1	25	0579		15	24	11430	6	29	21890
285.40664568150675 417.56073672397736	23	325	9	1760	10	0	1	1230	2		410	1	20	36	-99999999	34	288	6710	0	18510	1116	78	Gemeente	GM0310	68	De Bilt	-99999999	634	6632	13	De Bilt	14	19	19080	29	1.0	2100	2.2	8	63	79	18245	9	19920	3	0	22	0310		130	23	22120	5	30	42040
304.22202557817116 421.14212651301847	27	263	9	2370	10	1	1	1625	3		480	1	16	33	-99999999	35	463	4645	5	19570	1312	21	Gemeente	GM0342	81	Soest	-99999999	978	4624	0	Soest	18	19	21430	28	1.1	2620	2.3	6	65	94	19245	9	22040	3	2	16	0342		50	26	23180	10	31	45220
162.04342134061645 417.54253866691636	23	514	8	770	10	1	0	525	5		250	1	21	35	-99999999	34	257	6250	0	11220	1308	1135	Gemeente	GM0629	50	Wassenaar	-99999999	501	5114	40	Wassenaar	13	18	13135	30	1.2	1085	2.3	2	66	57	11775	22	12190	3	1	21	0629		40	21	13430	7	31	25620
500.67108641312933 408.7965508742203	22	210	8	2450	10	0	0	2205	1		380	0	16	24	-99999999	41	81	26043	0	17730	605	175	Gemeente	GM1859	83	Berkelland	-99999999	175	25868	8	Berkelland	25	19	20905	29	1.2	3285	2.5	13	58	79	17485	5	22820	4	1	18	1859		965	26	22470	2	35	45290
179.28331170714284 421.6927401560918	51	200	9	5250	15	1	4	2480	5		2880	2	12	51	-99999999	25	1956	2316	2	61520	3284	120	Gemeente	GM0546	61	Leiden	-99999999	5379	2195	-99999997	Leiden	18	15	42935	23	0.7	5545	1.9	-99999997	59	-99999997	50770	12	57540	1	1	22	0546		10	34	60530	14	23	118070
188.0422665260257 422.039578717313	25	233	8	1080	10	0	1	825	3		260	2	15	31	-99999999	38	955	1229	2	11070	2084	58	Gemeente	GM0547	64	Leiderdorp	-99999999	2218	1172	19	Leiderdorp	17	20	11185	28	1.0	985	2.3	0	61	81	11000	10	12620	2	0	22	0547		15	27	13370	9	31	25990
268.38801115887867 419.16284625647074	27	233	8	2050	12	1	2	1225	3		400	3	11	27	-99999999	42	620	3086	1	16210	1475	365	Gemeente	GM0333	74	Maarssen	-99999999	1454	2721	29	Maarssen	16	18	16870	30	1.0	1710	2.4	2	67	69	15505	9	19420	3	0	17	0333		60	28	20140	9	31	39560
228.53115669240685 419.617926839249	16	277	7	380	11	0	2	470	2		60	0	13	23	-99999999	43	176	3850	0	4260	547	861	Gemeente	GM0569	51	Nieuwkoop	-99999999	372	2989	18	Nieuwkoop	28	20	5250	29	1.2	915	2.6	5	55	77	4235	5	5550	4	1	17	0569		65	28	5570	4	33	11120
448.6126523401495 416.90308024198947	55	183	8	3250	11	0	1	1635	2		1080	1	14	33	-99999999	36	446	4284	3	20120	1459	190	Gemeente	GM0301	104	Zutphen	-99999999	1139	4094	14	Zutphen	14	19	18245	27	0.9	2035	2.3	9	65	78	20075	9	22730	3	2	21	0301		60	29	23910	7	31	46640
297.85133417158124 407.6320770760128	41	276	9	3900	12	1	5	1745	3		1010	1	17	40	-99999999	30	690	4864	1	27280	1458	15	Gemeente	GM0355	100	Zeist	-99999999	1245	4850	32	Zeist	12	18	33470	27	1.2	3925	2.1	0	67	68	25745	10	28970	3	0	21	0355		20	27	31400	11	29	60370
210.37438878065387 415.1906603154347	29	203	9	3230	12	1	3	2285	4		740	2	11	30	-99999999	39	649	5768	1	29390	2141	261	Gemeente	GM0484	66	Alphen aan den Rijn	-99999999	1289	5507	13	Alphen aan den Rijn	17	19	35750	26	1.2	5020	2.4	3	66	84	28920	9	34990	2	1	17	0484		135	31	35960	10	31	70960
430.8908739009966 409.88612189601633	19	248	7	1110	10	0	0	1135	1		150	0	17	24	-99999999	40	115	8510	3	8510	645	105	Gemeente	GM0213	80	Brummen	-99999999	254	8405	8	Brummen	18	18	9655	29	1.1	1530	2.5	8	61	84	8335	6	10620	4	1	21	0213		155	26	10760	5	36	21380
242.93566783970587 409.06531960729734	19	238	9	1950	12	0	2	1760	2		320	1	12	27	-99999999	42	289	9289	0	18970	1178	339	Gemeente	GM0632	61	Woerden	-99999999	535	8950	12	Woerden	19	21	25845	26	1.4	5810	2.5	3	65	85	18885	6	23710	3	1	17	0632		290	29	24200	6	31	47910
194.65114094372683 409.15040309737066	11	241	7	590	13	0	0	875	1		70	0	13	22	-99999999	44	149	5785	0	7200	613	120	Gemeente	GM1672	46	Rijnwoude	-99999999	333	5665	71	Rijnwoude	27	19	8445	29	1.2	1860	2.6	4	59	25	7180	5	9550	4	1	15	1672		280	26	9320	3	34	18860
322.76466974042273 412.6935484588696	15	252	8	1170	12	0	0	1235	3		150	1	13	28	-99999999	41	221	5894	0	11730	1158	26	Gemeente	GM0327	60	Leusden	-99999999	492	5868	6	Leusden	12	19	12980	30	1.1	1325	2.4	13	68	81	11325	8	14220	3	-1	20	0327		100	26	14670	5	31	28890
172.07418702171987 414.26899230395	24	271	7	750	10	1	1	635	3		220	1	18	31	-99999999	37	886	1159	1	9720	1596	37	Gemeente	GM0626	52	Voorschoten	-99999999	2040	1122	40	Voorschoten	15	19	9945	29	1.0	745	2.3	0	62	60	9975	14	11010	2	1	23	0626		25	24	11880	7	33	22890
370.7623132675066 401.27874346597685	37	237	9	4880	14	0	2	3670	2		1470	1	14	31	-99999999	40	142	31868	2	42650	1409	43	Gemeente	GM0228	69	Ede	-99999999	336	31825	7	Ede	24	20	45285	25	1.1	7500	2.5	17	59	76	39985	7	52360	3	1	17	0228		1005	28	54690	7	30	107050
183.5626155656406 411.581141912132	11	277	7	540	12	0	0	360	2		30	1	13	23	-99999999	45	171	2191	1	3110	622	70	Gemeente	GM0638	94	Zoeterwoude	-99999999	401	2121	11	Zoeterwoude	25	19	3635	30	1.2	745	2.6	2	62	88	3115	6	4220	4	1	12	0638		65	26	4280	4	32	8500
270.03764061192186 404.95304371720493	60	183	9	14680	16	1	9	5815	4		8070	3	11	53	-99999999	24	1221	9932	5	147740	3133	397	Gemeente	GM0344	71	Utrecht	-99999999	2947	9535	27	Utrecht	12	16	116375	19	0.8	15925	1.9	1	67	72	120790	10	135510	1	4	21	0344		80	38	145440	21	23	280950
459.54907565507983 394.2712316397016	12	250	8	1840	9	0	0	2565	1		180	0	18	23	-99999999	41	64	28641	0	14740	329	282	Gemeente	GM1876	76	Bronckhorst	-99999999	133	28359	14	Bronckhorst	25	19	18240	30	1.2	3420	2.5	13	56	73	14415	4	18730	5	1	19	1876		865	25	18970	1	36	37700
150.53598423161029 400.4045464403789	90	166	9	23970	12	2	5	8055	8		19520	10	13	49	-99999999	29	2019	9820	7	239780	4715	1576	Gemeente	GM0518	73	's-Gravenhage	-99999999	5770	8243	69	's-Gravenhage	15	18	166455	23	0.7	18625	2.0	4	65	27	230600	13	233640	1	1	20	0518		50	33	241990	32	22	475630
169.37184803561937 405.6418549032088	44	218	9	3060	9	1	1	2040	6		1430	3	19	39	-99999999	30	971	3568	1	34650	2735	288	Gemeente	GM1916	65	Leidschendam-Voorburg	-99999999	2229	3280	22	Leidschendam-Voorburg	14	16	31855	28	0.9	3110	2.1	1	63	77	35195	14	34870	1	-1	22	1916		90	27	38240	12	30	73110
223.69869240447767 404.60227486769696	21	237	7	740	12	0	3	715	2		140	0	12	25	-99999999	44	209	3850	0	7390	1232	102	Gemeente	GM0497	58	Bodegraven	-99999999	517	3748	3	Bodegraven	24	21	7815	26	1.1	1790	2.6	3	64	94	7150	5	9700	3	2	13	0497		100	28	9660	6	31	19360
324.21428044813587 402.42530460679137	15	259	7	540	12	0	0	520	2		60	0	14	25	-99999999	44	137	3672	0	4170	749	26	Gemeente	GM0351	74	Woudenberg	-99999999	307	3647	7	Woudenberg	25	22	5000	26	1.2	1130	2.6	10	59	83	4115	4	5610	4	0	17	0351		110	27	5600	3	32	11210
335.64862420806395 404.38427779615375	5	248	6	310	12	0	0	405	1		30	0	13	25	-99999999	43	286	1384	0	3340	784	3	Gemeente	GM0279	53	Scherpenzeel	-99999999	647	1381	7	Scherpenzeel	27	22	3945	25	1.2	710	2.7	11	56	82	3340	4	4440	4	1	17	0279		60	27	4490	2	32	8930
340.92468811997696 399.3987627307919	15	253	6	150	14	0	0	215	1		20	0	10	22	-99999999	48	105	1852	0	1560	352	9	Gemeente	GM0339	50	Renswoude	-99999999	236	1843	7	Renswoude	31	23	1930	25	1.2	545	2.8	22	55	70	1510	3	2160	5	2	14	0339		95	28	2180	1	30	4350
207.68233917288953 402.97565711444446	24	219	7	480	11	0	4	650	2		140	0	13	27	-99999999	40	424	1696	0	6110	781	211	Gemeente	GM0499	48	Boskoop	-99999999	1031	1485	94	Boskoop	17	21	6295	26	1.0	1530	2.5	2	64	4	6065	5	7710	4	0	18	0499		395	29	7600	7	33	15310
179.64871113604198 398.1389302074592	53	185	9	5280	14	2	1	3155	5		2400	7	11	30	-99999999	41	1394	3706	1	49440	2457	248	Gemeente	GM0637	64	Zoetermeer	-99999999	3383	3458	23	Zoetermeer	13	19	48210	29	1.0	3785	2.4	10	65	68	49790	11	57300	2	3	22	0637		30	28	59680	15	29	116980
420.722799361032 390.93739380266544	39	213	8	2530	10	0	0	1615	2		760	0	22	36	-99999999	30	237	8439	2	20140	1233	266	Gemeente	GM0275	92	Rheden	-99999999	541	8173	13	Rheden	17	16	19365	28	1.0	1955	2.1	13	59	75	19400	9	21320	3	0	24	0275		55	24	22860	5	33	44190
318.35772778784855 390.7515462196144	24	301	9	2620	11	0	1	1760	2		440	0	20	31	-99999999	35	176	13410	1	20130	717	192	Gemeente	GM1581	86	Utrechtse Heuvelrug	-99999999	370	13218	9	Utrechtse Heuvelrug	14	18	23240	28	1.2	2685	2.4	10	65	81	19760	8	23650	4	1	21	1581		210	24	25310	5	34	48960
249.7860686010661 394.1989222960825	12	261	7	450	12	0	1	435	1		60	0	10	24	-99999999	45	154	3822	0	5140	664	47	Gemeente	GM0335	50	Montfoort	-99999999	358	3775	7	Montfoort	26	22	5820	27	1.1	1170	2.6	6	61	87	5170	5	6750	4	2	13	0335		110	29	6750	3	32	13510
407.8179290829587 393.01702753956226	5	461	4	40	8	0	0	50	2		0	1	25	22	-99999999	33	29	2795	0	630	792	2	Gemeente	GM0277	50	Rozendaal	-99999999	54	2792	-99999997	Rozendaal	3	18	815	29	1.3	45	2.4	-99999997	64	-99999997	630	10	740	4	-2	33	0277		0	20	770	3	45	1500
202.97953732699673 393.25681151032865	22	212	8	1030	13	0	2	995	2		200	1	14	26	-99999999	40	407	2939	1	10420	1336	146	Gemeente	GM0627	60	Waddinxveen	-99999999	933	2793	78	Waddinxveen	22	19	11355	28	1.1	2320	2.5	1	66	21	10290	6	13000	3	0	12	0627		95	26	13060	7	33	26060
221.4022039550879 394.39602244387794	13	310	7	350	12	0	0	485	2		60	0	15	23	-99999999	42	152	5011	0	4920	574	1188	Gemeente	GM0595	43	Reeuwijk	-99999999	334	3823	33	Reeuwijk	24	20	5825	29	1.2	1160	2.6	4	62	62	4945	5	6380	4	0	14	0595		165	24	6380	3	35	12760
291.88669636398026 392.33154359311766	12	264	7	590	10	0	1	435	2		70	0	17	27	-99999999	38	181	3757	0	5810	572	62	Gemeente	GM0312	65	Bunnik	-99999999	385	3695	27	Bunnik	16	20	6695	29	1.2	1150	2.4	12	63	61	5740	7	7020	4	-13	21	0312		115	24	7210	3	34	14230
396.29849371052734 382.57627382847664	93	167	9	8140	13	1	2	3870	6		6260	2	13	46	-99999999	28	541	10153	5	70870	1947	339	Gemeente	GM0202	81	Arnhem	-99999999	1449	9814	33	Arnhem	13	16	53100	24	0.7	6615	2.0	9	65	59	64995	11	70240	2	1	22	0202		45	34	71950	17	26	142200
501.82656343765746 385.97883787851475	17	207	8	1520	11	0	1	1425	1		180	0	15	24	-99999999	42	120	11019	0	11410	676	49	Gemeente	GM0240	77	Groenlo	-99999999	274	10970	8	Groenlo	26	20	13160	27	1.2	2745	2.6	11	56	81	11340	6	15280	4	2	18	0240		405	27	14740	3	34	30020
194.10535468135998 387.5243151097391	14	252	7	380	13	0	1	420	1		50	0	14	23	-99999999	44	156	3110	0	3820	497	125	Gemeente	GM1666	56	Zevenhuizen-Moerkapelle	-99999999	346	2985	77	Zevenhuizen-Moerkapelle	23	21	4655	26	1.2	1130	2.7	11	65	12	3775	5	5060	5	2	12	1666		145	26	5270	3	33	10320
154.32956663650316 392.2800199116263	49	174	9	2240	10	1	1	1260	5		1090	3	22	42	-99999999	27	1774	1448	1	23650	3016	43	Gemeente	GM0603	74	Rijswijk	-99999999	3356	1405	89	Rijswijk	15	14	24930	28	1.1	1970	2.0	0	66	11	23910	15	22110	1	7	19	0603		25	26	25040	11	31	47150
186.48101829163494 388.45817565097343	16	255	7	300	12	0	2	435	2		60	1	12	21	-99999999	46	241	2196	0	3840	680	85	Gemeente	GM0495	44	Bleiswijk	-99999999	484	2112	93	Bleiswijk	15	22	5095	28	1.3	1225	2.7	4	71	4	3895	6	5200	4	1	15	0495		140	27	5030	6	33	10230
237.4023344202663 389.1272668963175	11	276	7	340	11	0	1	435	1		40	0	14	27	-99999999	42	105	4016	0	3880	813	82	Gemeente	GM0589	53	Oudewater	-99999999	253	3934	3	Oudewater	29	21	4130	26	1.1	1075	2.5	4	57	93	3895	4	4890	4	-2	14	0589		140	28	5060	2	31	9940
273.0029363659173 389.84754934342635	39	194	9	3690	12	1	2	1980	4		990	4	11	32	-99999999	38	1976	2568	1	26760	1798	193	Gemeente	GM0356	83	Nieuwegein	-99999999	2594	2375	27	Nieuwegein	15	17	46920	30	1.8	7720	2.3	5	67	68	26155	10	30490	2	3	18	0356		20	29	31110	12	30	61600
262.86463327808326 389.08669069693576	32	221	8	1560	10	1	4	1065	3		400	3	10	27	-99999999	43	623	2162	1	13650	1667	45	Gemeente	GM0353	68	IJsselstein	-99999999	1605	2117	6	IJsselstein	18	22	13185	24	1.0	1315	2.5	0	67	94	13390	7	16610	2	2	15	0353		50	33	17370	12	30	33980
137.39438108208572 382.83639453794984	18	234	9	3960	12	0	1	3465	2		660	1	14	24	-99999999	43	559	9059	0	37910	1231	1087	Gemeente	GM1783	61	Westland	-99999999	1233	7972	99	Westland	27	20	44555	27	1.2	10675	2.6	1	60	1	38645	5	49150	3	1	13	1783		1350	28	49180	4	33	98330
169.0606243443479 387.4009693035733	15	247	8	1470	10	1	1	1635	2		220	2	11	21	-99999999	48	456	3860	1	15510	1100	105	Gemeente	GM1926	54	Pijnacker-Nootdorp	-99999999	1110	3755	81	Pijnacker-Nootdorp	23	24	17105	23	1.1	2550	2.7	1	61	18	15630	7	20900	3	6	16	1926		280	33	20790	7	31	41700
286.43009564552443 383.1250071915544	20	246	8	1860	13	1	1	1345	3		320	2	9	24	-99999999	49	338	5898	0	16670	1257	348	Gemeente	GM0321	61	Houten	-99999999	802	5549	34	Houten	15	23	18750	26	1.1	2085	2.7	7	66	58	16605	7	21940	3	11	19	0321		165	30	22550	6	27	44500
344.1956301420948 387.95299884673466	47	208	9	2870	13	1	5	1855	3		1020	0	12	28	-99999999	42	1289	1981	1	24300	1884	21	Gemeente	GM0345	70	Veenendaal	-99999999	3146	1960	14	Veenendaal	17	21	25260	25	1.0	2990	2.5	11	69	75	23910	6	30260	2	2	14	0345		30	29	31410	10	30	61670
525.2029915024502 376.37681147837935	32	198	8	1560	10	0	1	1170	2		350	0	17	30	-99999999	38	90	13880	1	12030	1046	61	Gemeente	GM0294	84	Winterswijk	-99999999	211	13819	12	Winterswijk	24	19	12445	27	1.0	1970	2.4	10	62	78	11680	9	14480	3	-1	14	0294		375	26	14660	5	33	29140
435.4921982752116 387.3400743364884	56	199	6	710	10	0	0	445	1		260	1	14	29	-99999999	39	421	1290	7	4880	776	138	Gemeente	GM0221	92	Doesburg	-99999999	1002	1152	13	Doesburg	13	19	4845	28	1.0	545	2.4	13	67	73	4835	10	5680	4	3	20	0221		15	29	5860	9	32	11540
212.95828647841597 386.35631871392127	53	180	9	3270	12	1	9	2075	3		1430	1	13	35	-99999999	37	1453	1810	1	30580	2329	120	Gemeente	GM0513	68	Gouda	-99999999	4223	1690	26	Gouda	16	20	24560	26	0.8	3055	2.3	0	64	74	30075	7	34790	2	0	20	0513		20	29	36600	14	29	71390
159.91293141613275 382.75334073076823	53	173	9	4190	16	2	1	2220	8		2500	2	13	52	-99999999	24	1328	2408	2	50670	3309	110	Gemeente	GM0503	61	Delft	-99999999	4138	2298	25	Delft	14	15	30520	24	0.6	3480	1.9	0	67	75	42970	12	49710	1	-1	19	0503		20	32	45380	16	24	95090
176.290223847133 383.04211258658773	21	241	7	640	11	0	1	735	2		160	1	13	23	-99999999	43	459	1891	0	7470	819	30	Gemeente	GM0493	50	Berkel en Rodenrijs	-99999999	1031	1860	78	Berkel en Rodenrijs	21	20	8535	26	1.1	1325	2.5	1	64	21	7585	6	9600	4	8	14	0493		125	29	9580	6	35	19180
308.6067436437084 379.39101682536824	21	241	8	1120	12	0	1	885	2		190	1	10	24	-99999999	45	215	5030	0	9110	1048	268	Gemeente	GM0352	68	Wijk bij Duurstede	-99999999	493	4761	31	Wijk bij Duurstede	19	21	10225	29	1.1	1265	2.6	14	63	56	9015	6	11630	3	1	18	0352		135	28	11830	4	31	23460
204.6207318534662 382.181615165295	29	223	6	300	11	0	4	360	1		80	0	12	23	-99999999	46	260	1273	0	3050	979	51	Gemeente	GM0563	55	Moordrecht	-99999999	662	1222	30	Moordrecht	22	22	3180	27	1.0	550	2.6	3	63	67	2980	13	4060	4	-1	15	0563		35	29	4030	6	31	8100
249.98479581248347 378.58227514865393	14	252	7	550	12	0	1	655	1		70	0	11	22	-99999999	48	78	7892	0	5060	335	323	Gemeente	GM0331	60	Lopik	-99999999	184	7569	10	Lopik	38	23	5870	25	1.2	1780	2.8	3	52	87	4965	3	7080	5	0	11	0331		265	29	6830	3	30	13910
151.02345133074533 374.45738881717654	10	271	7	440	12	0	1	620	1		70	0	12	24	-99999999	45	156	4938	0	6630	1135	202	Gemeente	GM1842	39	Midden-Delfland	-99999999	368	4735	46	Midden-Delfland	23	22	7410	26	1.1	1440	2.6	1	58	54	6590	5	8890	3	4	18	1842		185	27	8540	3	31	17440
379.7044438538488 379.6141771499256	31	254	8	1540	9	0	0	1140	3		400	0	22	35	-99999999	32	315	4712	1	13970	801	113	Gemeente	GM0274	80	Renkum	-99999999	687	4600	32	Renkum	14	17	14495	29	1.0	1465	2.2	14	65	55	13970	9	15110	4	0	21	0274		20	23	16490	4	33	31600
224.1787999003646 377.9292709288731	10	272	6	320	12	0	0	410	1		30	0	15	25	-99999999	42	76	5652	0	3730	382	274	Gemeente	GM0623	50	Vlist	-99999999	183	5378	5	Vlist	28	20	4100	28	1.1	1105	2.6	3	56	92	3665	4	4920	5	2	16	0623		190	25	4900	2	33	9820
344.9421064023065 377.2535197105079	32	246	7	900	11	0	2	675	1		210	0	16	25	-99999999	39	192	4374	0	7170	835	171	Gemeente	GM0340	76	Rhenen	-99999999	437	4203	9	Rhenen	25	20	8080	27	1.1	1150	2.5	11	60	80	7145	5	9110	4	1	16	0340		110	26	9250	4	35	18360
426.14958891792963 372.4379134242238	35	200	8	1700	10	0	0	1310	1		440	1	16	29	-99999999	37	273	5813	1	13510	1189	454	Gemeente	GM0299	80	Zevenaar	-99999999	591	5359	21	Zevenaar	20	17	14635	30	1.1	1665	2.3	9	61	71	13330	10	15570	3	3	18	0299		115	27	16110	4	35	31680
182.77860315557643 378.3779492139799	15	277	7	460	9	0	1	605	2		90	2	9	19	-99999999	53	507	1552	1	5970	1257	76	Gemeente	GM0492	43	Bergschenhoek	-99999999	1125	1477	80	Bergschenhoek	19	26	7480	22	1.3	1445	2.8	4	65	15	6010	7	8270	3	3	15	0492		45	34	8340	7	29	16610
154.3988374851089 364.52375553695543	133	137	9	26160	14	3	6	8740	9		35670	9	15	47	-99999999	29	941	31935	8	295160	3860	11345	Gemeente	GM0599	65	Rotterdam	-99999999	2859	20590	59	Rotterdam	13	17	193770	23	0.7	26685	2.0	3	68	38	287260	10	288280	1	-1	19	0599		90	32	300420	35	24	588700
206.89402956652083 371.5897467004799	5	224	6	260	13	0	0	300	2		20	0	14	23	-99999999	45	130	2853	0	3040	565	143	Gemeente	GM0644	48	Ouderkerk	-99999999	299	2711	0	Ouderkerk	27	20	3515	27	1.2	770	2.7	1	57	99	3145	3	4030	4	2	16	0644		70	26	4080	2	32	8100
275.57741984167495 374.4226728196311	29	205	7	960	11	1	3	785	2		210	1	12	25	-99999999	42	388	4237	1	7850	813	290	Gemeente	GM0620	71	Vianen	-99999999	499	3947	15	Vianen	22	20	15295	28	1.9	2385	2.5	4	62	81	7750	6	9750	4	0	16	0620		95	29	9940	8	33	19690
199.3235025328444 374.216028361869	26	228	7	740	13	1	1	785	2		210	2	11	24	-99999999	46	567	1847	0	8620	1424	119	Gemeente	GM0567	49	Nieuwerkerk aan den IJssel	-99999999	1281	1729	62	Nieuwerkerk aan den IJssel	17	20	9800	29	1.1	1465	2.6	0	67	38	8410	6	11010	3	1	16	0567		70	27	11130	6	30	22140
360.918161599069 375.47994596186794	39	202	8	1410	18	0	1	765	10		720	1	13	59	-99999999	21	380	3235	0	19540	1513	188	Gemeente	GM0289	55	Wageningen	-99999999	1159	3047	21	Wageningen	14	14	11575	22	0.6	1095	1.8	13	62	67	12725	12	17440	2	-1	24	0289		35	33	17880	12	21	35320
457.35754323229384 373.08418492026294	43	201	9	3670	11	0	0	2240	2		950	0	15	31	-99999999	37	316	7967	3	23980	1029	57	Gemeente	GM0222	97	Doetinchem	-99999999	718	7910	18	Doetinchem	19	19	25020	27	1.0	3660	2.3	14	64	68	23170	8	28140	3	1	18	0222		255	29	28610	6	32	56760
220.48057492547696 368.0373104323288	5	269	6	260	12	0	1	340	1		30	0	15	24	-99999999	41	117	3805	0	3650	435	293	Gemeente	GM0491	43	Bergambacht	-99999999	268	3513	3	Bergambacht	27	20	4105	27	1.1	935	2.6	2	56	95	3690	4	4630	5	1	17	0491		95	25	4770	3	35	9400
320.75603861545716 366.592848690421	13	276	8	1100	11	0	0	1220	1		130	0	12	21	-99999999	43	93	14293	0	9820	236	856	Gemeente	GM0214	63	Buren	-99999999	190	13437	39	Buren	23	19	12540	30	1.3	2925	2.6	11	60	50	9205	4	12800	5	1	18	0214		475	28	12790	1	35	25580
415.8199034941676 369.0257466081026	30	218	8	1050	10	0	0	1190	2		280	1	12	22	-99999999	47	330	3515	1	9780	1017	113	Gemeente	GM0226	63	Duiven	-99999999	752	3402	43	Duiven	18	23	11215	26	1.1	1765	2.6	11	65	46	9780	8	12570	3	0	17	0226		95	30	13010	4	32	25580
476.49254627738674 360.0226657163548	29	206	8	2200	10	0	0	1985	1		400	0	16	25	-99999999	42	133	13787	4	15860	589	139	Gemeente	GM1509	84	Oude IJsselstreek	-99999999	295	13647	16	Oude IJsselstreek	28	19	18160	28	1.1	2890	2.5	12	55	72	15885	7	20090	4	1	17	1509		450	27	20120	6	34	40210
408.5503140115692 371.8184666386046	49	193	7	760	14	0	1	695	3		290	1	10	24	-99999999	47	916	784	1	6210	1136	75	Gemeente	GM0293	68	Westervoort	-99999999	2218	709	-99999997	Westervoort	19	19	6495	30	1.0	635	2.5	-99999997	61	-99999997	6150	9	7840	3	-1	19	0293		10	27	7890	6	29	15730
446.18843147736584 361.94940635074204	31	226	8	2270	10	0	0	1600	1		400	0	15	22	-99999999	43	151	10654	1	13690	658	92	Gemeente	GM1955	98	Montferland	-99999999	333	10563	15	Montferland	24	19	15970	29	1.2	2445	2.6	11	59	75	13635	8	17590	4	1	17	1955		335	27	17600	2	35	35190
499.84197370561384 363.91175202474244	21	200	7	1430	11	0	0	1165	1		220	0	16	27	-99999999	40	128	9709	1	10930	706	51	Gemeente	GM0197	80	Aalten	-99999999	285	9657	13	Aalten	26	19	12335	27	1.1	1825	2.5	13	57	74	10725	9	13740	4	1	16	0197		360	27	13740	3	33	27480
290.8108407206796 368.5094283378631	47	205	8	1100	11	0	7	790	2		450	1	12	28	-99999999	42	365	3118	1	10970	1323	175	Gemeente	GM0216	61	Culemborg	-99999999	923	2942	17	Culemborg	18	21	10750	26	1.0	1560	2.5	8	64	75	10820	8	13480	3	2	18	0216		65	30	13680	12	29	27160
260.32705738140453 365.25065149665295	11	231	7	450	13	0	0	480	1		50	0	14	22	-99999999	47	79	7649	0	4840	245	276	Gemeente	GM0707	52	Zederik	-99999999	183	7373	15	Zederik	32	21	5860	26	1.2	1765	2.8	5	55	80	4820	2	6760	5	1	13	0707		245	26	6740	1	32	13500
378.7170573153426 363.2600851653946	28	239	8	1890	10	0	0	1940	1		460	0	13	23	-99999999	44	177	11518	1	16510	690	571	Gemeente	GM1734	67	Overbetuwe	-99999999	390	10947	35	Overbetuwe	19	21	19330	28	1.2	2945	2.6	8	62	57	16250	7	21220	4	2	19	1734		320	28	21510	3	34	42740
235.00341682711542 370.13378060100695	30	201	7	480	12	0	6	445	2		150	0	13	32	-99999999	36	740	696	0	5210	1061	65	Gemeente	GM0608	58	Schoonhoven	-99999999	1936	631	7	Schoonhoven	27	19	4670	27	0.9	620	2.3	0	57	93	5000	6	6020	3	0	16	0608		15	28	6200	9	32	12220
193.27724529392196 366.4403397547041	64	180	9	2790	12	3	1	1500	6		1730	6	14	34	-99999999	37	1950	1542	1	28980	2186	113	Gemeente	GM0502	62	Capelle aan den IJssel	-99999999	4589	1430	-99999997	Capelle aan den IJssel	14	18	27880	28	1.0	2630	2.2	-99999997	70	-99999997	29055	11	31710	2	1	16	0502		5	28	33890	17	29	65600
163.14165572697442 364.73125273974665	72	134	9	3450	12	2	2	1620	6		2340	3	15	39	-99999999	33	1494	1989	9	34960	3333	178	Gemeente	GM0606	68	Schiedam	-99999999	4164	1810	0	Schiedam	23	17	27045	25	0.8	3695	2.1	9	60	91	35270	8	37040	1	0	18	0606		10	30	38350	23	28	75390
404.1155144845704 357.67763968317826	26	228	8	2070	10	0	0	1940	1		440	0	13	22	-99999999	43	316	6918	0	17110	778	673	Gemeente	GM1705	70	Lingewaard	-99999999	700	6245	60	Lingewaard	23	20	19730	30	1.2	2900	2.5	10	58	31	17005	7	21740	4	2	18	1705		310	28	21980	2	34	43720
154.23037344764862 362.54213128187683	62	152	9	3170	11	2	2	1735	4		1960	2	18	38	-99999999	32	1167	2671	6	33840	2794	303	Gemeente	GM0622	67	Vlaardingen	-99999999	3063	2368	-99999997	Vlaardingen	20	16	27650	27	0.8	2775	2.1	-99999997	62	-99999997	34340	7	35340	1	0	18	0622		5	28	37220	16	30	72550
