COMPUTE_CENTROID	P_WWB_UIT	WOZ	BEDR_KLAS	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	BU_CODE	WWB_UITTOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	RECSRT	GM_CODE	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	BU_NAAM	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_COM_DV	P_VEETEELT	WONINGEN	P_WEST_AL	AANT_MAN	STED	AUTO_MUT	P_N_COM_DV	WBCCODE	WK_CODE	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
359.38679166244333 467.0148673553918	31	215	8	2350	13	0	2	1330	2		480	0	13	30	-99999999	41	460	4827	5	16680	1275	980	Gemeente	GM0243	85	Harderwijk	-99999999	1076	3847	8	Harderwijk	18	20	17700	25	1.1	3000	2.5	4	64	88	16245	6	20400	3	2	18	0243		50	29	20990	10	29	41390
199.88314516176635 468.9883582065165	21	344	8	1540	9	0	0	575	3		220	1	22	35	-99999999	34	1275	964	0	11090	1483	44	Gemeente	GM0397	100	Heemstede	-99999999	2787	920	46	Heemstede	12	18	11730	30	1.1	890	2.2	0	70	54	11000	12	11980	3	-1	18	0397		15	21	13660	5	30	25650
256.8211146688843 466.4630437603593	42	223	8	1250	13	2	2	605	8		400	8	14	41	-99999999	33	760	1403	2	11200	2101	202	Gemeente	GM0384	76	Diemen	-99999999	1984	1202	-99999997	Diemen	14	18	9135	27	0.8	1220	2.1	-99999997	69	-99999997	10040	11	11610	2	-1	17	0384		5	29	12230	23	26	23830
526.3713728800458 462.11541365619956	30	209	7	1080	10	0	0	880	3		220	0	15	25	-99999999	41	345	2615	1	8230	1094	16	Gemeente	GM0147	81	Borne	-99999999	790	2600	9	Borne	19	20	8970	29	1.1	1145	2.5	11	60	80	8130	7	10240	3	1	21	0147		75	26	10300	4	34	20550
552.0533896857638 461.53387453395703	37	190	8	1810	10	0	0	1100	2		430	0	15	29	-99999999	38	781	2198	4	12980	1284	40	Gemeente	GM0173	87	Oldenzaal	-99999999	1450	2159	28	Oldenzaal	18	18	16850	28	1.3	2990	2.4	3	67	69	13035	8	15650	3	4	15	0173		30	28	15640	6	34	31300
270.4351096853325 463.7152580966707	23	318	6	310	9	0	1	250	2		70	1	15	28	-99999999	39	213	3651	0	2790	405	2206	Gemeente	GM0424	73	Muiden	-99999999	460	1445	0	Muiden	14	20	3075	31	1.1	330	2.4	0	64	100	2740	11	3250	5	0	22	0424		20	25	3400	5	32	6640
245.47620253014668 454.7906177607894	19	285	7	530	10	1	1	415	4		100	3	16	34	-99999999	37	238	2581	0	5660	1212	166	Gemeente	GM0437	62	Ouder-Amstel	-99999999	544	2415	2	Ouder-Amstel	16	19	5745	29	1.0	995	2.3	0	66	98	5655	11	6380	3	0	18	0437		50	26	6760	8	29	13140
427.6733333710662 439.01851985216564	19	264	7	1360	12	0	0	1050	1		160	0	17	24	-99999999	41	88	12652	1	8970	495	345	Gemeente	GM0285	88	Voorst	-99999999	191	12307	14	Voorst	20	17	10870	30	1.2	1870	2.5	7	58	79	8675	5	11790	5	1	21	0285		400	24	11730	2	35	23520
242.0476474845214 475.579864948772	96	204	9	43090	12	2	9	14025	9		34890	9	11	56	-99999999	24	1285	21944	5	410200	6051	5315	Gemeente	GM0363	80	Amsterdam	-99999999	4469	16629	21	Amsterdam	11	16	213620	24	0.5	26850	1.8	4	70	74	381830	14	366130	1	0	19	0363		90	37	376950	34	20	743080
177.48136939839068 450.2041778696366	17	309	8	1580	12	0	1	805	2		180	0	15	35	-99999999	35	306	5153	0	10500	1333	1607	Gemeente	GM0575	92	Noordwijk	-99999999	696	3546	90	Noordwijk	15	16	10840	31	1.0	1290	2.3	4	67	6	10655	10	12350	3	1	18	0575		90	27	12320	4	30	24670
197.22774752059814 463.1521844007593	10	362	5	310	8	1	0	165	2		20	0	26	29	-99999999	35	1361	179	0	2120	665	4	Gemeente	GM0372	106	Bennebroek	-99999999	2932	175	-99999997	Bennebroek	11	17	2380	29	1.1	135	2.3	-99999997	68	-99999997	2155	10	2410	4	0	21	0372		0	20	2720	3	36	5130
235.94145432077698 454.74914853766825	24	256	9	3580	11	1	1	1805	7		810	3	19	44	-99999999	30	784	4405	1	38250	2029	255	Gemeente	GM0362	70	Amstelveen	-99999999	1898	4150	59	Amstelveen	10	17	32555	26	0.9	2290	2.0	1	72	40	36535	18	37310	2	0	18	0362		95	27	41460	12	26	78770
478.95183382320886 456.1941594153787	21	206	8	1680	13	0	0	1265	1		240	0	15	22	-99999999	48	176	9440	3	12850	984	23	Gemeente	GM1742	73	Rijssen-Holten	-99999999	387	9417	7	Rijssen-Holten	25	22	16550	23	1.3	3080	2.8	13	61	80	12815	3	18040	4	1	14	1742		245	26	18380	4	30	36420
361.32280122213973 454.18787791135156	24	258	8	1800	13	0	0	960	2		240	0	17	32	-99999999	37	129	8738	1	10440	823	173	Gemeente	GM0233	105	Ermelo	-99999999	306	8565	7	Ermelo	20	18	11030	28	1.1	1705	2.4	11	61	82	9050	5	12880	4	1	19	0233		125	24	13380	3	31	26250
282.22087363785226 456.86599748625576	18	353	8	630	8	0	2	415	3		120	1	19	32	-99999999	37	384	3289	0	7210	1047	1149	Gemeente	GM0425	62	Naarden	-99999999	800	2139	11	Naarden	14	21	8205	28	1.1	770	2.3	0	72	89	7330	12	8170	3	0	14	0425		20	24	8930	6	30	17100
268.04051718179153 457.49590238663643	33	207	8	1010	11	1	5	485	3		220	1	15	40	-99999999	31	355	2188	2	8220	1604	134	Gemeente	GM0457	83	Weesp	-99999999	853	2055	4	Weesp	21	16	7295	28	0.9	1195	2.1	4	67	91	8225	10	8560	2	-2	13	0457		45	30	8970	12	29	17530
448.56836248806013 449.96253224238944	51	180	9	5610	12	1	0	3040	4		2090	1	14	38	-99999999	33	294	13437	7	43640	1695	306	Gemeente	GM0150	86	Deventer	-99999999	735	13131	8	Deventer	14	19	38550	24	0.9	4820	2.2	14	65	78	40785	9	47610	2	3	21	0150		360	31	48930	12	29	96540
531.9942749412751 447.92975281213046	55	164	9	4450	12	1	0	3295	3		1790	1	15	36	-99999999	34	592	6178	6	36220	1604	74	Gemeente	GM0164	83	Hengelo	-99999999	1332	6103	12	Hengelo	16	19	36150	25	1.0	4580	2.2	11	63	77	36220	10	40300	2	1	21	0164		125	29	41000	11	30	81300
193.82543153212126 457.02841176015335	16	241	7	1020	12	0	1	880	2		130	0	15	31	-99999999	38	725	1348	0	8500	1342	57	Gemeente	GM0534	75	Hillegom	-99999999	1574	1291	93	Hillegom	19	18	9355	28	1.1	1535	2.4	2	65	5	8445	8	9990	3	0	16	0534		85	27	10330	5	31	20320
182.845523621758 450.7940093345114	13	274	7	880	12	0	0	630	2		70	0	15	30	-99999999	40	284	2340	0	6070	861	82	Gemeente	GM0576	88	Noordwijkerhout	-99999999	671	2259	95	Noordwijkerhout	21	19	6425	29	1.1	1395	2.4	1	66	4	5740	8	7660	4	1	13	0576		180	26	7500	3	30	15170
503.09042907105027 442.7746786642399	19	220	8	1740	10	0	0	1570	2		250	0	18	27	-99999999	39	78	21544	1	14050	541	241	Gemeente	GM1735	78	Hof van Twente	-99999999	164	21303	9	Hof van Twente	23	19	16525	28	1.2	2900	2.5	13	58	77	13860	6	17390	4	1	19	1735		755	26	17650	3	34	35040
294.43071837756065 455.28283400624287	35	270	9	2260	12	0	3	1285	3		540	1	13	31	-99999999	40	1217	2328	2	17540	1804	751	Gemeente	GM0406	79	Huizen	-99999999	2668	1578	54	Huizen	20	19	19205	30	1.1	1980	2.4	0	64	46	17540	10	20440	2	1	16	0406		15	26	21660	8	29	42090
221.1201907227958 446.9730627649391	15	274	8	1120	10	0	1	915	2		140	1	15	28	-99999999	39	589	3224	0	10010	665	1166	Gemeente	GM0358	70	Aalsmeer	-99999999	1173	2058	90	Aalsmeer	17	18	12125	28	1.2	2005	2.4	5	70	5	9210	8	12020	4	3	13	0358		130	28	12120	5	33	24140
298.4181056923682 451.9411376912141	15	524	7	430	9	0	0	295	3		60	1	17	29	-99999999	37	442	1558	0	3880	806	445	Gemeente	GM0376	72	Blaricum	-99999999	819	1113	11	Blaricum	15	17	4920	37	1.3	430	2.3	5	67	84	3945	12	4390	4	1	18	0376		20	20	4720	5	34	9110
255.30414619808633 448.45242180036735	18	362	7	300	9	0	0	290	3		60	1	15	27	-99999999	43	128	3211	0	3450	665	172	Gemeente	GM0305	56	Abcoude	-99999999	285	3039	1	Abcoude	18	23	3895	28	1.1	490	2.5	1	62	97	3495	10	4260	4	1	20	0305		70	26	4400	5	30	8670
547.4175959095369 439.644685294578	73	150	9	10490	15	1	1	4710	5		5000	1	14	42	-99999999	30	437	14275	6	73710	1899	181	Gemeente	GM0153	98	Enschede	-99999999	1095	14095	11	Enschede	16	17	61610	24	0.8	7515	2.1	8	65	82	66125	12	78540	2	0	19	0153		225	30	75840	14	28	154380
348.53105840199305 442.9818382204903	15	270	8	1000	13	0	0	770	1		110	0	15	25	-99999999	45	119	8745	0	8550	778	240	Gemeente	GM0273	67	Putten	-99999999	272	8504	5	Putten	26	21	10090	25	1.2	1975	2.7	10	59	85	7900	4	11480	4	0	15	0273		305	26	11690	2	31	23170
188.91252643101032 446.7552757646448	12	222	7	880	11	0	0	885	2		110	0	15	30	-99999999	38	629	1611	0	9110	1401	41	Gemeente	GM0553	60	Lisse	-99999999	1393	1570	81	Lisse	16	19	9875	28	1.1	1130	2.4	1	69	17	9245	8	10750	3	1	15	0553		70	28	11130	3	32	21880
261.7490312351661 439.1557289911799	19	343	6	310	9	0	0	295	2		60	1	16	28	-99999999	40	163	2732	1	3400	316	232	Gemeente	GM0329	59	Loenen	-99999999	332	2499	6	Loenen	18	20	4065	30	1.2	565	2.4	3	66	91	3360	9	4060	5	-1	16	0329		70	25	4230	4	32	8300
400.49880966886104 429.871533597676	38	217	9	9140	11	1	0	6295	3		2360	1	16	32	-99999999	36	203	34113	3	66390	1591	121	Gemeente	GM0200	88	Apeldoorn	-99999999	459	33992	15	Apeldoorn	15	18	69155	27	1.0	9440	2.3	7	64	78	64375	8	76640	2	1	21	0200		375	28	79410	7	32	156050
271.7258811005456 438.78178380072774	14	325	8	1050	9	0	0	905	2		130	0	17	28	-99999999	38	245	7655	0	9790	522	2846	Gemeente	GM1696	70	Wijdemeren	-99999999	487	4809	14	Wijdemeren	22	18	11785	31	1.2	2010	2.4	3	63	83	9505	8	11480	4	2	15	1696		95	25	11960	3	34	23440
284.5426592815569 438.0036201933019	36	247	9	4570	10	1	3	2520	3		1290	1	18	41	-99999999	31	860	4624	3	39350	2308	68	Gemeente	GM0402	84	Hilversum	-99999999	1836	4557	12	Hilversum	17	17	39185	26	1.0	5230	2.1	0	63	88	37965	11	40420	2	4	21	0402		15	29	43240	10	28	83650
284.1232837718576 449.756262973794	25	317	9	1300	9	0	2	895	3		330	0	20	41	-99999999	32	1724	811	1	14330	2193	5	Gemeente	GM0381	68	Bussum	-99999999	3875	806	-99999997	Bussum	15	19	13895	25	1.0	1125	2.1	-99999997	67	-99999997	14365	12	14640	2	0	18	0381		5	27	16600	7	28	31240
301.6696654787667 444.60876270660043	16	291	7	360	11	0	0	385	2		60	0	11	25	-99999999	46	133	3367	0	3490	794	264	Gemeente	GM0317	59	Eemnes	-99999999	285	3103	9	Eemnes	24	21	4125	29	1.2	710	2.5	1	60	89	3500	8	4390	4	0	16	0317		75	29	4470	3	29	8860
313.7184018363622 441.7910860682794	17	244	8	850	15	0	0	470	1		110	0	10	20	-99999999	52	252	3488	2	6790	967	436	Gemeente	GM0313	65	Bunschoten	-99999999	638	3051	0	Bunschoten	21	22	7690	24	1.1	1475	2.9	1	67	99	6825	3	9780	4	1	12	0313		80	29	9690	4	27	19470
292.0795792804521 443.9900571490668	10	504	7	450	7	0	0	300	3		50	0	26	35	-99999999	31	478	1239	0	4820	962	17	Gemeente	GM0417	71	Laren	-99999999	901	1222	-99999997	Laren	13	16	5840	30	1.2	515	2.2	-99999997	71	-99999997	4900	13	5120	4	0	16	0417		5	20	5880	4	34	11000
226.5645184940561 441.70973205257343	18	240	8	1280	9	0	2	1135	4		180	1	15	30	-99999999	39	691	1949	0	11350	1339	120	Gemeente	GM0451	74	Uithoorn	-99999999	1468	1829	87	Uithoorn	17	20	12640	26	1.1	1825	2.4	3	68	10	11285	10	13200	3	1	15	0451		135	30	13640	7	31	26840
242.42610149482584 435.3836784159587	17	272	8	1420	11	0	1	1365	2		220	1	13	26	-99999999	44	221	8480	1	13580	816	1425	Gemeente	GM0736	61	De Ronde Venen	-99999999	487	7054	22	De Ronde Venen	21	20	15610	29	1.1	2845	2.5	3	64	75	12825	7	17180	4	0	14	0736		220	28	17170	5	31	34350
333.3966391234272 434.7911050028839	16	256	8	1740	13	0	2	1515	1		220	0	13	25	-99999999	43	249	7205	1	14860	950	252	Gemeente	GM0267	67	Nijkerk	-99999999	557	6952	6	Nijkerk	21	20	17275	26	1.2	2795	2.6	9	65	85	14485	4	19350	4	2	14	0267		250	29	19340	5	32	38700
183.52629399568593 436.4112205470106	11	279	8	1150	11	0	1	1175	2		140	1	14	26	-99999999	43	515	3363	0	13410	1216	502	Gemeente	GM1525	51	Teylingen	-99999999	1212	2861	72	Teylingen	18	21	14730	26	1.1	1900	2.5	0	63	28	13620	7	17260	3	0	20	1525		150	28	17420	4	31	34680
465.86976359620047 427.97818389867825	22	271	8	1720	9	0	1	1755	1		270	0	21	26	-99999999	37	76	21602	1	13350	533	271	Gemeente	GM0262	84	Lochem	-99999999	154	21331	11	Lochem	18	17	16165	30	1.2	2815	2.4	10	60	79	13315	6	16120	4	1	21	0262		570	23	16740	3	38	32860
