COMPUTE_CENTROID	P_WWB_UIT	WWB_UITMUT	INW_MUT	BEDR_KLAS	AO_UIT_TOT	P_WW_UIT	P_15_24_JR	P_ANT_ARU	P_MARROK	HH_MUT	MOTOR_2W	P_OVER_NW	BU_CODE	WWB_UITTOT	P_SURINAM	P_65_EO_JR	WEST_MUT	P_EENP_HH	DEK_PERC	P_HH_M_K	AUTO_LAND	P_HOOG_INK	OPP_TOT	P_TURKIJE	N_W_MUT	INW_5JMUT	AANTAL_HH	N_W_5JMUT	OAD	OPP_WATER	RECSRT	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	P_NIET_ACT	P_GEWASSEN	OPP_LAND	BU_NAAM	INK_ONTV	WW_UIT_TOT	P_INDUSTRI	P_00_14_JR	AGRA_5MUT	AUTO_TOT	P_45_64_JR	AUTO_HH	INK_INW	P_LAAG_INK	WW_UIT_MUT	WEST_5JMUT	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AUTO_MUT	HH_5JMUT	AANT_INK	WK_CODE	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
549.4930644881578 714.9027438785828	72	-3	-1	8	1540	40	11	2	0	-1	1075	3		850	1	17	8	31	-99999999	35	85	16	22748	2	4	-2	12340	1	636	9502	Gemeente	GM0010	-5	83	Delfzijl	-99999999	215	26	45	13247	Delfzijl	16	750	15	17	-9	11320	28	0.9	11	44	11	0	1625	2.2	9	46	63	12380	8	4	14270	21	0	0	18600		170	26	-2	14170	9	34	28450
519.156795319484 719.4781920188605	43	9	0	6	600	40	12	0	0	0	620	1		180	0	14	0	27	-99999999	40	41	16	11199	0	-3	0	4420	0	187	97	Gemeente	GM0024	-3	81	Loppersum	-99999999	99	21	38	11102	Loppersum	16	300	21	19	-5	4605	29	1.0	11	44	10	0	935	2.4	4	57	56	4465	4	5	5560	23	1	2	7000		180	26	-2	5480	1	33	11030
415.115506784374 722.7884768358482	48	7	0	7	1560	37	12	0	0	1	865	3		470	0	15	0	30	-99999999	39	59	14	26694	0	0	4	10210	1	464	9967	Gemeente	GM0058	-4	95	Dongeradeel	-99999999	150	22	31	16727	Dongeradeel	15	600	22	20	-15	9840	25	1.0	10	47	3	1	2130	2.4	6	63	59	10185	4	5	12620	19	1	6	16200		310	27	-3	12500	3	31	25120
439.3828023276971 725.4336524109553	52	17	1	6	670	39	11	0	0	1	530	3		240	0	15	3	33	-99999999	36	28	15	24031	0	-2	4	4870	3	148	7286	Gemeente	GM1663	-5	89	De Marne	-99999999	67	21	63	16745	De Marne	16	290	22	18	-6	4630	29	0.9	11	48	14	1	1210	2.2	7	30	60	4705	5	5	5770	18	2	8	7400		185	26	-1	5530	4	32	11290
384.21150562702616 713.2112099043417	37	5	0	6	480	39	12	0	0	0	410	1		130	0	14	-7	27	-99999999	41	39	13	13318	0	0	2	3540	0	196	3553	Gemeente	GM1722	-1	81	Ferwerderadiel	-99999999	92	18	29	9765	Ferwerderadiel	16	230	29	20	-6	3785	27	1.1	10	48	8	0	1020	2.5	3	68	51	3645	3	5	4600	21	2	5	5800		190	28	-3	4370	2	32	8970
435.9402269508284 707.4323731277352	37	0	0	6	830	38	13	0	0	6	545	1		200	0	14	-9	27	-99999999	41	50	13	11633	0	2	0	5160	0	326	644	Gemeente	GM0079	-2	95	Kollumerland en Nieuwkruisland	-99999999	119	22	13	10989	Kollumerland c.a.	15	330	24	20	-10	5485	25	1.1	10	47	4	0	1205	2.5	2	85	58	5215	2	5	6700	19	0	3	8300		205	28	-5	6410	1	32	13110
537.4834396099438 713.9156721125078	63	0	0	6	770	45	11	0	0	0	460	1		320	1	19	0	32	-99999999	34	204	14	2462	2	8	1	5540	0	957	78	Gemeente	GM0003	-4	95	Appingedam	-99999999	522	24	8	2384	Appingedam	16	370	16	17	-11	4860	28	0.9	11	43	7	0	515	2.2	3	90	62	5595	8	4	6050	22	1	2	8500		40	26	-2	6380	4	34	12440
499.711758454483 707.6568669484577	26	0	-1	6	650	27	12	0	0	0	405	1		110	0	13	-7	26	-99999999	41	96	18	4496	0	-9	-1	4160	0	589	38	Gemeente	GM0005	1	91	Bedum	-99999999	241	20	15	4458	Bedum	17	200	20	20	-10	4275	29	1.0	11	41	26	0	725	2.5	10	75	56	4150	4	4	5390	23	1	1	7000		95	26	-4	5340	1	33	10730
466.3890410113983 701.7221479517495	24	-5	1	7	800	30	11	0	0	2	635	1		160	0	12	5	24	-99999999	43	60	20	12837	0	2	1	7000	0	349	275	Gemeente	GM0056	-3	67	Zuidhorn	-99999999	146	16	15	12562	Zuidhorn	18	360	21	22	-9	7555	27	1.1	11	39	6	0	1750	2.5	4	82	56	6980	4	5	9090	23	3	4	11400		255	27	-2	9190	2	33	18290
357.72843376218606 702.4022504702446	49	6	0	6	610	39	11	0	0	1	495	3		220	0	14	0	30	-99999999	39	48	13	11651	0	-4	8	4520	2	263	2422	Gemeente	GM0063	-3	85	het Bildt	-99999999	119	21	60	9228	het Bildt	16	280	26	21	-15	4430	27	1.0	10	46	4	1	1235	2.4	3	38	55	4500	4	5	5600	19	2	9	6900		155	27	-1	5370	3	30	10970
407.8555631330761 702.7946380609864	52	8	0	7	1220	47	13	0	0	0	690	1		380	0	15	4	24	-99999999	44	94	14	8749	0	-6	-1	7470	0	384	172	Gemeente	GM0065	-3	95	Dantumadeel	-99999999	229	22	1	8578	Dantumadeel	16	600	26	20	-14	8025	26	1.1	10	47	6	0	1615	2.6	3	96	56	7540	2	5	9830	18	2	1	12200		175	26	-3	9850	1	32	19680
513.9252185374589 703.8743490106458	24	10	0	6	300	32	11	0	0	1	345	1		60	0	12	-4	22	-99999999	45	67	18	4571	0	6	0	2700	0	296	46	Gemeente	GM0009	-1	63	Ten Boer	-99999999	159	15	12	4525	Ten Boer	16	160	27	22	-3	3020	28	1.1	11	41	1	0	520	2.6	6	82	52	2740	4	5	3620	20	2	1	4500		105	28	1	3580	2	33	7200
254.35702407218363 696.6501856458956	19	-99999997	-2	5	60	45	10	-99999999	-99999999	-2	60	-99999999		10	-99999999	13	0	40	-99999999	32	7	19	31579	-99999999	-1	-6	530	-3	136	27578	Gemeente	GM0096	7	74	Vlieland	-99999999	28	18	-99999997	4001	Vlieland	17	40	16	19	-99999997	290	26	0.5	12	36	-99999997	1	150	2.0	-99999997	-99999997	61	525	10	5	550	23	2	1	800		0	32	-99999997	580	0	28	1130
528.0996919586024 693.3710017879175	31	39	9	7	900	36	10	0	0	1	960	1		180	0	14	0	24	-99999999	40	46	18	15884	0	9	1	5970	0	185	656	Gemeente	GM0040	0	90	Slochteren	-99999999	98	18	48	15228	Slochteren	17	360	27	20	-17	6945	29	1.2	12	41	4	0	1560	2.4	7	44	51	5845	4	5	7620	22	1	2	9600		225	28	-3	7310	1	35	14920
280.2474267684864 706.0031751733753	19	-99999997	-2	5	60	45	10	-99999999	-99999999	-2	60	-99999999		10	-99999999	13	0	40	-99999999	32	7	19	31579	-99999999	-1	-6	530	-3	136	27578	Gemeente	GM0096	7	74	Vlieland	-99999999	28	18	-99999997	4001	Vlieland	17	40	16	19	-99999997	290	26	0.5	12	36	-99999997	1	150	2.0	-99999997	-99999997	61	525	10	5	550	23	2	1	800		0	32	-99999997	580	0	28	1130
377.0876342333247 697.7520808441515	25	33	-1	6	580	32	11	0	0	0	400	1		100	0	12	0	22	-99999999	43	103	19	4138	0	0	0	4030	0	491	58	Gemeente	GM0081	-4	82	Leeuwarderadeel	-99999999	258	19	24	4079	Leeuwarderadeel	17	220	20	21	-11	4185	29	1.0	11	41	3	0	630	2.5	6	70	54	4060	4	5	5290	26	0	3	6900		85	26	-7	5250	2	35	10540
404.718314011928 682.6783222393539	26	6	0	8	1640	37	11	0	0	1	1230	2		330	0	16	2	26	-99999999	40	93	18	16142	0	8	3	12790	1	405	1175	Gemeente	GM0737	-4	78	Tytsjerksteradiel	-99999999	214	20	3	14967	Tytsjerksteradiel	17	770	24	19	-10	13850	28	1.1	11	42	1	0	2910	2.4	3	93	54	12780	3	5	16060	22	2	7	20900		335	26	0	15960	2	34	32020
559.3206167642062 685.3072183846773	38	5	-1	6	1010	50	10	0	0	-1	720	1		220	0	15	1	25	-99999999	41	55	15	11746	0	-4	-1	5770	0	319	302	Gemeente	GM0039	1	106	Scheemda	-99999999	124	22	56	11444	Scheemda	16	480	19	18	-13	6255	30	1.1	11	45	6	0	1055	2.4	9	35	60	5905	5	5	7100	21	0	0	9300		115	27	-1	7080	1	35	14170
431.8303071146819 687.1524543616715	49	4	-7	8	1930	53	13	0	0	0	1085	1		540	0	14	0	25	-99999999	43	116	14	10399	0	1	0	11070	0	374	138	Gemeente	GM0059	-2	102	Achtkarspelen	-99999999	274	23	5	10261	Achtkarspelen	16	1000	31	19	-17	11940	26	1.1	10	46	4	0	2635	2.5	2	93	55	11205	2	5	14270	15	0	3	18000		270	28	-2	13870	1	32	28130
494.9681484276318 689.3557018210216	90	2	1	9	8820	35	21	2	1	1	4175	4		9130	2	12	0	57	-99999999	20	791	14	8369	1	0	4	103570	1	3023	410	Gemeente	GM0014	-2	65	Groningen	-99999999	2269	34	12	7959	Groningen	16	4730	14	13	-22	62970	21	0.6	12	46	11	0	10115	1.7	1	86	66	83055	9	1	89300	20	12	4	121400		75	33	1	91300	9	24	180600
581.0669897874086 685.4336240486698	69	4	-1	6	710	55	9	0	0	3	320	1		210	0	17	0	30	-99999999	34	31	8	15672	0	6	0	3080	0	196	5816	Gemeente	GM1661	-3	151	Reiderland	-99999999	71	29	49	9855	Reiderland	14	260	18	15	-11	3010	31	1.0	10	50	6	-1	635	2.2	14	37	49	3200	12	5	3480	33	1	1	4700		80	27	0	3490	2	36	6970
340.6071471979107 681.4507837251364	41	4	0	7	1260	33	12	0	0	1	785	3		350	0	14	0	32	-99999999	37	79	14	10916	0	0	4	8770	2	605	644	Gemeente	GM0070	-5	91	Franekeradeel	-99999999	204	20	27	10272	Franekeradeel	16	460	24	19	-9	8165	27	0.9	11	46	-3	1	1645	2.3	9	64	60	8730	5	4	10600	17	2	7	13600		225	27	0	10370	4	31	20970
451.40999705829853 685.3403368709482	31	16	1	6	670	36	12	0	0	0	610	1		140	0	13	0	22	-99999999	46	60	16	8778	0	9	2	4450	0	193	90	Gemeente	GM0015	-2	85	Grootegast	-99999999	139	16	3	8688	Grootegast	16	280	31	22	-12	5225	25	1.2	10	46	23	0	1160	2.6	3	95	54	4390	2	5	6160	15	2	2	7400		275	29	-1	5890	1	32	12050
361.3034614945388 684.8115510253789	22	19	0	6	650	33	11	0	0	-2	635	1		120	0	13	-2	25	-99999999	41	87	18	7003	0	-7	1	5560	0	247	102	Gemeente	GM0083	-4	70	Menaldumadeel	-99999999	202	17	28	6902	Menaldumadeel	17	300	28	21	-10	5975	28	1.1	11	42	5	0	1140	2.5	3	69	51	5650	3	5	7060	21	1	2	9100		165	27	-2	6910	1	33	13970
298.18498335302087 695.3880154499493	13	-99999997	0	6	180	27	14	0	0	1	230	1		30	0	16	-5	43	-99999999	29	19	22	67400	0	-1	0	2270	0	185	58590	Gemeente	GM0093	-5	57	Terschelling	-99999999	54	18	0	8810	Terschelling	17	90	12	16	-5	1680	27	0.7	12	38	-6	0	740	2.0	2	98	76	1955	5	5	2500	12	1	14	3100		40	27	0	2230	1	29	4730
380.8058078715898 680.1765067951899	87	3	0	9	4870	43	17	1	1	1	2265	5		3930	1	14	0	47	-99999999	26	411	14	8410	0	1	3	46750	2	2177	436	Gemeente	GM0080	-3	76	Leeuwarden	-99999999	1151	30	9	7974	Leeuwarden	16	2750	16	16	-7	32755	23	0.7	11	44	9	0	4580	1.9	0	91	63	43925	7	2	44850	22	3	5	61900		80	30	-4	46900	9	28	91750
542.5623115595882 676.3759062854695	50	10	0	6	950	49	10	0	0	-2	660	1		250	0	12	0	23	-99999999	41	69	16	8162	0	3	0	5130	0	325	125	Gemeente	GM1987	-1	109	Menterwolde	-99999999	157	23	60	8037	Menterwolde	16	430	23	19	-14	5565	30	1.1	11	45	7	0	940	2.4	13	27	54	5270	4	5	6370	23	1	1	8100		115	29	-4	6220	2	35	12590
465.972441792046 674.1779573710966	37	7	0	7	1190	36	12	0	0	1	730	3		270	1	14	0	26	-99999999	40	131	17	6427	0	-3	4	7720	2	709	70	Gemeente	GM0022	-4	92	Leek	-99999999	307	21	4	6357	Leek	16	470	24	19	-14	8330	28	1.1	11	44	12	1	1550	2.4	2	94	58	7490	5	4	9770	18	2	7	12800		190	27	-2	9740	4	34	19510
327.9475911064592 676.2384838035247	64	0	1	7	860	42	12	0	1	1	510	3		430	0	15	0	34	-99999999	36	227	14	38767	0	0	3	6900	1	971	36249	Gemeente	GM0072	-4	81	Harlingen	-99999999	634	24	41	2518	Harlingen	16	450	21	18	-11	5705	28	0.8	11	44	10	0	1100	2.2	0	59	64	6775	8	4	8010	14	2	5	10400		40	27	-5	7950	5	31	15960
476.9221968399665 657.3880864740761	29	1	-1	8	1600	35	9	0	0	-1	1360	1		370	0	18	0	27	-99999999	36	73	22	20536	0	-1	3	13260	0	606	414	Gemeente	GM1699	-2	79	Noordenveld	-99999999	158	19	10	20122	Noordenveld	18	710	17	18	-13	14615	30	1.1	12	40	5	0	2235	2.3	7	83	62	13075	5	4	15850	20	1	7	21200		290	25	-1	15860	2	37	31710
522.8437452920065 671.1122672648144	79	14	1	8	2800	50	11	1	1	1	1000	2		1110	4	16	0	32	-99999999	35	210	13	7305	3	6	4	14860	1	1102	552	Gemeente	GM0018	-2	123	Hoogezand-Sappemeer	-99999999	509	29	61	6753	Hoogezand-Sappemeer	16	1130	18	18	-26	14210	28	1.0	11	47	6	0	1710	2.2	6	33	58	14975	7	3	16900	24	2	5	23000		80	28	-5	17460	10	33	34360
452.05372897762317 670.5096913189444	35	2	-3	6	600	44	11	0	0	-3	465	1		130	0	13	-1	23	-99999999	44	71	17	6488	0	-2	4	3870	0	278	37	Gemeente	GM0025	-4	90	Marum	-99999999	156	19	6	6451	Marum	17	290	29	21	-12	4595	27	1.2	11	43	15	0	985	2.5	2	92	51	3860	4	5	5160	20	1	5	6400		200	29	-5	4930	1	34	10090
501.62008323811364 658.1421626426464	19	12	0	8	1680	33	9	0	0	1	1240	2		230	0	19	-3	27	-99999999	37	118	25	14765	0	8	3	13190	1	448	393	Gemeente	GM1730	-2	83	Tynaarlo	-99999999	225	18	17	14373	Tynaarlo	19	660	15	19	-16	16915	30	1.3	13	39	8	1	3640	2.3	6	77	61	13030	5	5	15890	24	13	6	21700		245	24	-2	16420	2	36	32300
505.3999137390905 672.604056733659	20	10	0	7	750	27	9	0	0	0	505	3		160	0	22	0	33	-99999999	32	187	32	5070	0	0	3	8320	2	821	500	Gemeente	GM0017	-4	66	Haren	-99999999	419	18	12	4569	Haren	22	310	11	19	-17	8555	29	1.0	15	32	12	1	740	2.2	3	85	60	8320	8	4	9010	29	1	4	12900		65	21	-4	10120	4	35	19130
231.04798016277186 652.9870485875216	22	3	3	7	990	30	10	0	0	1	665	2		130	0	15	8	32	-99999999	35	35	16	46328	0	3	2	5890	0	379	30132	Gemeente	GM0448	-1	109	Texel	-99999999	85	18	40	16196	Texel	16	270	19	19	-7	5675	30	1.0	11	45	8	0	1745	2.3	17	42	66	5800	7	5	6800	15	1	4	9100		240	26	0	6940	2	33	13740
358.5553049148234 663.710976731275	22	9	0	6	440	30	11	0	0	0	450	1		90	0	12	2	24	-99999999	45	35	18	13257	0	0	3	4130	0	112	184	Gemeente	GM0140	-3	62	Littenseradiel	-99999999	83	15	2	13074	Littenseradiel	17	210	29	23	-7	4520	27	1.1	11	43	-6	0	1155	2.5	2	96	47	4240	4	5	5480	23	2	4	6800		290	28	-1	5360	1	32	10840
566.3276393428748 670.791497389351	71	7	0	7	1480	44	10	0	0	-1	615	3		580	1	20	8	36	-99999999	31	370	12	2224	0	-3	-1	8500	0	1176	58	Gemeente	GM0052	-2	125	Winschoten	-99999999	852	26	71	2166	Winschoten	16	530	13	15	-23	8015	27	0.9	11	48	9	0	1220	2.1	5	24	66	8520	8	3	8860	21	2	-1	12800		20	27	-5	9600	4	33	18460
579.4954045327115 660.1240623663617	39	-4	0	6	850	43	10	0	0	1	515	2		160	0	18	4	29	-99999999	34	42	13	11007	0	0	1	4230	2	153	168	Gemeente	GM0007	-3	133	Bellingwedde	-99999999	89	28	63	10840	Bellingwedde	16	280	21	16	-3	4570	32	1.1	11	47	6	0	955	2.2	7	30	54	4095	9	5	4860	25	1	6	6400		155	25	-2	4830	3	37	9690
385.9356943586235 655.0367267116022	25	-6	1	7	820	40	11	0	0	0	785	1		200	0	13	6	28	-99999999	38	54	18	16859	0	0	5	7990	0	391	1672	Gemeente	GM0055	-1	64	Boarnsterhim	-99999999	127	16	2	15187	Boarnsterhim	16	520	26	20	-2	8185	28	1.0	11	42	-2	0	1820	2.3	2	96	56	7950	4	5	9710	18	1	6	12500		260	29	-2	9520	2	33	19230
416.38362704623603 661.122273038254	61	0	1	9	3250	45	12	1	0	1	1700	3		1360	1	15	8	32	-99999999	36	198	15	12615	0	0	4	23030	1	1115	767	Gemeente	GM0090	-3	91	Smallingerland	-99999999	459	25	2	11848	Smallingerland	16	1590	19	19	-12	23515	26	1.0	11	44	4	0	4110	2.3	0	98	61	22970	5	3	26890	20	7	6	35800		250	28	-3	27540	5	32	54430
330.09454115235616 651.0119734550534	20	2	0	7	560	31	11	0	0	0	580	1		90	0	13	-10	27	-99999999	41	31	16	31768	0	-9	1	4700	0	189	15918	Gemeente	GM0710	-5	71	WÂ–nseradiel	-99999999	75	17	9	15850	WÂ–nseradiel	16	240	30	21	-6	4905	28	1.0	10	44	-8	0	1310	2.4	2	88	53	4785	4	5	6060	17	3	3	7500		350	27	-1	5820	2	32	11880
543.2265114142674 656.8876908578484	61	10	-9	8	2080	47	11	0	0	0	1215	1		720	1	16	7	28	-99999999	37	162	14	7871	3	-9	0	12140	0	871	247	Gemeente	GM0047	-1	111	Veendam	-99999999	371	26	63	7624	Veendam	16	880	18	17	-16	12365	28	1.0	11	45	12	0	1895	2.3	12	25	62	12250	5	4	13950	20	2	4	18900		85	27	0	14300	6	35	28250
427.6525810248291 645.1371480972286	29	2	0	8	1690	40	11	0	0	0	1340	1		340	0	14	-1	26	-99999999	40	58	17	22768	0	0	2	11630	0	329	261	Gemeente	GM0086	-1	87	Opsterland	-99999999	131	20	3	22507	Opsterland	16	770	25	20	-6	12955	27	1.1	11	45	4	0	2615	2.4	2	95	53	11695	3	5	14760	22	1	3	19300		440	27	-1	14720	1	34	29470
557.3249645648252 652.5989979818382	62	16	0	6	1200	50	11	0	0	0	540	3		350	0	15	0	28	-99999999	39	117	11	5020	0	-6	0	5710	2	497	108	Gemeente	GM0765	-3	134	Pekela	-99999999	274	27	68	4912	Pekela	15	450	22	18	-12	5740	28	1.0	10	49	8	1	965	2.3	8	24	61	5525	6	5	6750	18	1	3	8800		60	27	2	6700	4	33	13450
520.6344077862761 632.4247390088493	21	0	0	7	1450	37	9	0	0	1	1380	1		220	0	17	-9	24	-99999999	37	43	20	27886	0	-4	2	10370	0	258	200	Gemeente	GM1680	-3	89	Aa en Hunze	-99999999	91	19	37	27686	Aa en Hunze	18	600	19	18	-16	11885	31	1.1	12	41	10	0	2175	2.3	10	53	57	10375	4	5	12560	24	2	4	17200		325	25	-3	12770	1	39	25330
563.3281704129236 635.5921288407976	61	11	0	8	2640	53	11	0	0	1	1215	2		870	0	18	6	29	-99999999	36	125	12	11996	0	10	2	14370	1	707	211	Gemeente	GM0037	-3	120	Stadskanaal	-99999999	287	25	66	11785	Stadskanaal	16	1160	18	17	-11	14715	27	1.0	11	48	15	1	2555	2.3	14	20	61	14210	5	4	16660	20	0	3	22600		200	27	-3	17150	3	34	33800
338.95416145907274 648.3521929725277	52	7	0	6	480	30	12	0	0	7	275	2		210	0	17	-1	33	-99999999	35	388	14	942	1	0	2	4050	-1	896	31	Gemeente	GM0064	-3	78	Bolsward	-99999999	1033	20	0	911	Bolsward	16	180	24	19	27	3535	25	0.9	11	45	-8	0	655	2.2	7	93	57	4125	5	4	4610	19	3	1	6300		15	27	0	4800	4	32	9410
351.91297192359525 631.5452993763814	18	18	0	7	680	27	11	0	0	1	650	1		110	0	12	-6	24	-99999999	43	49	19	16274	0	8	3	6300	0	205	2441	Gemeente	GM0683	-3	63	Wymbritseradiel	-99999999	118	16	2	13833	Wymbritseradiel	17	290	31	22	-7	6815	28	1.1	11	43	1	0	1695	2.5	0	98	52	6260	3	5	8320	17	2	5	10200		290	27	-2	8030	1	33	16350
453.56385697679065 628.7128256077431	39	0	-1	8	1550	42	11	0	0	-1	1350	2		420	0	16	5	28	-99999999	38	51	15	22608	0	-1	3	10960	1	408	170	Gemeente	GM0085	-3	90	Ooststellingwerf	-99999999	118	21	8	22438	Ooststellingwerf	16	730	20	19	-13	11450	27	1.0	11	46	9	0	2425	2.3	5	88	58	10700	5	5	13290	22	1	5	17500		395	27	-2	13200	3	34	26490
298.5716788362778 643.4117931570298	20	2	0	7	560	31	11	0	0	0	580	1		90	0	13	-10	27	-99999999	41	31	16	31768	0	-9	1	4700	0	189	15918	Gemeente	GM0710	-5	71	WÂ–nseradiel	-99999999	75	17	9	15850	WÂ–nseradiel	16	240	30	21	-6	4905	28	1.0	10	44	-8	0	1310	2.4	2	88	53	4785	4	5	6060	17	3	3	7500		350	27	-1	5820	2	32	11880
316.84802122567714 648.4478381712477	20	2	0	7	560	31	11	0	0	0	580	1		90	0	13	-10	27	-99999999	41	31	16	31768	0	-9	1	4700	0	189	15918	Gemeente	GM0710	-5	71	WÂ–nseradiel	-99999999	75	17	9	15850	WÂ–nseradiel	16	240	30	21	-6	4905	28	1.0	10	44	-8	0	1310	2.4	2	88	53	4785	4	5	6060	17	3	3	7500		350	27	-1	5820	2	32	11880
580.0920704141666 625.2722425108831	27	-3	-3	7	1450	51	9	0	0	-4	855	1		180	0	19	-10	27	-99999999	35	46	12	17051	0	-2	1	7050	0	349	278	Gemeente	GM0048	-1	137	Vlagtwedde	-99999999	99	22	66	16774	Vlagtwedde	15	540	23	17	-13	7755	29	1.1	11	49	16	0	1595	2.3	13	21	56	7065	6	5	8200	21	0	2	11300		270	26	-3	8320	1	37	16520
494.18301742328475 633.9860106789791	60	5	1	9	3970	39	11	0	0	2	2520	4		1570	1	14	9	33	-99999999	36	314	17	8348	1	-3	7	26700	1	1309	139	Gemeente	GM0106	-2	95	Assen	-99999999	764	24	38	8209	Assen	17	1620	14	20	-25	25815	25	1.0	12	41	13	0	3545	2.2	4	58	64	26715	8	3	30640	23	3	8	41800		90	30	-6	32110	6	31	62760
362.2056890310828 640.8291064863297	63	3	0	8	1910	45	11	0	0	4	880	2		890	1	16	6	34	-99999999	35	424	16	3404	0	0	4	14310	0	1433	385	Gemeente	GM0091	-4	89	Sneek	-99999999	1090	24	3	3018	Sneek	16	960	20	19	-14	12795	26	0.9	12	44	5	0	2490	2.2	0	97	61	14380	6	3	16150	19	3	4	22000		30	28	-9	16760	4	31	32910
379.6534243977335 621.0081752293968	28	18	-6	8	1250	36	11	0	0	0	1175	1		290	0	15	0	26	-99999999	40	62	19	21689	0	0	2	10710	0	567	3047	Gemeente	GM0051	-3	71	SkarsterlÂƒn	-99999999	145	18	3	18641	SkarsterlÂƒn	17	640	26	20	-6	11555	27	1.1	11	42	7	0	2545	2.5	1	96	57	10980	4	4	13650	17	1	4	17400		375	26	-1	13430	1	34	27080
413.97953690509087 626.5856372563858	47	6	0	8	2240	44	11	0	1	0	1585	3		870	1	17	0	34	-99999999	33	136	18	14015	1	-1	6	18950	1	1081	497	Gemeente	GM0074	-5	80	Heerenveen	-99999999	317	22	3	13518	Heerenveen	17	1220	18	18	-9	18445	26	1.0	12	42	7	0	4330	2.2	3	94	60	18890	5	3	21030	22	2	7	28700		230	28	-3	21770	5	33	42800
327.6423111790027 614.179373479507	34	6	8	7	600	36	10	0	0	0	345	1		150	0	17	0	30	-99999999	36	44	16	28917	0	2	1	4560	0	304	19249	Gemeente	GM0104	-1	85	Nijefurd	-99999999	113	21	5	9668	Nijefurd	16	250	29	19	-2	4270	29	0.9	11	49	8	0	1090	2.3	2	93	55	4740	4	5	5440	16	1	2	7200		215	25	0	5500	1	34	10940
493.2696423242444 600.4726583868825	24	0	1	8	2040	35	10	0	0	1	1650	1		320	0	16	10	25	-99999999	39	42	18	34582	0	-2	2	13290	0	355	429	Gemeente	GM1731	-3	95	Midden-Drenthe	-99999999	97	20	35	34153	Midden-Drenthe	16	760	21	19	-9	14510	29	1.1	12	43	7	0	3125	2.4	10	55	59	13055	4	5	16410	20	2	5	22200		580	26	0	16580	1	35	32980
542.9502812422022 611.0312665150287	30	10	0	8	1780	49	9	0	0	0	1405	1		320	0	16	8	23	-99999999	39	45	16	27792	0	0	0	10680	0	248	275	Gemeente	GM1681	-2	102	Borger-Odoorn	-99999999	96	22	60	27518	Borger-Odoorn	16	840	21	18	-15	12410	30	1.2	11	46	8	0	2665	2.4	16	24	57	10775	4	5	13100	23	1	2	17400		345	26	-2	13220	1	38	26330
