GM1598	GM0385
GM1586	GM1876
GM1586	GM1859
GM1581	GM0352
GM1581	GM0345
GM1581	GM0340
GM1581	GM0312
GM1581	GM0214
GM1525	GM1884
GM1525	GM0579
GM1525	GM0547
GM1525	GM0546
GM1525	GM0537
GM1525	GM0483
GM1509	GM1955
GM1509	GM1876
GM1509	GM1586
GM1509	GM0197
GM1507	GM1894
GM1507	GM0983
GM1507	GM0964
GM1507	GM0885
GM1507	GM0762
GM0995	GM0995
GM0995	GM0388
GM0995	GM0303
GM0995	GM0050
GM0995	GM0034
GM0994	GM1903
GM0994	GM1729
GM0994	GM0936
GM0993	GM1507
GM0988	GM1706
GM0988	GM1640
GM0988	GM0925
GM0986	GM1729
GM0986	GM0994
GM0986	GM0965
GM0984	GM1702
GM0984	GM1652
GM0984	GM1507
GM0984	GM0993
GM0984	GM0762
GM0983	GM1894
GM0983	GM1507
GM0983	GM0934
GM0983	GM0929
GM0983	GM0889
GM0981	GM1729
GM0977	GM1937
GM0977	GM0933
GM0975	GM1670
GM0975	GM0957
GM0975	GM0914
GM0971	GM1883
GM0971	GM0938
GM0971	GM0888
GM0965	GM1729
GM0965	GM0986
GM0964	GM1507
GM0964	GM0983
GM0964	GM0934
GM0964	GM0918
GM0962	GM1883
GM0962	GM0951
GM0962	GM0917
GM0962	GM0899
GM0962	GM0888
GM0957	GM1937
GM0957	GM1679
GM0957	GM1669
GM0957	GM1641
GM0957	GM1640
GM0957	GM0975
GM0957	GM0933
GM0951	GM0994
GM0951	GM0986
GM0951	GM0962
GM0946	GM1894
GM0946	GM1706
GM0946	GM1640
GM0946	GM0988
GM0946	GM0925
GM0946	GM0920
GM0944	GM1945
GM0944	GM1684
GM0944	GM0907
GM0941	GM1670
GM0941	GM1640
GM0941	GM0946
GM0941	GM0920
GM0938	GM0994
GM0938	GM0971
GM0938	GM0951
GM0938	GM0935
GM0936	GM1729
GM0936	GM0994
GM0936	GM0905
GM0935	GM1903
GM0935	GM0994
GM0935	GM0938
GM0935	GM0936
GM0935	GM0905
GM0934	GM0983
GM0934	GM0964
GM0934	GM0929
GM0934	GM0918
GM0933	GM1937
GM0933	GM1711
GM0933	GM1679
GM0933	GM0977
GM0933	GM0957
GM0929	GM1670
GM0929	GM1640
GM0929	GM0983
GM0929	GM0934
GM0929	GM0889
GM0925	GM1937
GM0925	GM0988
GM0925	GM0977
GM0925	GM0946
GM0920	GM1937
GM0920	GM1670
GM0920	GM0946
GM0920	GM0941
GM0920	GM0925
GM0920	GM0914
GM0918	GM1670
GM0918	GM1640
GM0918	GM0964
GM0918	GM0941
GM0918	GM0934
GM0918	GM0929
GM0917	GM0986
GM0917	GM0965
GM0917	GM0962
GM0917	GM0951
GM0917	GM0928
GM0917	GM0882
GM0914	GM1937
GM0914	GM1670
GM0914	GM0975
GM0914	GM0957
GM0914	GM0920
GM0907	GM1945
GM0907	GM1684
GM0907	GM0944
GM0907	GM0893
GM0907	GM0756
GM0905	GM0936
GM0905	GM0935
GM0899	GM0962
GM0899	GM0917
GM0899	GM0882
GM0893	GM1507
GM0893	GM0993
GM0893	GM0984
GM0893	GM0983
GM0893	GM0907
GM0893	GM0885
GM0889	GM1894
GM0889	GM1670
GM0889	GM1640
GM0889	GM0983
GM0889	GM0975
GM0889	GM0957
GM0889	GM0929
GM0888	GM1883
GM0888	GM0971
GM0888	GM0962
GM0888	GM0951
GM0888	GM0938
GM0885	GM1507
GM0885	GM0983
GM0885	GM0893
GM0882	GM0928
GM0882	GM0917
GM0882	GM0899
GM0881	GM0962
GM0881	GM0899
GM0880	GM0479
GM0880	GM0439
GM0880	GM0431
GM0880	GM0415
GM0874	GM0738
GM0873	GM1674
GM0870	GM1719
GM0870	GM0874
GM0870	GM0867
GM0870	GM0779
GM0870	GM0738
GM0870	GM0505
GM0867	GM0870
GM0867	GM0809
GM0867	GM0779
GM0867	GM0766
GM0866	GM1724
GM0866	GM1658
GM0866	GM0858
GM0865	GM0788
GM0865	GM0757
GM0861	GM1724
GM0861	GM0866
GM0860	GM1721
GM0860	GM1659
GM0860	GM1652
GM0860	GM0846
GM0860	GM0755
GM0858	GM1724
GM0858	GM1658
GM0858	GM0866
GM0856	GM1948
GM0856	GM1721
GM0856	GM1702
GM0856	GM1685
GM0856	GM0860
GM0856	GM0755
GM0855	GM0824
GM0855	GM0798
GM0855	GM0785
GM0855	GM0784
GM0852	GM1942
GM0852	GM0852
GM0852	GM0415
GM0852	GM0385
GM0852	GM0363
GM0851	GM1924
GM0851	GM1709
GM0851	GM1674
GM0851	GM1655
GM0851	GM0851
GM0851	GM0748
GM0851	GM0716
GM0848	GM1948
GM0848	GM0820
GM0848	GM0772
GM0847	GM1771
GM0847	GM1706
GM0847	GM1658
GM0847	GM0946
GM0847	GM0743
GM0846	GM1659
GM0846	GM0860
GM0846	GM0848
GM0846	GM0820
GM0846	GM0753
GM0845	GM1948
GM0845	GM1721
GM0845	GM1671
GM0845	GM0865
GM0845	GM0846
GM0845	GM0844
GM0845	GM0757
GM0844	GM1721
GM0844	GM0860
GM0844	GM0846
GM0844	GM0845
GM0840	GM1674
GM0840	GM1655
GM0840	GM0879
GM0828	GM1721
GM0828	GM1685
GM0828	GM1671
GM0828	GM0786
GM0826	GM1719
