	OAD_2011	OPP_WATER_2011	AANT_INW_2011	BEV_DICHTH_2011
0	960.0	81.0	12090.0	509.0
1	612.0	39.0	10495.0	235.0
2	156.0	169.0	9400.0	87.0
3	336.0	43.0	7455.0	165.0
4	605.0	9444.0	26565.0	200.0
5	3138.0	570.0	189990.0	2434.0
6	194.0	95.0	12210.0	141.0
7	801.0	515.0	18515.0	406.0
8	1150.0	628.0	34815.0	522.0
9	696.0	95.0	19335.0	305.0
10	186.0	95.0	10480.0	94.0
11	300.0	38.0	10470.0	162.0
12	1565.0	11917.0	190655.0	1471.0
13	717.0	228.0	33120.0	281.0
14	null	null	null	null
15	212.0	783.0	15545.0	103.0
16	888.0	261.0	27980.0	368.0
17	341.0	294.0	16290.0	97.0
18	848.0	2032.0	21105.0	85.0
19	576.0	3154.0	27375.0	148.0
20	null	null	null	null
21	405.0	142.0	14055.0	139.0
22	400.0	1704.0	19300.0	127.0
23	382.0	282.0	18630.0	148.0
24	483.0	9971.0	24290.0	145.0
25	386.0	158.0	28125.0	275.0
26	238.0	20967.0	3505.0	60.0
27	279.0	2411.0	10935.0	118.0
28	null	null	null	null
29	null	null	null	null
30	641.0	644.0	20755.0	202.0
31	1001.0	36263.0	15880.0	634.0
32	1097.0	503.0	43455.0	322.0
33	344.0	660.0	12930.0	118.0
34	2259.0	505.0	94840.0	1202.0
35	512.0	56.0	10375.0	254.0
36	597.0	4841.0	13620.0	179.0
37	null	null	null	null
38	433.0	195.0	26005.0	116.0
39	366.0	301.0	29990.0	134.0
40	246.0	15507.0	955.0	22.0
41	1142.0	793.0	55435.0	469.0
42	null	null	null	null
43	199.0	58782.0	4720.0	55.0
44	183.0	27967.0	1150.0	32.0
45	636.0	725.0	25845.0	117.0
46	null	null	null	null
47	1385.0	151.0	67175.0	820.0
48	476.0	315.0	36065.0	122.0
49	741.0	985.0	109260.0	325.0
50	1051.0	158.0	54845.0	430.0
51	1157.0	134.0	32510.0	584.0
52	123.0	190.0	11000.0	84.0
53	1425.0	198.0	72600.0	1077.0
54	null	null	null	null
55	1174.0	16.0	21555.0	829.0
56	456.0	139.0	27315.0	165.0
57	1706.0	311.0	98735.0	752.0
58	2012.0	173.0	157840.0	1119.0
59	928.0	61.0	24450.0	233.0
60	503.0	467.0	59285.0	190.0
61	718.0	93.0	35745.0	259.0
