code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0203	Barneveld	29	29	29	29	30	30	30	30	30	30	30	30	30	30
GM0207	Bergh	35	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0209	Beuningen	31	30	31	31	32	32	32	32	32	32	33	33	33	33
GM0211	Borculo	37	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0213	Brummen	36	36	36	36	37	37	37	36	36	36	37	36	37	37
GM0214	Buren	34	34	35	35	35	35	36	35	36	36	35	35	35	35
GM0216	Culemborg	29	29	29	30	29	29	29	29	29	29	29	30	30	29
GM0218	Didam	34	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0219	Dinxperlo	36	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0221	Doesburg	31	31	32	32	32	32	32	32	33	32	32	32	32	32
GM0222	Doetinchem	33	33	32	33	33	33	32	32	32	32	32	32	32	31
GM0225	Druten	33	33	33	34	33	33	33	33	33	33	33	34	33	34
GM0226	Duiven	31	32	32	31	31	31	31	31	31	31	31	32	32	33
GM0228	Ede	30	30	30	30	30	30	30	29	29	29	30	30	30	30
GM0229	Eibergen	32	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0230	Elburg	32	31	32	32	32	32	32	32	33	33	33	33	33	33
GM0232	Epe	34	34	34	35	34	34	34	34	34	34	35	35	35	35
GM0233	Ermelo	32	31	31	31	31	32	32	31	32	32	33	33	33	33
GM0236	Geldermalsen	33	33	33	33	33	33	33	32	32	33	33	34	33	34
GM0237	Gendringen	33	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0239	Gorssel	40	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0240	Groenlo	36	34	34	null	null	null	null	null	null	null	null	null	null	null
GM0241	Groesbeek	34	34	34	34	34	34	33	34	33	33	33	33	null	null
GM0243	Harderwijk	29	30	29	30	30	30	31	30	30	30	30	30	30	30
GM0244	Hattem	36	36	35	35	35	35	35	35	35	35	35	35	34	34
GM0246	Heerde	33	33	33	35	36	36	36	36	35	36	36	37	37	37
GM0248	Hengelo (Gld.)	33	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0252	Heumen	33	33	33	33	34	34	34	34	33	34	34	34	34	33
GM0256	Hummelo en Keppel	39	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0260	Lichtenvoorde	32	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0262	Lochem	35	38	38	38	37	38	38	37	38	38	37	38	37	38
GM0263	Maasdriel	31	31	32	32	32	32	33	32	33	33	32	32	32	32
GM0265	Millingen aan de Rijn	32	33	34	34	34	34	34	34	34	34	34	null	null	null
GM0266	Neede	37	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0267	Nijkerk	32	32	32	32	32	32	32	32	32	32	32	32	31	31
GM0268	Nijmegen	24	24	23	23	23	23	23	22	23	23	23	23	22	22
GM0269	Oldebroek	29	30	30	30	31	31	31	32	33	34	34	34	34	34
GM0273	Putten	30	31	31	31	33	32	32	33	33	32	33	33	33	33
GM0274	Renkum	34	34	33	34	34	35	34	34	34	34	34	34	34	33
