code	name	OAD_2015	OPP_WATER_2015	AANT_INW_2015	BEV_DICHTH_2015
GM0003	Appingedam	1020.0	81.0	12011.0	505.0
GM0005	Bedum	673.0	41.0	10441.0	234.0
GM0007	Bellingwedde	151.0	172.0	9154.0	84.0
GM0009	Ten Boer	367.0	42.0	7452.0	164.0
GM0010	Delfzijl	676.0	9437.0	25409.0	191.0
GM0014	Groningen	3325.0	548.0	200336.0	2559.0
GM0015	Grootegast	227.0	104.0	12123.0	140.0
GM0017	Haren	864.0	522.0	18924.0	416.0
GM0018	Hoogezand-Sappemeer	1246.0	637.0	34334.0	515.0
GM0022	Leek	726.0	106.0	19478.0	308.0
GM0024	Loppersum	207.0	95.0	10140.0	91.0
GM0025	Marum	331.0	43.0	10311.0	160.0
GM0034	Almere	1565.0	11946.0	196932.0	1523.0
GM0037	Stadskanaal	838.0	231.0	32610.0	277.0
GM0039	Scheemda	null	null	null	null
GM0040	Slochteren	214.0	828.0	15583.0	103.0
GM0047	Veendam	988.0	268.0	27695.0	364.0
GM0048	Vlagtwedde	356.0	322.0	16212.0	97.0
GM0050	Zeewolde	795.0	2112.0	21894.0	88.0
GM0051	Skarsterlân	null	null	null	null
GM0052	Winschoten	null	null	null	null
GM0053	Winsum	432.0	144.0	13774.0	136.0
GM0055	Boarnsterhim	null	null	null	null
GM0056	Zuidhorn	404.0	288.0	18733.0	149.0
GM0058	Dongeradeel	548.0	10009.0	23983.0	144.0
GM0059	Achtkarspelen	419.0	170.0	27983.0	274.0
GM0060	Ameland	247.0	20981.0	3590.0	61.0
GM0063	het Bildt	289.0	2415.0	10592.0	115.0
GM0064	Bolsward	null	null	null	null
GM0065	Dantumadeel	null	null	null	null
GM0070	Franekeradeel	691.0	656.0	20328.0	198.0
GM0072	Harlingen	1028.0	36271.0	15779.0	632.0
GM0074	Heerenveen	1085.0	800.0	50141.0	264.0
GM0079	Kollumerland c.a.	361.0	674.0	12835.0	117.0
GM0080	Leeuwarden	2181.0	1584.0	107691.0	697.0
GM0081	Leeuwarderadeel	546.0	57.0	10221.0	250.0
GM0082	Lemsterland	null	null	null	null
GM0083	Menaldumadeel	null	null	null	null
GM0085	Ooststellingwerf	476.0	212.0	25617.0	114.0
GM0086	Opsterland	392.0	314.0	29859.0	133.0
GM0088	Schiermonnikoog	305.0	16201.0	926.0	25.0
GM0090	Smallingerland	1323.0	846.0	55635.0	473.0
GM0091	Sneek	null	null	null	null
GM0093	Terschelling	235.0	59052.0	4827.0	58.0
GM0096	Vlieland	190.0	28005.0	1103.0	31.0
GM0098	Weststellingwerf	662.0	768.0	25525.0	116.0
GM0104	Nijefurd	null	null	null	null
GM0106	Assen	1530.0	157.0	67165.0	820.0
GM0109	Coevorden	494.0	371.0	35535.0	120.0
GM0114	Emmen	834.0	1063.0	107775.0	321.0
GM0118	Hoogeveen	1164.0	170.0	54860.0	430.0
GM0119	Meppel	1234.0	148.0	32799.0	590.0
GM0140	Littenseradiel	129.0	198.0	10879.0	83.0
GM0141	Almelo	1537.0	211.0	72291.0	1074.0
GM0144	Bathmen	null	null	null	null
GM0147	Borne	1207.0	16.0	21992.0	846.0
GM0148	Dalfsen	486.0	140.0	27677.0	168.0
GM0150	Deventer	1690.0	309.0	98540.0	751.0
GM0153	Enschede	2089.0	174.0	158553.0	1125.0
GM0158	Haaksbergen	999.0	68.0	24307.0	232.0
GM0160	Hardenberg	529.0	489.0	59577.0	191.0
GM0163	Hellendoorn	798.0	104.0	35622.0	258.0
GM0164	Hengelo (O.)	1806.0	94.0	81059.0	1331.0
GM0166	Kampen	1402.0	1955.0	51432.0	362.0
GM0168	Losser	731.0	86.0	22467.0	228.0
GM0171	Noordoostpolder	739.0	13541.0	46479.0	101.0
GM0173	Oldenzaal	1442.0	40.0	32120.0	1490.0
GM0175	Ommen	463.0	206.0	17341.0	96.0
GM0177	Raalte	645.0	124.0	36603.0	214.0
GM0180	Staphorst	353.0	152.0	16421.0	122.0
GM0183	Tubbergen	273.0	43.0	21142.0	144.0
GM0184	Urk	1039.0	9840.0	19705.0	1712.0
GM0189	Wierden	677.0	67.0	23874.0	252.0
GM0193	Zwolle	1944.0	806.0	123861.0	1113.0
GM0196	Rijnwaarden	379.0	844.0	10912.0	275.0
GM0197	Aalten	780.0	52.0	26904.0	279.0
GM0199	Angerlo	null	null	null	null
GM0200	Apeldoorn	1689.0	127.0	158099.0	465.0
GM0202	Arnhem	2079.0	358.0	152293.0	1555.0
GM0203	Barneveld	814.0	69.0	54703.0	311.0
GM0207	Bergh	null	null	null	null
GM0209	Beuningen	954.0	345.0	25282.0	579.0
GM0211	Borculo	null	null	null	null
GM0213	Brummen	761.0	106.0	20983.0	250.0
GM0214	Buren	264.0	866.0	26117.0	195.0
GM0216	Culemborg	1429.0	173.0	27560.0	937.0
GM0218	Didam	null	null	null	null
GM0219	Dinxperlo	null	null	null	null
GM0221	Doesburg	838.0	139.0	11355.0	982.0
GM0222	Doetinchem	1115.0	59.0	56484.0	714.0
GM0225	Druten	769.0	478.0	18294.0	485.0
GM0226	Duiven	1147.0	127.0	25548.0	753.0
GM0228	Ede	1440.0	37.0	111575.0	351.0
GM0229	Eibergen	null	null	null	null
GM0230	Elburg	650.0	209.0	22843.0	358.0
GM0232	Epe	701.0	107.0	32214.0	206.0
GM0233	Ermelo	832.0	170.0	26190.0	306.0
GM0236	Geldermalsen	588.0	183.0	26323.0	264.0
GM0237	Gendringen	null	null	null	null
GM0239	Gorssel	null	null	null	null
GM0240	Groenlo	null	null	null	null
GM0241	Groesbeek	617.0	681.0	34258.0	396.0
GM0243	Harderwijk	1490.0	963.0	45776.0	1185.0
GM0244	Hattem	830.0	108.0	11821.0	512.0
GM0246	Heerde	603.0	168.0	18512.0	235.0
GM0248	Hengelo (Gld.)	null	null	null	null
GM0252	Heumen	785.0	171.0	16383.0	411.0
GM0256	Hummelo en Keppel	null	null	null	null
GM0260	Lichtenvoorde	null	null	null	null
GM0262	Lochem	592.0	280.0	33244.0	156.0
GM0263	Maasdriel	476.0	934.0	24185.0	366.0
GM0265	Millingen aan de Rijn	null	null	null	null
GM0266	Neede	null	null	null	null
GM0267	Nijkerk	1047.0	262.0	40870.0	589.0
GM0268	Nijmegen	2408.0	398.0	170681.0	3183.0
GM0269	Oldebroek	622.0	117.0	23001.0	236.0
GM0273	Putten	874.0	232.0	24377.0	286.0
GM0274	Renkum	881.0	126.0	31408.0	683.0
GM0275	Rheden	1443.0	259.0	43625.0	534.0
GM0277	Rozendaal	884.0	2.0	1509.0	54.0
GM0278	Ruurlo	null	null	null	null
GM0279	Scherpenzeel	858.0	3.0	9522.0	691.0
GM0280	Steenderen	null	null	null	null
GM0281	Tiel	1406.0	256.0	41590.0	1262.0
GM0282	Ubbergen	null	null	null	null
GM0285	Voorst	590.0	339.0	23913.0	194.0
GM0286	Vorden	null	null	null	null
GM0289	Wageningen	2123.0	189.0	37786.0	1240.0
GM0291	Warnsveld	null	null	null	null
GM0292	Wehl	null	null	null	null
GM0293	Westervoort	1135.0	82.0	14992.0	2137.0
GM0294	Winterswijk	1169.0	85.0	28977.0	210.0
GM0295	Wisch	null	null	null	null
GM0296	Wijchen	1189.0	327.0	40886.0	617.0
GM0297	Zaltbommel	652.0	941.0	27358.0	344.0
GM0298	Zelhem	null	null	null	null
GM0299	Zevenaar	1255.0	473.0	32265.0	606.0
GM0301	Zutphen	1594.0	195.0	46849.0	1143.0
GM0302	Nunspeet	732.0	74.0	26744.0	208.0
GM0303	Dronten	761.0	9017.0	40363.0	121.0
GM0304	Neerijnen	184.0	688.0	12038.0	182.0
GM0305	Abcoude	null	null	null	null
GM0306	Amerongen	null	null	null	null
GM0307	Amersfoort	2231.0	105.0	152481.0	2427.0
GM0308	Baarn	1600.0	50.0	24406.0	751.0
GM0310	De Bilt	1230.0	84.0	42169.0	636.0
GM0311	Breukelen	null	null	null	null
GM0312	Bunnik	644.0	59.0	14662.0	396.0
GM0313	Bunschoten	1130.0	437.0	20647.0	678.0
GM0315	Doorn	null	null	null	null
GM0316	Driebergen-Rijsenburg	null	null	null	null
GM0317	Eemnes	875.0	265.0	8807.0	284.0
GM0321	Houten	1437.0	383.0	48637.0	882.0
GM0326	Leersum	null	null	null	null
GM0327	Leusden	1211.0	25.0	29062.0	496.0
GM0329	Loenen	null	null	null	null
GM0331	Lopik	353.0	323.0	14099.0	186.0
GM0332	Maarn	null	null	null	null
GM0333	Maarssen	null	null	null	null
GM0335	Montfoort	732.0	52.0	13672.0	363.0
GM0339	Renswoude	430.0	9.0	4976.0	270.0
GM0340	Rhenen	888.0	168.0	19308.0	459.0
GM0342	Soest	1459.0	18.0	45454.0	983.0
GM0344	Utrecht	3332.0	494.0	334176.0	3545.0
GM0345	Veenendaal	2116.0	22.0	63440.0	3253.0
GM0351	Woudenberg	884.0	29.0	12487.0	342.0
GM0352	Wijk bij Duurstede	1113.0	270.0	23222.0	488.0
GM0353	IJsselstein	1789.0	58.0	34061.0	1614.0
GM0355	Zeist	1547.0	14.0	61641.0	1271.0
GM0356	Nieuwegein	1888.0	201.0	61264.0	2592.0
GM0358	Aalsmeer	891.0	1189.0	31077.0	1524.0
GM0361	Alkmaar	2209.0	684.0	107106.0	969.0
GM0362	Amstelveen	2538.0	266.0	87162.0	2104.0
GM0363	Amsterdam	5968.0	5360.0	821752.0	4954.0
GM0364	Andijk	null	null	null	null
GM0365	Graft-De Rijp	null	null	null	null
GM0366	Anna Paulowna	null	null	null	null
GM0370	Beemster	571.0	149.0	8903.0	126.0
GM0372	Bennebroek	null	null	null	null
GM0373	Bergen (NH.)	793.0	2234.0	30005.0	309.0
GM0375	Beverwijk	2681.0	177.0	40182.0	2194.0
GM0376	Blaricum	930.0	441.0	9312.0	835.0
GM0377	Bloemendaal	1053.0	543.0	22256.0	560.0
GM0381	Bussum	2474.0	7.0	32870.0	4066.0
GM0383	Castricum	1332.0	1086.0	34361.0	694.0
GM0384	Diemen	2415.0	205.0	26666.0	2224.0
GM0385	Edam-Volendam	1495.0	849.0	29087.0	1785.0
GM0388	Enkhuizen	1380.0	10356.0	18345.0	1446.0
GM0392	Haarlem	3440.0	287.0	156645.0	5360.0
GM0393	Haarlemmerliede c.a.	624.0	192.0	5574.0	289.0
GM0394	Haarlemmermeer	1540.0	644.0	144152.0	807.0
GM0395	Harenkarspel	null	null	null	null
GM0396	Heemskerk	2300.0	446.0	39138.0	1438.0
GM0397	Heemstede	1713.0	43.0	26480.0	2874.0
GM0398	Heerhugowaard	1683.0	166.0	53554.0	1397.0
GM0399	Heiloo	1279.0	30.0	22553.0	1205.0
GM0400	Den Helder	1701.0	13371.0	56483.0	1253.0
GM0402	Hilversum	2589.0	73.0	87161.0	1911.0
GM0405	Hoorn	1652.0	3309.0	71880.0	3530.0
GM0406	Huizen	1931.0	752.0	41315.0	2614.0
GM0412	Niedorp	null	null	null	null
GM0415	Landsmeer	973.0	397.0	10823.0	480.0
GM0416	Langedijk	886.0	306.0	27287.0	1138.0
GM0417	Laren	1044.0	null	10857.0	875.0
GM0420	Medemblik	508.0	13616.0	43604.0	359.0
GM0424	Muiden	448.0	2204.0	6249.0	432.0
GM0425	Naarden	1215.0	1149.0	17209.0	804.0
GM0429	Obdam	null	null	null	null
GM0431	Oostzaan	1061.0	453.0	9187.0	796.0
GM0432	Opmeer	494.0	41.0	11301.0	272.0
GM0437	Ouder-Amstel	1213.0	166.0	13289.0	551.0
GM0439	Purmerend	2158.0	134.0	79611.0	3428.0
GM0441	Schagen	712.0	1952.0	46137.0	275.0
GM0448	Texel	455.0	30164.0	13581.0	84.0
GM0450	Uitgeest	1083.0	313.0	13291.0	694.0
GM0451	Uithoorn	1415.0	118.0	28731.0	1575.0
GM0453	Velsen	1815.0	1828.0	67166.0	1500.0
GM0454	Venhuizen	null	null	null	null
GM0457	Weesp	1724.0	133.0	18348.0	895.0
GM0458	Schermer	null	null	null	null
GM0459	Wervershoof	null	null	null	null
GM0462	Wieringen	null	null	null	null
GM0463	Wieringermeer	null	null	null	null
GM0466	Wognum	null	null	null	null
GM0473	Zandvoort	1776.0	1190.0	16692.0	520.0
GM0476	Zijpe	null	null	null	null
GM0478	Zeevang	258.0	1715.0	6306.0	166.0
GM0479	Zaanstad	1981.0	932.0	151418.0	2048.0
GM0480	Ter Aar	null	null	null	null
GM0482	Alblasserdam	1485.0	129.0	19845.0	2262.0
GM0483	Alkemade	null	null	null	null
GM0484	Alphen aan den Rijn	1740.0	602.0	107396.0	849.0
GM0489	Barendrecht	1643.0	182.0	47521.0	2387.0
GM0491	Bergambacht	null	null	null	null
GM0492	Bergschenhoek	null	null	null	null
GM0493	Berkel en Rodenrijs	null	null	null	null
GM0495	Bleiswijk	null	null	null	null
GM0497	Bodegraven	null	null	null	null
GM0498	Drechterland	471.0	2161.0	19294.0	327.0
GM0499	Boskoop	null	null	null	null
GM0501	Brielle	847.0	354.0	16467.0	597.0
GM0502	Capelle aan den IJssel	2255.0	118.0	66478.0	4676.0
GM0503	Delft	3442.0	123.0	101030.0	4425.0
GM0504	Dirksland	null	null	null	null
GM0505	Dordrecht	2503.0	2064.0	118899.0	1508.0
GM0511	Goedereede	null	null	null	null
GM0512	Gorinchem	1721.0	306.0	35338.0	1872.0
GM0513	Gouda	2442.0	127.0	71105.0	4222.0
GM0517	's-Gravendeel	null	null	null	null
GM0518	's-Gravenhage	4751.0	1624.0	514861.0	6289.0
GM0523	Hardinxveld-Giessendam	949.0	243.0	17802.0	1052.0
GM0529	Noorder-Koggenland	null	null	null	null
GM0530	Hellevoetsluis	1568.0	1471.0	38882.0	1232.0
GM0531	Hendrik-Ido-Ambacht	1721.0	130.0	29156.0	2750.0
GM0532	Stede Broec	1116.0	182.0	21498.0	1478.0
GM0534	Hillegom	1514.0	56.0	21101.0	1635.0
GM0537	Katwijk	2092.0	659.0	63633.0	2593.0
GM0542	Krimpen aan den IJssel	1914.0	127.0	28970.0	3773.0
