code	name	OAD_2013	OPP_WATER_2013	AANT_INW_2013	BEV_DICHTH_2013
GM0003	Appingedam	1016.0	81.0	12050.0	507.0
GM0005	Bedum	621.0	41.0	10550.0	237.0
GM0007	Bellingwedde	156.0	172.0	8985.0	83.0
GM0009	Ten Boer	324.0	42.0	7500.0	166.0
GM0010	Delfzijl	607.0	9437.0	26025.0	195.0
GM0014	Groningen	3244.0	548.0	195415.0	2497.0
GM0015	Grootegast	209.0	104.0	12220.0	141.0
GM0017	Haren	803.0	522.0	18640.0	410.0
GM0018	Hoogezand-Sappemeer	1140.0	637.0	34520.0	518.0
GM0022	Leek	713.0	106.0	19610.0	310.0
GM0024	Loppersum	188.0	95.0	10290.0	93.0
GM0025	Marum	302.0	43.0	10380.0	161.0
GM0034	Almere	1563.0	11946.0	195210.0	1510.0
GM0037	Stadskanaal	725.0	231.0	32885.0	280.0
GM0039	Scheemda	null	null	null	null
GM0040	Slochteren	210.0	828.0	15620.0	104.0
GM0047	Veendam	889.0	268.0	27915.0	367.0
GM0048	Vlagtwedde	335.0	322.0	16130.0	96.0
GM0050	Zeewolde	853.0	2112.0	21260.0	86.0
GM0051	Skarsterlân	573.0	3162.0	27420.0	148.0
GM0052	Winschoten	null	null	null	null
GM0053	Winsum	411.0	144.0	13905.0	138.0
GM0055	Boarnsterhim	380.0	1732.0	19505.0	129.0
GM0056	Zuidhorn	391.0	288.0	18700.0	149.0
GM0058	Dongeradeel	491.0	10009.0	24220.0	145.0
GM0059	Achtkarspelen	396.0	170.0	28110.0	275.0
GM0060	Ameland	242.0	20981.0	3525.0	60.0
GM0063	het Bildt	280.0	2415.0	10645.0	115.0
GM0064	Bolsward	null	null	null	null
GM0065	Dantumadeel	null	null	null	null
GM0070	Franekeradeel	633.0	656.0	20475.0	200.0
GM0072	Harlingen	979.0	36271.0	15855.0	635.0
GM0074	Heerenveen	1099.0	519.0	43320.0	321.0
GM0079	Kollumerland c.a.	351.0	674.0	12830.0	117.0
GM0080	Leeuwarden	2285.0	523.0	95950.0	1219.0
GM0081	Leeuwarderadeel	518.0	57.0	10315.0	252.0
GM0082	Lemsterland	601.0	4857.0	13565.0	179.0
GM0083	Menaldumadeel	null	null	null	null
GM0085	Ooststellingwerf	438.0	212.0	25835.0	115.0
GM0086	Opsterland	359.0	314.0	29895.0	133.0
GM0088	Schiermonnikoog	255.0	16201.0	960.0	27.0
GM0090	Smallingerland	1154.0	846.0	55455.0	471.0
GM0091	Sneek	null	null	null	null
GM0093	Terschelling	210.0	59052.0	4795.0	57.0
GM0096	Vlieland	172.0	28005.0	1115.0	31.0
GM0098	Weststellingwerf	638.0	768.0	25595.0	116.0
GM0104	Nijefurd	null	null	null	null
GM0106	Assen	1436.0	157.0	67205.0	821.0
GM0109	Coevorden	471.0	371.0	35765.0	121.0
GM0114	Emmen	747.0	1063.0	108390.0	323.0
GM0118	Hoogeveen	1055.0	170.0	54875.0	430.0
GM0119	Meppel	1185.0	148.0	32725.0	589.0
GM0140	Littenseradiel	124.0	198.0	10945.0	84.0
GM0141	Almelo	1441.0	211.0	72730.0	1081.0
GM0144	Bathmen	null	null	null	null
GM0147	Borne	1183.0	16.0	21770.0	837.0
GM0148	Dalfsen	461.0	140.0	27570.0	167.0
GM0150	Deventer	1713.0	309.0	98580.0	751.0
GM0153	Enschede	1989.0	174.0	158625.0	1125.0
GM0158	Haaksbergen	944.0	68.0	24320.0	232.0
GM0160	Hardenberg	511.0	489.0	59585.0	191.0
GM0163	Hellendoorn	738.0	104.0	35740.0	259.0
GM0164	Hengelo (O.)	1662.0	94.0	80950.0	1330.0
GM0166	Kampen	1358.0	1955.0	50925.0	358.0
GM0168	Losser	708.0	86.0	22555.0	228.0
GM0171	Noordoostpolder	682.0	13541.0	46285.0	101.0
GM0173	Oldenzaal	1357.0	40.0	32200.0	1494.0
GM0175	Ommen	437.0	206.0	17315.0	96.0
GM0177	Raalte	619.0	124.0	36485.0	213.0
GM0180	Staphorst	334.0	152.0	16275.0	121.0
GM0183	Tubbergen	266.0	43.0	21170.0	144.0
GM0184	Urk	962.0	9840.0	19225.0	1671.0
GM0189	Wierden	672.0	67.0	23805.0	251.0
GM0193	Zwolle	1835.0	806.0	122560.0	1101.0
GM0196	Rijnwaarden	358.0	844.0	10965.0	277.0
GM0197	Aalten	751.0	52.0	27080.0	281.0
GM0199	Angerlo	null	null	null	null
GM0200	Apeldoorn	1670.0	127.0	157315.0	463.0
GM0202	Arnhem	2029.0	358.0	149825.0	1529.0
GM0203	Barneveld	801.0	69.0	53750.0	305.0
GM0207	Bergh	null	null	null	null
GM0209	Beuningen	935.0	345.0	25325.0	580.0
GM0211	Borculo	null	null	null	null
GM0213	Brummen	700.0	106.0	21245.0	253.0
GM0214	Buren	248.0	866.0	25940.0	193.0
GM0216	Culemborg	1387.0	173.0	27680.0	941.0
GM0218	Didam	null	null	null	null
GM0219	Dinxperlo	null	null	null	null
GM0221	Doesburg	807.0	139.0	11540.0	998.0
GM0222	Doetinchem	1068.0	59.0	56415.0	714.0
GM0225	Druten	735.0	478.0	18200.0	483.0
GM0226	Duiven	1127.0	127.0	25555.0	753.0
GM0228	Ede	1437.0	37.0	109820.0	345.0
GM0229	Eibergen	null	null	null	null
GM0230	Elburg	636.0	209.0	22510.0	353.0
GM0232	Epe	647.0	107.0	32385.0	207.0
GM0233	Ermelo	909.0	170.0	26120.0	305.0
GM0236	Geldermalsen	572.0	183.0	26240.0	263.0
GM0237	Gendringen	null	null	null	null
GM0239	Gorssel	null	null	null	null
GM0240	Groenlo	null	null	null	null
GM0241	Groesbeek	704.0	null	19010.0	431.0
GM0243	Harderwijk	1363.0	963.0	45650.0	1181.0
GM0244	Hattem	783.0	108.0	11770.0	510.0
GM0246	Heerde	564.0	168.0	18400.0	234.0
GM0248	Hengelo (Gld.)	null	null	null	null
GM0252	Heumen	756.0	171.0	16455.0	413.0
GM0256	Hummelo en Keppel	null	null	null	null
GM0260	Lichtenvoorde	null	null	null	null
GM0262	Lochem	560.0	280.0	33305.0	156.0
GM0263	Maasdriel	451.0	934.0	24090.0	364.0
GM0265	Millingen aan de Rijn	618.0	163.0	5925.0	686.0
GM0266	Neede	null	null	null	null
GM0267	Nijkerk	998.0	262.0	40355.0	582.0
GM0268	Nijmegen	2239.0	398.0	166380.0	3103.0
GM0269	Oldebroek	589.0	117.0	22775.0	233.0
GM0273	Putten	820.0	232.0	23970.0	281.0
GM0274	Renkum	848.0	126.0	31565.0	687.0
GM0275	Rheden	1326.0	259.0	43680.0	534.0
GM0277	Rozendaal	819.0	2.0	1500.0	54.0
GM0278	Ruurlo	null	null	null	null
GM0279	Scherpenzeel	811.0	3.0	9400.0	682.0
GM0280	Steenderen	null	null	null	null
GM0281	Tiel	1286.0	256.0	41750.0	1295.0
GM0282	Ubbergen	363.0	518.0	9505.0	282.0
GM0285	Voorst	549.0	339.0	23725.0	193.0
GM0286	Vorden	null	null	null	null
GM0289	Wageningen	1645.0	189.0	37405.0	1228.0
GM0291	Warnsveld	null	null	null	null
GM0292	Wehl	null	null	null	null
GM0293	Westervoort	1124.0	82.0	15200.0	2167.0
GM0294	Winterswijk	1120.0	85.0	28965.0	210.0
GM0295	Wisch	null	null	null	null
GM0296	Wijchen	1113.0	327.0	41005.0	619.0
GM0297	Zaltbommel	596.0	941.0	26950.0	338.0
GM0298	Zelhem	null	null	null	null
GM0299	Zevenaar	1171.0	473.0	32405.0	608.0
GM0301	Zutphen	1483.0	195.0	47240.0	1153.0
GM0302	Nunspeet	755.0	74.0	26625.0	207.0
GM0303	Dronten	782.0	9017.0	40680.0	122.0
GM0304	Neerijnen	180.0	688.0	12020.0	182.0
GM0305	Abcoude	null	null	null	null
GM0306	Amerongen	null	null	null	null
GM0307	Amersfoort	2130.0	105.0	149660.0	2383.0
GM0308	Baarn	1411.0	50.0	24275.0	747.0
GM0310	De Bilt	1143.0	84.0	42030.0	634.0
GM0311	Breukelen	null	null	null	null
GM0312	Bunnik	621.0	59.0	14560.0	394.0
GM0313	Bunschoten	1068.0	437.0	20315.0	667.0
GM0315	Doorn	null	null	null	null
GM0316	Driebergen-Rijsenburg	null	null	null	null
GM0317	Eemnes	837.0	265.0	8795.0	283.0
GM0321	Houten	1406.0	383.0	48430.0	878.0
GM0326	Leersum	null	null	null	null
GM0327	Leusden	1178.0	25.0	28970.0	494.0
GM0329	Loenen	null	null	null	null
GM0331	Lopik	350.0	323.0	13990.0	185.0
GM0332	Maarn	null	null	null	null
GM0333	Maarssen	null	null	null	null
GM0335	Montfoort	700.0	52.0	13620.0	362.0
GM0339	Renswoude	405.0	9.0	4890.0	266.0
GM0340	Rhenen	837.0	168.0	19045.0	453.0
GM0342	Soest	1345.0	18.0	45505.0	984.0
GM0344	Utrecht	3184.0	494.0	321915.0	3415.0
GM0345	Veenendaal	1993.0	22.0	63030.0	3232.0
GM0351	Woudenberg	852.0	29.0	12320.0	337.0
