Country Code	Country Name	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
AFG	Afghanistan	3.22862984319083	2.75522538418067	2.5125738785155	2.5691143189101	2.81261695888044	3.095118614892	3.27270292128737	3.3152241309788	3.18320145523634	2.94323418503806	2.6891634730922
AGO	Angola	3.56615989177201	3.56453863281601	3.56344784206319	3.56682098343689	3.57009863798221	3.5703524379835	3.55949601038819	3.53182419107337	3.48541253470949	3.42802067046523	3.36757213106932
ALB	Albania	-0.630911244851673	-0.75571875541991	-0.767342959142321	-0.673894046451936	-0.49646196338738	-0.269017331764615	-0.165151040121679	-0.183211384606402	-0.207046999760594	-0.291205786840436	-0.159880412127734
ARE	United Arab Emirates	13.5105849057658	14.2367920300142	13.1614662478891	10.6154438769895	7.58709832289201	4.7437002981809	2.59479571367044	1.18180498875127	0.714762520858884	0.915608331412884	1.25175905246942
ARG	Argentina	1.05052809627787	1.03443291949168	1.02589971759083	1.02737729041769	1.0350371425283	1.04485986238761	1.05037622160469	1.04727674680202	1.03270928221435	1.00985496040526	0.984741905647839
ARM	Armenia	-0.766331138327033	-0.863750024280934	-0.850367271208761	-0.677479352556589	-0.391023921304488	-0.060143665208692	0.220269188354708	0.401251977426153	0.438331527278028	0.368528212088839	0.269302288175516
AUS	Australia	1.47522794532757	0.624678435014185	2.00402174031569	2.0610451296841	1.55548958906995	1.38952731561803	1.78544535033273	1.75833807698328	1.53587885355185	1.46405981561408	1.49820974240174
AUT	Austria	0.494797775098466	0.324146535285463	0.313041437661508	0.261953189906348	0.240394299500766	0.337080841831645	0.45593747231891	0.589387254692989	0.781541632525841	1.12099250236958	1.08139629872802
AZE	Azerbaijan	1.09858657441812	1.13385546615645	2.09985403259251	2.07614826384645	1.18978770786007	1.30300085487651	1.32876382733755	1.29344702700591	1.24820899735588	1.19120985807018	1.11785721013911
BDI	Burundi	3.33901111680397	3.38471638838897	3.37691512405289	3.31462128178905	3.2211828553465	3.10604641410092	3.00843601052626	2.96509609525352	2.99226468715451	3.06110289439754	3.1353331460468
BEL	Belgium	0.659558214980699	0.734330830765919	0.789976845480149	0.804599572619861	0.913639391631709	1.38684911331611	0.726031655132031	0.489184301296706	0.234370843738166	0.579446241677791	0.506300002451376
BEN	Benin	2.89753275283891	2.85407407622991	2.82352171141544	2.80933688387249	2.80610884361564	2.80342201500857	2.79704040529129	2.79025324304921	2.78228712901218	2.77297792645726	2.76353418122718
BFA	Burkina Faso	2.98906991864068	3.01180856291905	3.0249616647606	3.02644966750874	3.01924468828771	3.00893832758689	2.99725496812202	2.98148293269498	2.96197793879113	2.93969043058942	2.91561403403432
BGD	Bangladesh	1.34136983681035	1.2110530460863	1.12631778923329	1.10199011584237	1.11988788804906	1.15194904928732	1.17243498017455	1.17731889208496	1.15718802793056	1.12014425853279	1.08016523912062
BGR	Bulgaria	-0.759505915531059	-0.735282283991309	-0.70192274454598	-0.644281362547054	-0.658275446635908	-0.641228920515067	-0.579220596364389	-0.559647217410859	-0.568389264052903	-0.638069468160719	-0.701382097841331
BIH	Bosnia and Herzegovina	-0.054543065640794	-0.14478120394897	-0.275976649897051	-0.453732789463545	-0.655462607580553	-0.89649038153067	-1.10849273909632	-1.19124019263136	-1.08764130510763	-0.845996499047934	-0.542908049545518
BLR	Belarus	-0.612296198031047	-0.458847535622636	-0.345415054298517	-0.222960730145107	-0.170360662064171	-0.18362402269138	-0.091637482137623	0.01586857862068	0.089902557771444	0.159300801922472	0.125511109801562
BLZ	Belize	2.60282556839847	2.60048532966938	2.56658458146147	2.50426733766847	2.41665669265084	2.33077545537502	2.25541289945294	2.1972385623403	2.15937975511087	2.13628159472158	2.11122043120101
BOL	Bolivia	1.7158029136575	1.68881850425168	1.66390596320717	1.64161193150071	1.62115743418645	1.60131763599792	1.58154850458483	1.56268411847736	1.54465176979555	1.52722504697993	1.51004690627574
BRA	Brazil	1.11460854678415	1.06001941948644	1.01686459142158	0.988453746375053	0.970296367127195	0.956012573780753	0.938920327153704	0.917022961079203	0.887563333488748	0.85279920625178	0.817555711392756
BRN	Brunei Darussalam	1.38483165171828	1.2384840376376	1.16375982567016	1.18477344674056	1.26614450607904	1.36738323682896	1.44504448971225	1.48190588685306	1.46512370980213	1.40804934924395	1.34502906699947
BTN	Bhutan	2.34631684964007	2.16755862892745	2.01634028322176	1.90876554623359	1.82835814221659	1.75313433065499	1.66822641327716	1.58034499964665	1.49048210511718	1.39889251300037	1.30954695486792
BWA	Botswana	1.51796053343133	1.58880754420267	1.65447669072993	1.70809094821131	1.75154449757078	1.79400587122183	1.83435103995214	1.85845339232399	1.86485525679638	1.85597535367525	1.84166640095137
CAF	Central African Republic	1.77317835253047	1.74682102428598	1.61433731318801	1.3450850230465	1.00071378122449	0.619139161234674	0.318137562535434	0.205493489548696	0.349172211364049	0.67777177431409	1.06165488996168
CAN	Canada	0.796844597283984	0.969853611087127	1.08219708560653	1.14484018257099	1.11395972071239	0.987617711325488	1.18034479940777	1.14967859626918	1.08358780888313	0.832774622172532	1.19865035219857
CHE	Switzerland	0.627558473346134	0.893690977823134	1.27061807385776	1.24948463127384	1.0415580576588	1.11187894263206	1.06181932886789	1.14987975781229	1.22010397343287	1.13833715247736	1.09203117387253
CHL	Chile	1.06403668805065	1.04778314089898	1.02707608062939	1.00026560008729	0.969247386946243	0.937157145461321	0.90757975844492	0.881363072506295	0.859924596072624	0.841711121116545	0.824579725656753
