Country Code	Country Name	Rural 2016	Growth 2016	Capita 2016	GDP 2016	Forest 2016
AFG	Afghanistan	25985093	2.6891634730922	549.582759921642	19046357714.4928	25985093
AGO	Angola	10329915	3.36757213106932	3509.60421142273	101123851090.473	10329915
ALB	Albania	1195854	-0.159880412127734	4131.87234065272	11883682170.8236	1195854
ARE	United Arab Emirates	1300990	1.25175905246942	38517.8003858029	357045064669.843	1300990
ARG	Argentina	3671345	0.984741905647839	12654.3549989958	554860945013.62	3671345
ARM	Armenia	1079784	0.269302288175516	3605.74311684256	10546135160.031	1079784
AUS	Australia	3437935	1.49820974240174	49896.6811009246	1208039015868.39	3437935
AUT	Austria	3677700	1.08139629872802	44731.0108553361	390799991147.468	3677700
AZE	Azerbaijan	4388966	1.11785721013911	3880.73873089556	37867518957.1975	4388966
BDI	Burundi	9220389	3.1353331460468	281.181337625778	2959185295.39019	9220389
BEL	Belgium	235807	0.506300002451376	41260.9775511468	467545548764.571	235807
BEN	Benin	5846143	2.76353418122718	788.532442415695	8573159696.61128	5846143
BFA	Burkina Faso	13400446	2.91561403403432	583.830898212126	10886363726.8422	13400446
BGD	Bangladesh	105783264	1.08016523912062	1358.77918567012	221415188000.475	105783264
BGR	Bulgaria	1829783	-0.701382097841331	7469.45563823624	53240950226.2443	1829783
BIH	Bosnia and Herzegovina	1845695	-0.542908049545518	4808.63604287112	16911088173.7458	1845695
BLR	Belarus	2122548	0.125511109801562	5025.40506387702	47749057078.1996	2122548
BLZ	Belize	200008	2.11122043120101	4923.35892237174	1806646250	200008
BOL	Bolivia	3403770	1.51004690627574	3117.3304591216	33941126193.9219	3403770
BRA	Brazil	28984187	0.817555711392756	8639.36574344537	1793989048409.29	28984187
BRN	Brunei Darussalam	97377	1.34502906699947	26939.4180218582	11400653949.1783	97377
BTN	Bhutan	483222	1.30954695486792	2782.367966626	2219675780.89539	483222
BWA	Botswana	721591	1.84166640095137	6954.14412626757	15648632361.5749	721591
CAF	Central African Republic	2728378	1.06165488996168	382.07028106683	1755468136.86556	2728378
CAN	Canada	6781481	1.19865035219857	42348.9454605979	1535767736946.18	6781481
CHE	Switzerland	2198922	1.09203117387253	79866.0318745681	668745279604.532	2198922
CHL	Chile	2252689	0.824579725656753	13960.894209996	250036180921.053	2252689
CHN	China	596465626	0.541478512050099	8117.26746543179	11190992550229.5	596465626
CIV	Cote d'Ivoire	11876158	2.51035356841854	1493.50606064011	35389998638.9371	11876158
CMR	Cameroon	10505679	2.61358514949048	1391.75188266553	32621535418.9031	10505679
COD	Congo, Dem. Rep.	44637887	3.27853356948562	471.635945618558	37134799974.5225	44637887
COG	Congo, Rep.	1742728	2.57235739004817	1762.80991296879	9035848070.90357	1742728
COL	Colombia	9678138	0.876786631887371	5813.69451945762	282856115393.175	9678138
